[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 1] Εἰ οὖν συνηγέρθητε τῷ Χριστῷ, τὰ ἄνω ζητεῖτε, οὗ ὁ Χριστός ἐστιν ἐν δεξιᾷ τοῦ θεοῦ καθήμενος·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 12] Ἐνδύσασθε οὖν ὡς ἐκλεκτοὶ τοῦ θεοῦ, ἅγιοι καὶ ἠγαπημένοι, σπλάγχνα οἰκτιρμοῦ, χρηστότητα, ταπεινοφροσύνην, πραΰτητα, μακροθυμίαν,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 13] ἀνεχόμενοι ἀλλήλων καὶ χαριζόμενοι ἑαυτοῖς ἐάν τις πρός τινα ἔχῃ μομφήν· καθὼς καὶ ὁ ⸀κύριος ἐχαρίσατο ὑμῖν οὕτως καὶ ὑμεῖς·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 14] ἐπὶ πᾶσιν δὲ τούτοις τὴν ἀγάπην, ⸀ὅ ἐστιν σύνδεσμος τῆς τελειότητος.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 15] καὶ ἡ εἰρήνη τοῦ ⸀Χριστοῦ βραβευέτω ἐν ταῖς καρδίαις ὑμῶν, εἰς ἣν καὶ ἐκλήθητε ἐν ἑνὶ σώματι· καὶ εὐχάριστοι γίνεσθε.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 16] ὁ λόγος τοῦ Χριστοῦ ἐνοικείτω ἐν ὑμῖν πλουσίως ἐν πάσῃ σοφίᾳ· διδάσκοντες καὶ νουθετοῦντες ἑαυτοὺς ⸀ψαλμοῖς, ⸀ὕμνοις, ᾠδαῖς πνευματικαῖς ⸀ἐν χάριτι, ᾄδοντες ἐν ⸂ταῖς καρδίαις⸃ ὑμῶν τῷ ⸀θεῷ·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 17] καὶ πᾶν ⸂ὅ τι⸃ ⸀ἐὰν ποιῆτε ἐν λόγῳ ἢ ἐν ἔργῳ, πάντα ἐν ὀνόματι κυρίου Ἰησοῦ, εὐχαριστοῦντες τῷ ⸀θεῷ πατρὶ διʼ αὐτοῦ.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 18] Αἱ γυναῖκες, ὑποτάσσεσθε ⸀τοῖς ἀνδράσιν, ὡς ἀνῆκεν ἐν κυρίῳ.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 19] οἱ ἄνδρες, ἀγαπᾶτε τὰς γυναῖκας καὶ μὴ πικραίνεσθε πρὸς αὐτάς.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 20] Τὰ τέκνα, ὑπακούετε τοῖς γονεῦσιν κατὰ πάντα, τοῦτο γὰρ ⸂εὐάρεστόν ἐστιν⸃ ἐν κυρίῳ.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 21] οἱ πατέρες, μὴ ἐρεθίζετε τὰ τέκνα ὑμῶν, ἵνα μὴ ἀθυμῶσιν.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 22] οἱ δοῦλοι, ὑπακούετε κατὰ πάντα τοῖς κατὰ σάρκα κυρίοις, μὴ ἐν ⸀ὀφθαλμοδουλίαις, ὡς ἀνθρωπάρεσκοι, ἀλλʼ ἐν ἁπλότητι καρδίας, φοβούμενοι τὸν ⸀κύριον.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 23] ⸀ὃ ἐὰν ποιῆτε, ἐκ ψυχῆς ἐργάζεσθε, ὡς τῷ κυρίῳ καὶ οὐκ ἀνθρώποις,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 24] εἰδότες ὅτι ἀπὸ κυρίου ⸀ἀπολήμψεσθε τὴν ἀνταπόδοσιν τῆς κληρονομίας· ⸀τῷ κυρίῳ Χριστῷ δουλεύετε·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 25] ὁ ⸀γὰρ ἀδικῶν κομίσεται ὃ ἠδίκησεν, καὶ οὐκ ἔστιν προσωπολημψία.
