[WEB | EN | NT | John | Chapter 8 | Verse 1] but Jesus went to the Mount of Olives.
[WEB | EN | NT | John | Chapter 8 | Verse 26] I have many things to speak and to judge concerning you. However, he who sent me is true; and the things which I heard from him, these I say to the world.”
[WEB | EN | NT | John | Chapter 8 | Verse 27] They didn’t understand that he spoke to them about the Father.
[WEB | EN | NT | John | Chapter 8 | Verse 28] Jesus therefore said to them, “When you have lifted up the Son of Man, then you will know that I am he, and I do nothing of myself, but as my Father taught me, I say these things.
[WEB | EN | NT | John | Chapter 8 | Verse 29] He who sent me is with me. The Father hasn’t left me alone, for I always do the things that are pleasing to him.”
[WEB | EN | NT | John | Chapter 8 | Verse 30] As he spoke these things, many believed in him.
[WEB | EN | NT | John | Chapter 8 | Verse 31] Jesus therefore said to those Jews who had believed him, “If you remain in my word, then you are truly my disciples.
[WEB | EN | NT | John | Chapter 8 | Verse 32] You will know the truth, and the truth will make you free.”
[WEB | EN | NT | John | Chapter 8 | Verse 33] They answered him, “We are Abraham’s offspring, and have never been in bondage to anyone. How do you say, ‘You will be made free’?”
[WEB | EN | NT | John | Chapter 8 | Verse 34] Jesus answered them, “Most certainly I tell you, everyone who commits sin is the bondservant of sin.
[WEB | EN | NT | John | Chapter 8 | Verse 35] A bondservant doesn’t live in the house forever. A son remains forever.
[WEB | EN | NT | John | Chapter 8 | Verse 36] If therefore the Son makes you free, you will be free indeed.
[WEB | EN | NT | John | Chapter 8 | Verse 37] I know that you are Abraham’s offspring, yet you seek to kill me, because my word finds no place in you.
[WEB | EN | NT | John | Chapter 8 | Verse 38] I say the things which I have seen with my Father; and you also do the things which you have seen with your father.”
[WEB | EN | NT | John | Chapter 8 | Verse 39] They answered him, “Our father is Abraham.” Jesus said to them, “If you were Abraham’s children, you would do the works of Abraham.
[WEB | EN | NT | John | Chapter 8 | Verse 40] But now you seek to kill me, a man who has told you the truth which I heard from God. Abraham didn’t do this.
[WEB | EN | NT | John | Chapter 8 | Verse 41] You do the works of your father.” They said to him, “We were not born of sexual immorality. We have one Father, God.”
[WEB | EN | NT | John | Chapter 8 | Verse 42] Therefore Jesus said to them, “If God were your father, you would love me, for I came out and have come from God. For I haven’t come of myself, but he sent me.
[WEB | EN | NT | John | Chapter 8 | Verse 43] Why don’t you understand my speech? Because you can’t hear my word.
[WEB | EN | NT | John | Chapter 8 | Verse 44] You are of your father the devil, and you want to do the desires of your father. He was a murderer from the beginning, and doesn’t stand in the truth, because there is no truth in him. When he speaks a lie, he speaks on his own; for he is a liar, and the father of lies.
[WEB | EN | NT | John | Chapter 8 | Verse 45] But because I tell the truth, you don’t believe me.
[WEB | EN | NT | John | Chapter 8 | Verse 46] Which of you convicts me of sin? If I tell the truth, why do you not believe me?
[WEB | EN | NT | John | Chapter 8 | Verse 47] He who is of God hears the words of God. For this cause you don’t hear, because you are not of God.”
[WEB | EN | NT | John | Chapter 8 | Verse 48] Then the Jews answered him, “Don’t we say well that you are a Samaritan, and have a demon?”
[WEB | EN | NT | John | Chapter 8 | Verse 49] Jesus answered, “I don’t have a demon, but I honor my Father and you dishonor me.
[WEB | EN | NT | John | Chapter 8 | Verse 50] But I don’t seek my own glory. There is one who seeks and judges.
[WEB | EN | NT | John | Chapter 8 | Verse 51] Most certainly, I tell you, if a person keeps my word, he will never see death.”
[WEB | EN | NT | John | Chapter 8 | Verse 52] Then the Jews said to him, “Now we know that you have a demon. Abraham died, as did the prophets; and you say, ‘If a man keeps my word, he will never taste of death.’
[WEB | EN | NT | John | Chapter 8 | Verse 53] Are you greater than our father Abraham, who died? The prophets died. Who do you make yourself out to be?”
[WEB | EN | NT | John | Chapter 8 | Verse 54] Jesus answered, “If I glorify myself, my glory is nothing. It is my Father who glorifies me, of whom you say that he is our God.
[WEB | EN | NT | John | Chapter 8 | Verse 55] You have not known him, but I know him. If I said, ‘I don’t know him,’ I would be like you, a liar. But I know him and keep his word.
[WEB | EN | NT | John | Chapter 8 | Verse 56] Your father Abraham rejoiced to see my day. He saw it and was glad.”
[WEB | EN | NT | John | Chapter 8 | Verse 57] The Jews therefore said to him, “You are not yet fifty years old! Have you seen Abraham?”
[WEB | EN | NT | John | Chapter 8 | Verse 58] Jesus said to them, “Most certainly, I tell you, before Abraham came into existence, I AM.”
[WEB | EN | NT | John | Chapter 8 | Verse 59] Therefore they took up stones to throw at him, but Jesus hid himself and went out of the temple, having gone through the middle of them, and so passed by.
