[WEB | EN | NT | John | Chapter 18 | Verse 1] When Jesus had spoken these words, he went out with his disciples over the brook Kidron, where there was a garden, into which he and his disciples entered.
[WEB | EN | NT | John | Chapter 18 | Verse 31] Pilate therefore said to them, “Take him yourselves, and judge him according to your law.” Therefore the Jews said to him, “It is illegal for us to put anyone to death,”
[WEB | EN | NT | John | Chapter 18 | Verse 32] that the word of Jesus might be fulfilled, which he spoke, signifying by what kind of death he should die.
[WEB | EN | NT | John | Chapter 18 | Verse 33] Pilate therefore entered again into the Praetorium, called Jesus, and said to him, “Are you the King of the Jews?”
[WEB | EN | NT | John | Chapter 18 | Verse 34] Jesus answered him, “Do you say this by yourself, or did others tell you about me?”
[WEB | EN | NT | John | Chapter 18 | Verse 35] Pilate answered, “I’m not a Jew, am I? Your own nation and the chief priests delivered you to me. What have you done?”
[WEB | EN | NT | John | Chapter 18 | Verse 36] Jesus answered, “My Kingdom is not of this world. If my Kingdom were of this world, then my servants would fight, that I wouldn’t be delivered to the Jews. But now my Kingdom is not from here.”
[WEB | EN | NT | John | Chapter 18 | Verse 37] Pilate therefore said to him, “Are you a king then?” Jesus answered, “You say that I am a king. For this reason I have been born, and for this reason I have come into the world, that I should testify to the truth. Everyone who is of the truth listens to my voice.”
[WEB | EN | NT | John | Chapter 18 | Verse 38] Pilate said to him, “What is truth?” When he had said this, he went out again to the Jews, and said to them, “I find no basis for a charge against him.
[WEB | EN | NT | John | Chapter 18 | Verse 39] But you have a custom that I should release someone to you at the Passover. Therefore, do you want me to release to you the King of the Jews?”
[WEB | EN | NT | John | Chapter 18 | Verse 40] Then they all shouted again, saying, “Not this man, but Barabbas!” Now Barabbas was a robber.
