[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 1] In the hundred and sixtieth year Alexander, the son of Antiochus, surnamed Epiphanes, went up and took Ptolemais: for the people had received him, by means whereof he reigned there.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 32] And as for the tower which is at Jerusalem, I yield up my authority over it, and give it to the high priest, that he may set in it such men as he shall choose to keep it.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 33] Moreover I freely set at liberty every one of the Jews, that were carried captives out of the land of Judea into any part of my kingdom, and I will that all my officers remit the tributes even of their cattle.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 34] Furthermore I will that all the feasts, and sabbaths, and new moons, and solemn days, and the three days before the feast, and the three days after the feast, shall be all days of immunity and freedom for all the Jews in my realm.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 35] Also no man shall have authority to meddle with them, or to molest any of them in any matter.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 36] I will further, that there be enrolled amongst the king’s forces about thirty thousand men of the Jews, unto whom pay shall be given, as belongeth to all the king’s forces.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 37] And of them some shall be placed in the king’s strong holds, of whom also some shall be set over the affairs of the kingdom, which are of trust: and I will that their overseers and governors be of themselves, and that they live after their own laws, even as the king hath commanded in the land of Judea.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 38] And concerning the three governments that are added to Judea from the country of Samaria, let them be joined with Judea, that they may be reckoned to be under one, nor bound to obey other authority than the high priest’s.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 39] As for Ptolemais, and the land pertaining thereto, I give it as a free gift to the sanctuary at Jerusalem for the necessary expences of the sanctuary.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 40] Moreover I give every year fifteen thousand shekels of silver out of the king’s accounts from the places appertaining.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 41] And all the overplus, which the officers payed not in, as in former time, from henceforth shall be given towards the works of the temple.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 42] And besides this, the five thousand shekels of silver, which they took from the uses of the temple out of the accounts year by year, even those things shall be released, because they appertain to the priests that minister.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 43] And whosoever they be that flee unto the temple at Jerusalem, or be within the liberties thereof, being indebted unto the king, or for any other matter, let them be at liberty, and all that they have in my realm.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 44] For the building also and repairing of the works of the sanctuary expences shall be given of the king’s accounts.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 45] Yea, and for the building of the walls of Jerusalem, and the fortifying thereof round about, expences shall be given out of the king’s accounts, as also for building of the walls in Judea.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 46] Now when Jonathan and the people heard these words, they gave no credit unto them, nor received them, because they remembered the great evil that he had done in Israel; for he had afflicted them very sore.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 47] But with Alexander they were well pleased, because he was the first that entreated of true peace with them, and they were confederate with him always.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 48] Then gathered king Alexander great forces, and camped over against Demetrius.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 49] And after the two kings had joined battle, Demetrius’ host fled: but Alexander followed after him, and prevailed against them.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 50] And he continued the battle very sore until the sun went down: and that day was Demetrius slain.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 51] Afterward Alexander sent ambassadors to Ptolemee king of Egypt with a message to this effect:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 52] Forsomuch as I am come again to my realm, and am set in the throne of my progenitors, and have gotten the dominion, and overthrown Demetrius, and recovered our country;
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 53] (for after I had joined battle with him, both he and his host was discomfited by us, so that we sit in the throne of his kingdom:)
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 54] now therefore let us make a league of amity together, and give me now thy daughter to wife: and I will be thy son in law, and will give both thee and her gifts according to thy dignity.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 55] Then Ptolemee the king gave answer, saying, Happy be the day wherein thou didst return into the land of thy fathers, and satest in the throne of their kingdom.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 56] And now will I do to thee, as thou hast written: meet me therefore at Ptolemais, that we may see one another; for I will marry my daughter to thee according to thy desire.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 57] So Ptolemee went out of Egypt with his daughter Cleopatra, and they came unto Ptolemais in the hundred threescore and second year:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 58] where king Alexander meeting him, he gave unto him his daughter Cleopatra, and celebrated her marriage at Ptolemais with great glory, as the manner of kings is.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 59] Now king Alexander had written unto Jonathan, that he should come and meet him.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 60] Who thereupon went honourably to Ptolemais, where he met the two kings, and gave them and their friends silver and gold, and many presents, and found favour in their sight.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 61] At that time certain pestilent fellows of Israel, men of a wicked life, assembled themselves against him, to accuse him: but the king would not hear them.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 62] Yea more than that, the king commanded to take off his garments, and clothe him in purple: and they did so.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 63] Also he made him sit by himself, and said unto his princes, Go with him into the midst of the city, and make proclamation, that no man complain against him of any matter, and that no man trouble him for any manner of cause.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 64] Now when his accusers saw that he was honoured according to the proclamation, and clothed in purple, they fled all away.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 65] So the king honoured him, and wrote him amongst his chief friends, and made him a duke, and partaker of his dominion.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 66] Afterward Jonathan returned to Jerusalem with peace and gladness.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 67] Furthermore in the hundred threescore and fifth year came Demetrius son of Demetrius out of Crete into the land of his fathers:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 68] whereof when king Alexander heard tell, he was right sorry, and returned into Antioch.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 69] Then Demetrius made Apollonius the governor of Coelosyria his general, who gathered together a great host, and camped in Jamnia, and sent unto Jonathan the high priest, saying,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 70] Thou alone liftest up thyself against us, and I am laughed to scorn for thy sake, and reproached: and why dost thou vaunt thy power against us in the mountains?
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 71] Now therefore, if thou trustest in thine own strength, come down to us into the plain field, and there let us try the matter together: for with me is the power of the cities.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 72] Ask and learn who I am, and the rest that take our part, and they shall tell thee that thy foot is not able to stand before our face; for thy fathers have been twice put to flight in their own land.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 73] Wherefore now thou shalt not be able to abide the horsemen and so great a power in the plain, where is neither stone nor flint, nor place to flee unto.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 74] So when Jonathan heard these words of Apollonius, he was moved in his mind, and choosing ten thousand men he went out of Jerusalem, where Simon his brother met him for to help him.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 75] And he pitched his tents against Joppe: but they of Joppe shut him out of the city, because Apollonius had a garrison there.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 76] Then Jonathan laid siege unto it: whereupon they of the city let him in for fear: and so Jonathan won Joppe.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 77] Whereof when Apollonius heard, he took three thousand horsemen, with a great host of footmen, and went to Azotus as one that journeyed, and therewithal drew him forth into the plain, because he had a great number of horsemen, in whom he put his trust.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 78] Then Jonathan followed after him to Azotus, where the armies joined battle.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 79] Now Apollonius had left a thousand horsemen in ambush.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 80] And Jonathan knew that there was an ambushment behind him; for they had compassed in his host, and cast darts at the people, from morning till evening.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 81] But the people stood still, as Jonathan had commanded them: and so the enemies’ horses were tired.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 82] Then brought Simon forth his host, and set them against the footmen, (for the horsemen were spent,) who were discomfited by him, and fled.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 83] The horsemen also, being scattered in the field, fled to Azotus, and went into Beth-dagon, their idol’s temple, for safety.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 84] But Jonathan set fire on Azotus, and the cities round about it, and took their spoils; and the temple of Dagon, with them that were fled into it, he burnt with fire.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 85] Thus there were burnt and slain with the sword well nigh eight thousand men.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 86] And from thence Jonathan removed his host, and camped against Ascalon, where the men of the city came forth, and met him with great pomp.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 87] After this returned Jonathan and his host unto Jerusalem, having many spoils.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 88] Now when king Alexander heard these things, he honoured Jonathan yet more,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 89] and sent him a buckle of gold, as the use is to be given to such as are of the kings’ blood: he gave him also Accaron with the borders thereof in possession.
