[DRA | EN | NT | Acts | Chapter 15 | Verse 1] And some coming down from Judea, taught the brethren: That except you be circumcised after the manner of Moses, you cannot be saved.
[DRA | EN | NT | Acts | Chapter 15 | Verse 15] And to this agree the words of the prophets, as it is written:
[DRA | EN | NT | Acts | Chapter 15 | Verse 16] After these things I will return, and will rebuild the tabernacle of David, which is fallen down; and the ruins thereof I will rebuild, and I will set it up:
[DRA | EN | NT | Acts | Chapter 15 | Verse 17] That the residue of men may seek after the Lord, and all nations upon whom my name is invoked, saith the Lord, who doth these things.
[DRA | EN | NT | Acts | Chapter 15 | Verse 18] To the Lord was his own work known from the beginning of the world.
[DRA | EN | NT | Acts | Chapter 15 | Verse 19] For which cause I judge that they, who from among the Gentiles are converted to God, are not to be disquieted.
[DRA | EN | NT | Acts | Chapter 15 | Verse 20] But that we write unto them, that they refrain themselves from the pollutions of idols, and from fornication, and from things strangled, and from blood.
[DRA | EN | NT | Acts | Chapter 15 | Verse 21] For Moses of old time hath in every city them that preach him in the synagogues, where he is read every sabbath.
[DRA | EN | NT | Acts | Chapter 15 | Verse 22] Then it pleased the apostles and ancients, with the whole church, to choose men of their own company, and to send to Antioch, with Paul and Barnabas, namely, Judas, who was surnamed Barsabas, and Silas, chief men among the brethren.
[DRA | EN | NT | Acts | Chapter 15 | Verse 23] Writing by their hands: The apostles and ancients, brethren, to the brethren of the Gentiles that are at Antioch, and in Syria and Cilicia, greeting.
[DRA | EN | NT | Acts | Chapter 15 | Verse 24] Forasmuch as we have heard, that some going out from us have troubled you with words, subverting your souls; to whom we gave no commandment:
[DRA | EN | NT | Acts | Chapter 15 | Verse 25] It hath seemed good to us, being assembled together, to choose out men, and to send them unto you, with our well beloved Barnabas and Paul:
[DRA | EN | NT | Acts | Chapter 15 | Verse 26] Men that have given their lives for the name of our Lord Jesus Christ.
[DRA | EN | NT | Acts | Chapter 15 | Verse 27] We have sent therefore Judas and Silas, who themselves also will, by word of mouth, tell you the same things.
[DRA | EN | NT | Acts | Chapter 15 | Verse 28] For it hath seemed good to the Holy Ghost and to us, to lay no further burden upon you than these necessary things:
[DRA | EN | NT | Acts | Chapter 15 | Verse 29] That you abstain from things sacrificed to idols, and from blood, and from things strangled, and from fornication; from which things keeping yourselves, you shall do well. Fare ye well.
[DRA | EN | NT | Acts | Chapter 15 | Verse 30] They therefore being dismissed, went down to Antioch; and gathering together the multitude, delivered the epistle.
[DRA | EN | NT | Acts | Chapter 15 | Verse 31] Which when they had read, they rejoiced for the consolation.
[DRA | EN | NT | Acts | Chapter 15 | Verse 32] But Judas and Silas, being prophets also themselves, with many words comforted the brethren, and confirmed them.
[DRA | EN | NT | Acts | Chapter 15 | Verse 33] And after they had spent some time there, they were let go with peace by the brethren, unto them that had sent them.
[DRA | EN | NT | Acts | Chapter 15 | Verse 34] But it seemed good unto Silas to remain there; and Judas alone departed to Jerusalem.
[DRA | EN | NT | Acts | Chapter 15 | Verse 35] And Paul and Barnabas continued at Antioch, teaching and preaching, with many others, the word of the Lord.
[DRA | EN | NT | Acts | Chapter 15 | Verse 36] And after some days, Paul said to Barnabas: Let us return and visit our brethren in all the cities wherein we have preached the word of the Lord, to see how they do.
[DRA | EN | NT | Acts | Chapter 15 | Verse 37] And Barnabas would have taken with them John also, that was surnamed Mark;
[DRA | EN | NT | Acts | Chapter 15 | Verse 38] But Paul desired that he (as having departed from them out of Pamphylia, and not gone with them to the work) might not be received.
[DRA | EN | NT | Acts | Chapter 15 | Verse 39] And there arose a dissension, so that they departed one from another; and Barnabas indeed taking Mark, sailed to Cyprus.
[DRA | EN | NT | Acts | Chapter 15 | Verse 40] But Paul choosing Silas, departed, being delivered by the brethren to the grace of God.
[DRA | EN | NT | Acts | Chapter 15 | Verse 41] And he went through Syria and Cilicia, confirming the churches, commanding them to keep the precepts of the apostles and the ancients.
