[BBE | EN | NT | Acts | Chapter 5 | Verse 1] But a certain man named Ananias, with Sapphira his wife, got money for his property,
[BBE | EN | NT | Acts | Chapter 5 | Verse 18] And they took the Apostles and put them in the common prison.
[BBE | EN | NT | Acts | Chapter 5 | Verse 19] But in the night an angel of the Lord, opening the doors of the prison, took them out and said,
[BBE | EN | NT | Acts | Chapter 5 | Verse 20] Go, take your place in the Temple and give the people all the teaching about this Life.
[BBE | EN | NT | Acts | Chapter 5 | Verse 21] And hearing this, they went into the Temple at dawn, and were teaching. But the high priest and those who were with him got together the Sanhedrin and the representatives of the children of Israel, and sent to the prison to get them.
[BBE | EN | NT | Acts | Chapter 5 | Verse 22] But the men who were sent saw that they were not in the prison, and came back with the news,
[BBE | EN | NT | Acts | Chapter 5 | Verse 23] Saying, The doors of the prison were safely shut, and the keepers were at the doors, but when they were open, there was nobody inside.
[BBE | EN | NT | Acts | Chapter 5 | Verse 24] Now, at these words, the captain of the Temple and the chief priests were greatly troubled about what might be the end of this business.
[BBE | EN | NT | Acts | Chapter 5 | Verse 25] And someone came and said to them, The men, whom you put in prison, are in the Temple teaching the people.
[BBE | EN | NT | Acts | Chapter 5 | Verse 26] Then the captain and some of the police went and took them, but not violently, for fear that they might be stoned by the people.
[BBE | EN | NT | Acts | Chapter 5 | Verse 27] And they took them into the Sanhedrin, and the high priest said to them,
[BBE | EN | NT | Acts | Chapter 5 | Verse 28] We gave you very clear orders not to give teaching in this name: and now Jerusalem is full of your teaching, and you are attempting to make us responsible for this man's death.
[BBE | EN | NT | Acts | Chapter 5 | Verse 29] But Peter and the Apostles, answering, said, We have to do the orders of God, not of man.
[BBE | EN | NT | Acts | Chapter 5 | Verse 30] The God of our fathers gave Jesus back to life, whom you had put to death, hanging him on a tree.
[BBE | EN | NT | Acts | Chapter 5 | Verse 31] Him God has put on high at his right hand, as a Ruler and a Saviour, to give to Israel a change of heart and forgiveness of sins.
[BBE | EN | NT | Acts | Chapter 5 | Verse 32] And we are witnesses of these things, and so is the Holy Spirit, whom God has given to those who keep his laws.
[BBE | EN | NT | Acts | Chapter 5 | Verse 33] But when these words came to their ears, they were cut to the heart, and had a mind to put them to death.
[BBE | EN | NT | Acts | Chapter 5 | Verse 34] But one of the Sanhedrin, a Pharisee named Gamaliel, a man of learning in the law, of whom all the people had a high opinion, got up and made a suggestion for the men to be put outside for a little time.
[BBE | EN | NT | Acts | Chapter 5 | Verse 35] And he said to them, Men of Israel, take care what you do about these men.
[BBE | EN | NT | Acts | Chapter 5 | Verse 36] For before this there was Theudas, who said he was someone important, to whom about four hundred men gave their support: he was put to death, and his band was broken up and came to nothing.
[BBE | EN | NT | Acts | Chapter 5 | Verse 37] After this man, there was Judas of Galilee, at the time of the numbering, and some of the people went after him: he was put to death, and all his supporters were put to flight.
[BBE | EN | NT | Acts | Chapter 5 | Verse 38] And now I say to you, Do nothing to these men, but let them be: for if this teaching or this work is of men, it will come to nothing:
[BBE | EN | NT | Acts | Chapter 5 | Verse 39] But if it is of God, you will not be able to overcome them, and you are in danger of fighting against God.
[BBE | EN | NT | Acts | Chapter 5 | Verse 40] And he seemed to them to be right: and they sent for the Apostles, and, after having them whipped and giving them orders to give no teaching in the name of Jesus, they let them go.
[BBE | EN | NT | Acts | Chapter 5 | Verse 41] So they went away from the Sanhedrin, happy to undergo shame for the Name.
[BBE | EN | NT | Acts | Chapter 5 | Verse 42] And every day, in the Temple and privately, they went on teaching and preaching Jesus as the Christ.
