[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 1] Of Moab. Thus saith the LORD of hosts, the God of Israel: Woe unto Nebo! for it is spoiled; Kiriathaim is put to shame, it is taken; Misgab is put to shame and dismayed.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 28] O ye that dwell in Moab, leave the cities, and dwell in the rock; and be like the dove that maketh her nest in the sides of the pit's mouth.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 29] We have heard of the pride of Moab; he is very proud; his loftiness, and his pride, and his haughtiness, and the assumption of his heart.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 30] I know his arrogancy, saith the LORD, that it is ill-founded; his boastings have wrought nothing well-founded.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 31] Therefore will I wail for Moab; yea, I will cry out for all Moab; for the men of Kir-heres shall my heart moan.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 32] With more than the weeping of Jazer will I weep for thee, O vine of Sibmah; thy branches passed over the sea, they reached even to the sea of Jazer; upon thy summer fruits and upon thy vintage the spoiler is fallen.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 33] And gladness and joy is taken away from the fruitful field, and from the land of Moab; and I have caused wine to cease from the winepresses; none shall tread with shouting; the shouting shall be no shouting.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 34] From the cry of Heshbon even unto Elealeh, even unto Jahaz have they uttered their voice, from Zoar even unto Horonaim, a heifer of three years old; for the Waters of Nimrim also shall be desolate.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 35] Moreover I will cause to cease in Moab, saith the LORD, him that offereth in the high place, and him that offereth to his gods.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 36] Therefore my heart moaneth for Moab like pipes, and my heart moaneth like pipes for the men of Kir-heres; therefore the abundance that he hath gotten is perished.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 37] For every head is bald, and every beard clipped; upon all the hands are cuttings, and upon the loins sackcloth.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 38] On all the housetops of Moab and in the broad places thereof there is lamentation every where; for I have broken Moab like a vessel wherein is no pleasure, saith the LORD.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 39] 'How is it broken down!' wail ye! 'How hath Moab turned the back with shame!' So shall Moab become a derision and a dismay to all that are round about him.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 40] For thus saith the LORD: Behold, he shall swoop as a vulture, and shall spread out his wings against Moab.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 41] The cities are taken, and the strongholds are seized, and the heart of the mighty men of Moab at that day shall be as the heart of a woman in her pangs.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 42] And Moab shall be destroyed from being a people, because he hath magnified himself against the LORD.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 43] Terror, and the pit, and the trap, are upon thee, O inhabitant of Moab, saith the LORD.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 44] He that fleeth from the terror shall fall into the pit; and he that getteth up out of the pit shall be taken in the trap; for I will bring upon her, even upon Moab, the year of their visitation, saith the LORD.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 45] In the shadow of Heshbon the fugitives stand without strength; for a fire is gone forth out of Heshbon, and a flame from the midst of Sihon, and it devoureth the corner of Moab, and the crown of the head of the tumultuous ones.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 46] Woe unto thee, O Moab! The people of Chemosh is undone; for thy sons are taken away captive, and thy daughters into captivity.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 47] Yet will I turn the captivity of Moab in the end of days, saith the LORD. Thus far is the judgment of Moab.
