[IRV | MR | OT | Job | Chapter 21 | Verse 1] नंतर ईयोबाने उत्तर दिले.
[IRV | MR | OT | Job | Chapter 21 | Verse 18] ते कितीदा वाऱ्यापुढे धसकटासारखे होतात, किंवा ते वादळाने उडालेल्या भूशासारखे होतात.
[IRV | MR | OT | Job | Chapter 21 | Verse 19] पण तू म्हणतोस देव वडिलांच्या पापाबद्दल मुलाला शिक्षा करतो. तर त्याने त्यालाच प्रतिफळ द्यावे म्हणजेच त्यास त्याचा दोष कळेल.
[IRV | MR | OT | Job | Chapter 21 | Verse 20] त्याच्या डोळ्यांनीच तो आपला नाश पाहो, तो सर्वशक्तिमान देवाच्या रागाचे प्राशन करो.
[IRV | MR | OT | Job | Chapter 21 | Verse 21] जेव्हा त्याच्या आयुष्याची मद्दत कमी करण्यास येईल, तेव्हा त्याच्या मरणानंतर तो त्याच्या परीवाराची काळजी कशी करील?
[IRV | MR | OT | Job | Chapter 21 | Verse 22] देवाला कोणी ज्ञान शिकवू शकते का? तो तर उच्च पदावर असलेल्या लोकांचाही न्यायनिवाडा करतो.
[IRV | MR | OT | Job | Chapter 21 | Verse 23] एखादा मनुष्य त्याच्या पूर्ण शक्तीतच मरतो, पुर्णपणे शांतीत आणि सहजतेने.
[IRV | MR | OT | Job | Chapter 21 | Verse 24] त्याची भांडी दुधाने आणि त्याची हाडे मज्जारसाने ओलसर आहेत.
[IRV | MR | OT | Job | Chapter 21 | Verse 25] दुसरा मनुष्य मनाच्या कटूपणात मरतो, त्याने कधीच चांगले अनुभवलेले नसते.
[IRV | MR | OT | Job | Chapter 21 | Verse 26] शेवटी हे दोघेही बरोबरच मातीत जातील. किडे त्यांना झाकून टाकतील.
[IRV | MR | OT | Job | Chapter 21 | Verse 27] पाहा, मला तुमचे विचार माहीती आहेत, कोणत्या चुकांनी मला दु:ख द्यायची तुझी इच्छा आहे हे मला माहीत आहे.
[IRV | MR | OT | Job | Chapter 21 | Verse 28] तू कदाचित् म्हणशील ‘आता राजाचे घर कोठे आहे? दुष्ट ज्या तंबूत राहतो तो कोठे आहे.
[IRV | MR | OT | Job | Chapter 21 | Verse 29] तू कधीच प्रवास करणाऱ्या लोकांस विचारले नाहीस काय? ते काय चिन्ह देतील हे तुला ठावूक नाही काय,
[IRV | MR | OT | Job | Chapter 21 | Verse 30] दुष्ट मनुष्य नाशाच्या दिवसासाठी ठेवलेला आहे, आणि त्यास क्रोधाच्या दिवशी बाहेर आणतील.
[IRV | MR | OT | Job | Chapter 21 | Verse 31] त्याच्या तोंडावर त्याचा मार्ग कोण प्रकट करील? त्याने जे केले त्याची परत फेड कोण करील?
[IRV | MR | OT | Job | Chapter 21 | Verse 32] नंतर त्यास कबरेकडे नेतील, त्याच्या थडग्यावर पहारा ठेवतील.
[IRV | MR | OT | Job | Chapter 21 | Verse 33] खोऱ्यातील ढेकळे त्यास गोड लागतील, सर्व लोक त्याच्या पाठीमागे जातील जसे असंख्य लोक होऊन गेले तसे ते सर्व त्याच्या मागे जातील
[IRV | MR | OT | Job | Chapter 21 | Verse 34] मग तुमच्या मुर्खपणाने तुम्ही माझे सांत्वन कसे करु शकता, म्हणून तुमची उत्तरे काहीच नाही ती मुर्खपणाची आहेत.”
