[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 1] وَبَنْيَامِينُ وَلَدَ: بَالَعَ بِكْرَهُ، وَأَشْبِيلَ ٱلثَّانِي، وَأَخْرَخَ ٱلثَّالِثَ،
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 21] وَعَدَايَا وَبَرَايَا وَشِمْرَةُ، أَبْنَاءُ شِمْعِي.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 22] وَيِشْفَانُ وَعَابِرُ وَإِيلِيئِيلُ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 23] وَعَبْدُونُ وَزِكْرِي وَحَانَانُ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 24] وَحَنَنْيَا وَعِيلَامُ وَعَنَثُوثِيَا
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 25] وَيَفَدْيَا وَفَنُوئِيلُ، أَبْنَاءُ شَاشَقَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 26] وَشِمْشَرَايُ وَشَحَرْيَا وَعَثَلْيَا
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 27] وَيَعْرَشْيَا وَإِيلِيَّا وَزِكْرِي، أَبْنَاءُ يَرُوحَامَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 28] هَؤُلَاءِ رُؤُوسُ آبَاءٍ. حَسَبَ مَوَالِيدِهِمْ رُؤُوسٌ. هَؤُلَاءِ سَكَنُوا فِي أُورُشَلِيمَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 29] وَفِي جِبْعُونَ سَكَنَ أَبُو جِبْعُونَ، وَٱسْمُ ٱمْرَأَتِهِ مَعْكَةُ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 30] وَٱبْنُهُ ٱلْبِكْرُ عَبْدُونُ، ثُمَّ صُورُ وَقَيْسُ وَبَعَلُ وَنَادَابُ،
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 31] وَجَدُورُ وَأَخِيُو وَزَاكِرُ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 32] وَمِقْلُوثُ وَلَدَ شَمَاةَ. وَهُمْ أَيْضًا مَعَ إِخْوَتِهِمْ سَكَنُوا فِي أُورُشَلِيمَ مُقَابِلَ إِخْوَتِهِمْ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 33] وَنِيرُ وَلَدَ قَيْسَ، وَقَيْسُ وَلَدَ شَاوُلَ، وَشَاوُلُ وَلَدَ يَهُونَاثَانَ وَمَلْكِيشُوعَ وَأَبِينَادَابَ وَإِشْبَعَلَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 34] وَٱبْنُ يَهُوُنَاثَانَ مَرِيبْبَعَلُ، وَمَرِيبْبَعَلُ وَلَدَ مِيخَا.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 35] وَبَنُو مِيخَا: فِيثُونُ وَمَالِكُ وَتَارِيعُ وَآحَازُ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 36] وَآحَازُ وَلَدَ يَهُوعَدَّةَ، وَيَهُوعَدَّةُ وَلَدَ عَلْمَثَ وَعَزْمُوتَ وَزِمْرِيَ. وَزِمْرِيُ وَلَدَ مُوصَا،
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 37] وَمُوصَا وَلَدَ بِنْعَةَ، وَرَافَةَ ٱبْنَهُ، وَأَلِعَاسَةَ ٱبْنَهُ، وَآصِيلَ ٱبْنَهُ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 38] وَلِآصِيلَ سِتَّةُ بَنِينَ وَهَذِهِ أَسْمَاؤُهُمْ: عَزْرِيقَامُ وَبُكْرُو وَإِسْمَاعِيلُ وَشَعَرْيَا وَعُوبَدْيَا وَحَانَانُ. كُلُّ هَؤُلَاءِ بَنُو آصِيلَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 39] وَبَنُو عَاشِقَ أَخِيهِ: أُولَامُ بِكْرُهُ، وَيَعُوشُ ٱلثَّانِي، وَأَلِيفَلَطُ ٱلثَّالِثُ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 40] وَكَانَ بَنُو أُولَامَ رِجَالًا جَبَابِرَةَ بَأْسٍ يُغْرِقُونَ فِي ٱلْقِسِيِّ، كَثِيرِي ٱلْبَنِينَ وَبَنِي ٱلْبَنِينَ مِئَةً وَخَمْسِينَ. كُلُّ هَؤُلَاءِ مِنْ بَنِي بَنْيَامِينَ.
