[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] After this, the Moabites and Ammonites, together with some of the Meunites, came to make war against Jehoshaphat.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 20] Early in the morning they got up and left for the Wilderness of Tekoa. As they set out, Jehoshaphat stood up and said, “Hear me, O people of Judah and Jerusalem. Believe in the LORD your God, and you will be upheld; believe in His prophets, and you will succeed.”
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 21] Then Jehoshaphat consulted with the people and appointed those who would sing to the LORD and praise the splendor of His holiness. As they went out before the army, they were singing: “Give thanks to the LORD, for His loving devotion endures forever.”
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 22] The moment they began their shouts and praises, the LORD set ambushes against the men of Ammon, Moab, and Mount Seir who had come against Judah, and they were defeated.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 23] The Ammonites and Moabites rose up against the inhabitants of Mount Seir, devoting them to destruction. And when they had made an end to the inhabitants of Seir, they helped to destroy one another.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 24] When the men of Judah came to a place overlooking the wilderness, they looked for the vast army, but there were only corpses lying on the ground; no one had escaped.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 25] Then Jehoshaphat and his people went to carry off the plunder, and they found on the bodies an abundance of goods and valuables —more than they could carry away. They were gathering the plunder for three days because there was so much.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 26] On the fourth day they assembled in the Valley of Beracah, where they blessed the LORD. Therefore that place is called the Valley of Beracah to this day.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 27] Then all the men of Judah and Jerusalem, with Jehoshaphat at their head, returned joyfully to Jerusalem, for the LORD had made them rejoice over their enemies.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 28] So they entered Jerusalem and went into the house of the LORD with harps, lyres, and trumpets.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 29] And the fear of God came upon all the kingdoms of the lands when they heard that the LORD had fought against the enemies of Israel.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 30] Then Jehoshaphat’s kingdom was at peace, for his God had given him rest on every side.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 31] So Jehoshaphat reigned over Judah. He was thirty-five years old when he became king, and he reigned in Jerusalem twenty-five years. His mother’s name was Azubah daughter of Shilhi.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 32] And Jehoshaphat walked in the way of his father Asa and did not turn away from it; he did what was right in the eyes of the LORD.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 33] The high places, however, were not removed; the people had not yet set their hearts on the God of their fathers.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 34] As for the rest of the acts of Jehoshaphat, from beginning to end, they are indeed written in the Chronicles of Jehu son of Hanani, which are recorded in the Book of the Kings of Israel.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 35] Later, Jehoshaphat king of Judah made an alliance with Ahaziah king of Israel, who acted wickedly.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 36] They agreed to make ships to go to Tarshish, and these were built in Ezion-geber.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 37] Then Eliezer son of Dodavahu of Mareshah prophesied against Jehoshaphat, saying, “Because you have allied yourself with Ahaziah, the LORD has destroyed your works.” So the ships were wrecked and were unable to sail to Tarshish.
