[WEB | EN | NT | Mark | Chapter 1 | Verse 1] The beginning of the Good News of Jesus Christ, the Son of God.
[WEB | EN | NT | Mark | Chapter 1 | Verse 36] Simon and those who were with him searched for him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 37] They found him and told him, “Everyone is looking for you.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 38] He said to them, “Let’s go elsewhere into the next towns, that I may preach there also, because I came out for this reason.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 39] He went into their synagogues throughout all Galilee, preaching and casting out demons.
[WEB | EN | NT | Mark | Chapter 1 | Verse 40] A leper came to him, begging him, kneeling down to him, and saying to him, “If you want to, you can make me clean.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 41] Being moved with compassion, he stretched out his hand, and touched him, and said to him, “I want to. Be made clean.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 42] When he had said this, immediately the leprosy departed from him and he was made clean.
[WEB | EN | NT | Mark | Chapter 1 | Verse 43] He strictly warned him and immediately sent him out,
[WEB | EN | NT | Mark | Chapter 1 | Verse 44] and said to him, “See that you say nothing to anybody, but go show yourself to the priest and offer for your cleansing the things which Moses commanded, for a testimony to them.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 45] But he went out, and began to proclaim it much, and to spread about the matter, so that Jesus could no more openly enter into a city, but was outside in desert places. People came to him from everywhere.
