[WEB | EN | NT | Mark | Chapter 10 | Verse 1] He arose from there and came into the borders of Judea and beyond the Jordan. Multitudes came together to him again. As he usually did, he was again teaching them.
[WEB | EN | NT | Mark | Chapter 10 | Verse 22] But his face fell at that saying, and he went away sorrowful, for he was one who had great possessions.
[WEB | EN | NT | Mark | Chapter 10 | Verse 23] Jesus looked around and said to his disciples, “How difficult it is for those who have riches to enter into God’s Kingdom!”
[WEB | EN | NT | Mark | Chapter 10 | Verse 24] The disciples were amazed at his words. But Jesus answered again, “Children, how hard it is for those who trust in riches to enter into God’s Kingdom!
[WEB | EN | NT | Mark | Chapter 10 | Verse 25] It is easier for a camel to go through a needle’s eye than for a rich man to enter into God’s Kingdom.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 26] They were exceedingly astonished, saying to him, “Then who can be saved?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 27] Jesus, looking at them, said, “With men it is impossible, but not with God, for all things are possible with God.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 28] Peter began to tell him, “Behold, we have left all and have followed you.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 29] Jesus said, “Most certainly I tell you, there is no one who has left house, or brothers, or sisters, or father, or mother, or wife, or children, or land, for my sake, and for the sake of the Good News,
[WEB | EN | NT | Mark | Chapter 10 | Verse 30] but he will receive one hundred times more now in this time: houses, brothers, sisters, mothers, children, and land, with persecutions; and in the age to come eternal life.
[WEB | EN | NT | Mark | Chapter 10 | Verse 31] But many who are first will be last, and the last first.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 32] They were on the way, going up to Jerusalem; and Jesus was going in front of them, and they were amazed; and those who followed were afraid. He again took the twelve, and began to tell them the things that were going to happen to him.
[WEB | EN | NT | Mark | Chapter 10 | Verse 33] “Behold, we are going up to Jerusalem. The Son of Man will be delivered to the chief priests and the scribes. They will condemn him to death, and will deliver him to the Gentiles.
[WEB | EN | NT | Mark | Chapter 10 | Verse 34] They will mock him, spit on him, scourge him, and kill him. On the third day he will rise again.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 35] James and John, the sons of Zebedee, came near to him, saying, “Teacher, we want you to do for us whatever we will ask.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 36] He said to them, “What do you want me to do for you?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 37] They said to him, “Grant to us that we may sit, one at your right hand and one at your left hand, in your glory.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 38] But Jesus said to them, “You don’t know what you are asking. Are you able to drink the cup that I drink, and to be baptized with the baptism that I am baptized with?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 39] They said to him, “We are able.” Jesus said to them, “You shall indeed drink the cup that I drink, and you shall be baptized with the baptism that I am baptized with;
[WEB | EN | NT | Mark | Chapter 10 | Verse 40] but to sit at my right hand and at my left hand is not mine to give, but for whom it has been prepared.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 41] When the ten heard it, they began to be indignant toward James and John.
[WEB | EN | NT | Mark | Chapter 10 | Verse 42] Jesus summoned them and said to them, “You know that they who are recognized as rulers over the nations lord it over them, and their great ones exercise authority over them.
[WEB | EN | NT | Mark | Chapter 10 | Verse 43] But it shall not be so among you, but whoever wants to become great among you shall be your servant.
[WEB | EN | NT | Mark | Chapter 10 | Verse 44] Whoever of you wants to become first among you shall be bondservant of all.
[WEB | EN | NT | Mark | Chapter 10 | Verse 45] For the Son of Man also came not to be served but to serve, and to give his life as a ransom for many.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 46] They came to Jericho. As he went out from Jericho with his disciples and a great multitude, the son of Timaeus, Bartimaeus, a blind beggar, was sitting by the road.
[WEB | EN | NT | Mark | Chapter 10 | Verse 47] When he heard that it was Jesus the Nazarene, he began to cry out and say, “Jesus, you son of David, have mercy on me!”
[WEB | EN | NT | Mark | Chapter 10 | Verse 48] Many rebuked him, that he should be quiet, but he cried out much more, “You son of David, have mercy on me!”
[WEB | EN | NT | Mark | Chapter 10 | Verse 49] Jesus stood still and said, “Call him.” They called the blind man, saying to him, “Cheer up! Get up. He is calling you!”
[WEB | EN | NT | Mark | Chapter 10 | Verse 50] He, casting away his cloak, sprang up, and came to Jesus.
[WEB | EN | NT | Mark | Chapter 10 | Verse 51] Jesus asked him, “What do you want me to do for you?” The blind man said to him, “Rabboni, that I may see again.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 52] Jesus said to him, “Go your way. Your faith has made you well.” Immediately he received his sight and followed Jesus on the way.
