[WEB | EN | NT | Mark | Chapter 12 | Verse 1] He began to speak to them in parables. “A man planted a vineyard, put a hedge around it, dug a pit for the wine press, built a tower, rented it out to a farmer, and went into another country.
[WEB | EN | NT | Mark | Chapter 12 | Verse 35] Jesus responded, as he taught in the temple, “How is it that the scribes say that the Christ is the son of David?
[WEB | EN | NT | Mark | Chapter 12 | Verse 36] For David himself said in the Holy Spirit, ‘The Lord said to my Lord, “Sit at my right hand, until I make your enemies the footstool of your feet.”’
[WEB | EN | NT | Mark | Chapter 12 | Verse 37] Therefore David himself calls him Lord, so how can he be his son?” The common people heard him gladly.
[WEB | EN | NT | Mark | Chapter 12 | Verse 38] In his teaching he said to them, “Beware of the scribes, who like to walk in long robes, and to get greetings in the marketplaces,
[WEB | EN | NT | Mark | Chapter 12 | Verse 39] and to get the best seats in the synagogues and the best places at feasts,
[WEB | EN | NT | Mark | Chapter 12 | Verse 40] those who devour widows’ houses, and for a pretense make long prayers. These will receive greater condemnation.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 41] Jesus sat down opposite the treasury and saw how the multitude cast money into the treasury. Many who were rich cast in much.
[WEB | EN | NT | Mark | Chapter 12 | Verse 42] A poor widow came and she cast in two small brass coins, which equal a quadrans coin.
[WEB | EN | NT | Mark | Chapter 12 | Verse 43] He called his disciples to himself and said to them, “Most certainly I tell you, this poor widow gave more than all those who are giving into the treasury,
[WEB | EN | NT | Mark | Chapter 12 | Verse 44] for they all gave out of their abundance, but she, out of her poverty, gave all that she had to live on.”
