[BSB | EN | NT | Luke | Chapter 24 | Verse 1] On the first day of the week, very early in the morning, the women came to the tomb, bringing the spices they had prepared.
[BSB | EN | NT | Luke | Chapter 24 | Verse 28] As they approached the village where they were headed, He seemed to be going farther.
[BSB | EN | NT | Luke | Chapter 24 | Verse 29] But they pleaded with Him, “Stay with us, for it is nearly evening and the day is almost over.” So He went in to stay with them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 30] While He was reclining at the table with them, He took bread, spoke a blessing and broke it, and gave it to them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 31] Then their eyes were opened and they recognized Jesus—and He disappeared from their sight.
[BSB | EN | NT | Luke | Chapter 24 | Verse 32] They asked each other, “Were not our hearts burning within us as He spoke with us on the road and opened the Scriptures to us?”
[BSB | EN | NT | Luke | Chapter 24 | Verse 33] And they got up that very hour and returned to Jerusalem. There they found the Eleven and those with them, gathered together
[BSB | EN | NT | Luke | Chapter 24 | Verse 34] and saying, “The Lord has indeed risen and has appeared to Simon!”
[BSB | EN | NT | Luke | Chapter 24 | Verse 35] Then the two told what had happened on the road, and how they had recognized Jesus in the breaking of the bread.
[BSB | EN | NT | Luke | Chapter 24 | Verse 36] While they were describing these events, Jesus Himself stood among them and said, “Peace be with you.”
[BSB | EN | NT | Luke | Chapter 24 | Verse 37] But they were startled and frightened, thinking they had seen a spirit.
[BSB | EN | NT | Luke | Chapter 24 | Verse 38] “Why are you troubled,” Jesus asked, “and why do doubts arise in your hearts?
[BSB | EN | NT | Luke | Chapter 24 | Verse 39] Look at My hands and My feet. It is I Myself. Touch Me and see—for a spirit does not have flesh and bones, as you see I have.”
[BSB | EN | NT | Luke | Chapter 24 | Verse 40] And when He had said this, He showed them His hands and feet.
[BSB | EN | NT | Luke | Chapter 24 | Verse 41] While they were still in disbelief because of their joy and amazement, He asked them, “Do you have anything here to eat?”
[BSB | EN | NT | Luke | Chapter 24 | Verse 42] So they gave Him a piece of broiled fish,
[BSB | EN | NT | Luke | Chapter 24 | Verse 43] and He took it and ate it in front of them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 44] Jesus said to them, “These are the words I spoke to you while I was still with you: Everything must be fulfilled that is written about Me in the Law of Moses, the Prophets, and the Psalms.”
[BSB | EN | NT | Luke | Chapter 24 | Verse 45] Then He opened their minds to understand the Scriptures.
[BSB | EN | NT | Luke | Chapter 24 | Verse 46] And He told them, “This is what is written: The Christ will suffer and rise from the dead on the third day,
[BSB | EN | NT | Luke | Chapter 24 | Verse 47] and in His name repentance and forgiveness of sins will be proclaimed to all nations, beginning in Jerusalem.
[BSB | EN | NT | Luke | Chapter 24 | Verse 48] You are witnesses of these things.
[BSB | EN | NT | Luke | Chapter 24 | Verse 49] And behold, I am sending the promise of My Father upon you. But remain in the city until you have been clothed with power from on high.”
[BSB | EN | NT | Luke | Chapter 24 | Verse 50] When Jesus had led them out as far as Bethany, He lifted up His hands and blessed them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 51] While He was blessing them, He left them and was carried up into heaven.
[BSB | EN | NT | Luke | Chapter 24 | Verse 52] And they worshiped Him and returned to Jerusalem with great joy,
[BSB | EN | NT | Luke | Chapter 24 | Verse 53] praising God continually in the temple.
