[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 1] Ὦ ἀνόητοι Γαλάται, τίς ὑμᾶς ἐβάσκανε τῇ ἀληθείᾳ μὴ πείθεσθαι, οἷς κατ᾿ ὀφθαλμοὺς Ἰησοῦς Χριστὸς προεγράφη ἐν ὑμῖν ἐσταυρωμένος;
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 19] Τί οὖν ὁ νόμος; Τῶν παραβάσεων χάριν προσετέθη, ἄχρις οὗ ἔλθῃ τὸ σπέρμα ᾧ ἐπήγγελται, διαταγεὶς δι᾿ ἀγγέλων ἐν χειρὶ μεσίτου.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 20] Ὁ δὲ μεσίτης ἑνὸς οὐκ ἔστιν, ὁ δὲ Θεὸς εἷς ἐστίν.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 21] Ὁ οὖν νόμος κατὰ τῶν ἐπαγγελιῶν τοῦ Θεοῦ; Μὴ γένοιτο. Εἰ γὰρ ἐδόθη νόμος ὁ δυνάμενος ζῳοποιῆσαι, ὄντως ἂν ἐκ νόμου ἦν ἡ δικαιοσύνη.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 22] Ἀλλὰ συνέκλεισεν ἡ γραφὴ τὰ πάντα ὑπὸ ἁμαρτίαν, ἵνα ἡ ἐπαγγελία ἐκ πίστεως Ἰησοῦ Χριστοῦ δοθῇ τοῖς πιστεύουσι.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 23] Πρὸ τοῦ δὲ ἐλθεῖν τὴν πίστιν, ὑπὸ νόμον ἐφρουρούμεθα, συγκεκλεισμένοι εἰς τὴν μέλλουσαν πίστιν ἀποκαλυφθῆναι.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 24] Ὥστε ὁ νόμος παιδαγωγὸς ἡμῶν γέγονεν εἰς Χριστόν, ἵνα ἐκ πίστεως δικαιωθῶμεν.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 25] Ἐλθούσης δὲ τῆς πίστεως, οὐκέτι ὑπὸ παιδαγωγόν ἐσμεν.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 26] Πάντες γὰρ υἱοὶ Θεοῦ ἐστὲ διὰ τῆς πίστεως ἐν Χριστῷ Ἰησοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 27] Ὅσοι γὰρ εἰς Χριστὸν ἐβαπτίσθητε, Χριστὸν ἐνεδύσασθε.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 28] Οὐκ ἔνι Ἰουδαῖος οὐδὲ Ἕλλην, οὐκ ἔνι δοῦλος οὐδὲ ἐλεύθερος, οὐκ ἔνι ἄρσεν καὶ θῆλυ· πάντες γὰρ ὑμεῖς εἷς ἐστὲ ἐν Χριστῷ Ἰησοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 29] Εἰ δὲ ὑμεῖς Χριστοῦ, ἄρα τοῦ Ἀβραὰμ σπέρμα ἐστέ, καὶ κατ᾿ ἐπαγγελίαν κληρονόμοι.
