[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 1] Καὶ οὗτοι οἱ λόγοι τῆς βίβλου οὓς ἀπέστειλεν Ἱερεμίας ἐξ Ἱερουσαλὴμ πρὸς τοὺς πρεσβυτέρους τῆς ἀποικίας, καὶ πρὸς τοὺς ἱερεῖς, καὶ πρὸς τοὺς ψευδοπροφήτας, ἐπιστολὴν εἰς Βαβυλῶνα τῇ ἀποικίᾳ, καὶ πρὸς ἅπαντα τὸν λαὸν,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 12] Καὶ προσεύξασθε πρὸς μὲ, καὶ εἰσακούσομαι ὑμῶν.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 13] Καὶ ἐκζητήσατέ με, καὶ εὑρήσετέ με· ὅτι ζητήσετέ με ἐν ὅλῃ καρδίᾳ ὑμῶν,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 14] καὶ ἐπιφανοῦμαι ὑμῖν·
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 15] Ὅτι εἴπατε, κατέστησεν ἡμῖν Κύριος προφήτας ἐν Βαβυλῶνι·
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 21] Οὕτως εἶπε Κύριος ἐπὶ Ἀχιὰβ, καὶ ἐπὶ Σεδεκίαν, ἰδοὺ ἐγὼ δίδωμι αὐτοὺς εἰς χεῖρας βασιλέως Βαβυλῶνος, καὶ πατάξει αὐτοὺς κατʼ ὀφθαλμοὺς ὑμῶν.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 22] Καὶ λήψονται ἀπʼ αὐτῶν κατάραν ἐν πάσῃ τῇ ἀποικίᾳ Ἰούδα ἐν Βαβυλῶνι, λέγοντες, ποιήσαι σε Κύριος, ὡς Σεδεκίαν ἐποίησε, καὶ ὡς Ἀχιὰβ, οὓς ἀπετηγάνισε βασιλεὺς Βαβυλῶνος ἐν πυρὶ,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 23] διʼ ἣν ἐποίησαν ἀνομίαν ἐν Ἰσραὴλ, καὶ ἐμοιχῶντο τὰς γυναῖκας τῶν πολιτῶν αὐτῶν, καὶ λόγον ἐχρημάτισαν ἐν τῷ ὀνόματί μου, ὃν οὐ συνέταξα αὐτοῖς· καὶ ἐγὼ μάρτυς, φησὶ Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 24] Καὶ πρὸς Σαμαίαν τὸν Αἰλαμίτην ἐρεῖς,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 25] οὐκ ἀπέστειλά σε τῷ ὀνόματί μου· καὶ πρὸς Σοφονίαν υἱὸν Μαασαίου τὸν ἱερέα εἰπὲ,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 26] Κύριος ἔδωκέ σε ἱερέα ἀντὶ Ἰωδαὲ τοῦ ἱερέως, γενέσθαι ἐπιστάτην ἐν τῷ οἴκῳ Κυρίου παντὶ ἀνθρώπῳ προφητεύοντι, καὶ παντὶ ἀνθρώπῳ μαινομένῳ, καὶ δώσεις αὐτὸν εἰς τὸ ἀπόκλεισμα, καὶ εἰς τὸν καταράκτην.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 27] Καὶ νῦν διατί συνελοιδορήσατε Ἱερεμίαν τὸν ἐξ Ἀναθὼθ, τὸν προφητεύσαντα ὑμῖν;
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 28] Οὐ διατοῦτο ἀπέστειλεν; ὅτι διὰ τοῦ μηνὸς τούτου ἀπέστειλε πρὸς ὑμᾶς εἰς Βαβυλῶνα, λέγων, μακράν ἐστιν, οἰκοδομήσατε οἰκίας, καὶ κατοικήσατε, καὶ φυτεύσατε κήπους, καὶ φάγεσθε τὸν καρπὸν αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 29] Καὶ ἀνέγνω Σοφονίας τὸ βιβλίον εἰς τὰ ὦτα Ἱερεμίου.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 30] Καὶ ἐγένετο λόγος Κυρίου πρὸς Ἱερεμίαν, λέγων,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 31] ἀπόστειλον πρὸς τὴν ἀποικίαν, λέγων, οὕτως εἶπε Κύριος ἐπὶ Σαμαίαν τὸν Αἰλαμίτην, ἐπειδὴ ἐπροφήτευσεν ὑμῖν Σαμαίας, καὶ ἐγὼ οὐκ ἀπέστειλα αὐτὸν, καὶ πεποιθέναι ἐποίησεν ὑμᾶς ἐπʼ ἀδίκοις,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 32] διατοῦτο οὕτως εἶπε Κύριος, ἰδοὺ ἐγὼ ἐπισκέψομαι ἐπὶ Σαμαίαν, καὶ ἐπὶ τὸ γένος αὐτοῦ, καὶ οὐκ ἔσται αὐτῶν ἄνθρωπος ἐν μέσῳ ὑμῶν, τοῦ ἰδεῖν τὰ ἀγαθὰ, ἃ ἐγὼ ποιήσω ὑμῖν, οὐκ ὄψονται.
