[SBLGNT | EL | NT | John | Chapter 19 | Verse 1] Τότε οὖν ἔλαβεν ὁ Πιλᾶτος τὸν Ἰησοῦν καὶ ἐμαστίγωσεν.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 27] εἶτα λέγει τῷ μαθητῇ· ⸀Ἴδε ἡ μήτηρ σου. καὶ ἀπʼ ἐκείνης τῆς ὥρας ἔλαβεν ὁ μαθητὴς αὐτὴν εἰς τὰ ἴδια.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 28] Μετὰ τοῦτο ⸀εἰδὼς ὁ Ἰησοῦς ὅτι ⸂ἤδη πάντα⸃ τετέλεσται ἵνα τελειωθῇ ἡ γραφὴ λέγει· Διψῶ.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 29] ⸀σκεῦος ἔκειτο ὄξους μεστόν· ⸂σπόγγον οὖν μεστὸν τοῦ⸃ ὄξους ⸀ὑσσώπῳ περιθέντες προσήνεγκαν αὐτοῦ τῷ στόματι.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 30] ὅτε οὖν ἔλαβεν τὸ ὄξος ὁ Ἰησοῦς εἶπεν· Τετέλεσται, καὶ κλίνας τὴν κεφαλὴν παρέδωκεν τὸ πνεῦμα.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 31] Οἱ οὖν Ἰουδαῖοι, ⸂ἐπεὶ παρασκευὴ ἦν, ἵνα μὴ μείνῃ ἐπὶ τοῦ σταυροῦ τὰ σώματα ἐν τῷ σαββάτῳ⸃, ἦν γὰρ μεγάλη ἡ ἡμέρα ἐκείνου τοῦ σαββάτου, ἠρώτησαν τὸν Πιλᾶτον ἵνα κατεαγῶσιν αὐτῶν τὰ σκέλη καὶ ἀρθῶσιν.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 32] ἦλθον οὖν οἱ στρατιῶται, καὶ τοῦ μὲν πρώτου κατέαξαν τὰ σκέλη καὶ τοῦ ἄλλου τοῦ συσταυρωθέντος αὐτῷ·
[SBLGNT | EL | NT | John | Chapter 19 | Verse 33] ἐπὶ δὲ τὸν Ἰησοῦν ἐλθόντες, ὡς εἶδον ⸂ἤδη αὐτὸν⸃ τεθνηκότα, οὐ κατέαξαν αὐτοῦ τὰ σκέλη,
[SBLGNT | EL | NT | John | Chapter 19 | Verse 34] ἀλλʼ εἷς τῶν στρατιωτῶν λόγχῃ αὐτοῦ τὴν πλευρὰν ἔνυξεν, καὶ ⸂ἐξῆλθεν εὐθὺς⸃ αἷμα καὶ ὕδωρ.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 35] καὶ ὁ ἑωρακὼς μεμαρτύρηκεν, καὶ ἀληθινὴ ⸂αὐτοῦ ἐστιν⸃ ἡ μαρτυρία, καὶ ἐκεῖνος οἶδεν ὅτι ἀληθῆ λέγει, ἵνα ⸀καὶ ὑμεῖς ⸀πιστεύητε.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 36] ἐγένετο γὰρ ταῦτα ἵνα ἡ γραφὴ πληρωθῇ· Ὀστοῦν οὐ συντριβήσεται ⸀αὐτοῦ.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 37] καὶ πάλιν ἑτέρα γραφὴ λέγει· Ὄψονται εἰς ὃν ἐξεκέντησαν.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 38] Μετὰ ⸀δὲ ταῦτα ἠρώτησεν τὸν Πιλᾶτον Ἰωσὴφ ⸀ἀπὸ Ἁριμαθαίας, ὢν μαθητὴς τοῦ Ἰησοῦ κεκρυμμένος δὲ διὰ τὸν φόβον τῶν Ἰουδαίων, ἵνα ἄρῃ τὸ σῶμα τοῦ Ἰησοῦ· καὶ ἐπέτρεψεν ὁ Πιλᾶτος. ἦλθεν οὖν καὶ ἦρεν τὸ σῶμα ⸀αὐτοῦ.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 39] ἦλθεν δὲ καὶ Νικόδημος, ὁ ἐλθὼν πρὸς ⸀αὐτὸν νυκτὸς τὸ πρῶτον, φέρων ⸀μίγμα σμύρνης καὶ ἀλόης ὡς λίτρας ἑκατόν.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 40] ἔλαβον οὖν τὸ σῶμα τοῦ Ἰησοῦ καὶ ἔδησαν ⸀αὐτὸ ὀθονίοις μετὰ τῶν ἀρωμάτων, καθὼς ἔθος ἐστὶν τοῖς Ἰουδαίοις ἐνταφιάζειν.
[SBLGNT | EL | NT | John | Chapter 19 | Verse 41] ἦν δὲ ἐν τῷ τόπῳ ὅπου ἐσταυρώθη κῆπος, καὶ ἐν τῷ κήπῳ μνημεῖον καινόν, ἐν ᾧ οὐδέπω οὐδεὶς ⸂ἦν τεθειμένος⸃·
[SBLGNT | EL | NT | John | Chapter 19 | Verse 42] ἐκεῖ οὖν διὰ τὴν παρασκευὴν τῶν Ἰουδαίων, ὅτι ἐγγὺς ἦν τὸ μνημεῖον, ἔθηκαν τὸν Ἰησοῦν.
