[SBLGNT | EL | NT | John | Chapter 21 | Verse 1] Μετὰ ταῦτα ἐφανέρωσεν ἑαυτὸν πάλιν ⸀ὁ Ἰησοῦς τοῖς μαθηταῖς ἐπὶ τῆς θαλάσσης τῆς Τιβεριάδος· ἐφανέρωσεν δὲ οὕτως.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 12] λέγει αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ἀριστήσατε. οὐδεὶς ⸀δὲ ἐτόλμα τῶν μαθητῶν ἐξετάσαι αὐτόν· Σὺ τίς εἶ; εἰδότες ὅτι ὁ κύριός ἐστιν.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 13] ⸀ἔρχεται ⸀ὁ Ἰησοῦς καὶ λαμβάνει τὸν ἄρτον καὶ δίδωσιν αὐτοῖς, καὶ τὸ ὀψάριον ὁμοίως.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 14] τοῦτο ἤδη τρίτον ἐφανερώθη ⸀ὁ Ἰησοῦς τοῖς ⸀μαθηταῖς ἐγερθεὶς ἐκ νεκρῶν.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 15] Ὅτε οὖν ἠρίστησαν λέγει τῷ Σίμωνι Πέτρῳ ὁ Ἰησοῦς· Σίμων ⸀Ἰωάννου, ἀγαπᾷς με πλέον τούτων; λέγει αὐτῷ· Ναί, κύριε, σὺ οἶδας ὅτι φιλῶ σε. λέγει αὐτῷ· Βόσκε τὰ ἀρνία μου.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 16] λέγει αὐτῷ πάλιν δεύτερον· Σίμων ⸀Ἰωάννου, ἀγαπᾷς με; λέγει αὐτῷ· Ναί, κύριε, σὺ οἶδας ὅτι φιλῶ σε. λέγει αὐτῷ· Ποίμαινε τὰ πρόβατά μου.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 17] λέγει αὐτῷ τὸ τρίτον· Σίμων ⸀Ἰωάννου, φιλεῖς με; ἐλυπήθη ὁ Πέτρος ὅτι εἶπεν αὐτῷ τὸ τρίτον· Φιλεῖς με; καὶ ⸀εἶπεν αὐτῷ· Κύριε, ⸂πάντα σὺ⸃ οἶδας, σὺ γινώσκεις ὅτι φιλῶ σε. λέγει αὐτῷ ⸀ὁ Ἰησοῦς· Βόσκε τὰ ⸀πρόβατά μου.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 18] ἀμὴν ἀμὴν λέγω σοι, ὅτε ἦς νεώτερος, ἐζώννυες σεαυτὸν καὶ περιεπάτεις ὅπου ἤθελες· ὅταν δὲ γηράσῃς, ἐκτενεῖς τὰς χεῖράς σου, καὶ ἄλλος ⸂σε ζώσει⸃ καὶ οἴσει ὅπου οὐ θέλεις.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 19] τοῦτο δὲ εἶπεν σημαίνων ποίῳ θανάτῳ δοξάσει τὸν θεόν. καὶ τοῦτο εἰπὼν λέγει αὐτῷ· Ἀκολούθει μοι.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 20] ⸀Ἐπιστραφεὶς ὁ Πέτρος βλέπει τὸν μαθητὴν ὃν ἠγάπα ὁ Ἰησοῦς ἀκολουθοῦντα, ὃς καὶ ἀνέπεσεν ἐν τῷ δείπνῳ ἐπὶ τὸ στῆθος αὐτοῦ καὶ εἶπεν· Κύριε, τίς ἐστιν ὁ παραδιδούς σε;
[SBLGNT | EL | NT | John | Chapter 21 | Verse 21] τοῦτον ⸀οὖν ἰδὼν ὁ Πέτρος λέγει τῷ Ἰησοῦ· Κύριε, οὗτος δὲ τί;
[SBLGNT | EL | NT | John | Chapter 21 | Verse 22] λέγει αὐτῷ ὁ Ἰησοῦς· Ἐὰν αὐτὸν θέλω μένειν ἕως ἔρχομαι, τί πρὸς σέ; σύ ⸂μοι ἀκολούθει⸃.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 23] ἐξῆλθεν οὖν ⸂οὗτος ὁ λόγος⸃ εἰς τοὺς ἀδελφοὺς ὅτι ὁ μαθητὴς ἐκεῖνος οὐκ ἀποθνῄσκει. ⸂οὐκ εἶπεν δὲ⸃ αὐτῷ ὁ Ἰησοῦς ὅτι οὐκ ἀποθνῄσκει ἀλλʼ· Ἐὰν αὐτὸν θέλω μένειν ἕως ἔρχομαι, τί πρὸς σέ;
[SBLGNT | EL | NT | John | Chapter 21 | Verse 24] Οὗτός ἐστιν ὁ μαθητὴς ὁ μαρτυρῶν περὶ τούτων καὶ ⸀ὁ γράψας ταῦτα, καὶ οἴδαμεν ὅτι ἀληθὴς ⸂αὐτοῦ ἡ μαρτυρία ἐστίν⸃.
[SBLGNT | EL | NT | John | Chapter 21 | Verse 25] ἔστιν δὲ καὶ ἄλλα πολλὰ ⸀ἃ ἐποίησεν ὁ Ἰησοῦς, ἅτινα ἐὰν γράφηται καθʼ ἕν, οὐδʼ αὐτὸν οἶμαι τὸν κόσμον ⸀χωρήσειν τὰ γραφόμενα ⸀βιβλία.
