[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 1] Woe unto thee, Babylon, and Asia! woe unto thee, Egypt, and Syria!
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 18] The beginning of sorrows, and there shall be great mournings; the beginning of famine, and many shall perish; the beginning of wars, and the powers shall stand in fear; the beginning of evils, and all shall tremble! what shall they do in all this when the evils shall come?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 19] Behold, famine and plague, tribulation and anguish! they are sent as scourges for amendment.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 20] But for all these things they shall not turn them from their wickedness, nor be always mindful of the scourges.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 21] Behold, victuals shall be so good cheap upon earth, that they shall think themselves to be in good case, and even then shall evils grow upon earth, sword, famine, and great confusion.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 22] For many of them that dwell upon earth shall perish of famine; and the other, that escape the famine, shall the sword destroy.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 23] And the dead shall be cast out as dung, and there shall be no man to comfort them: for the earth shall be left desolate, and the cities thereof shall be cast down.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 24] There shall be no husbandman left to till the earth, and to sow it.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 25] The trees shall give fruit, and who shall gather them?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 26] The grapes shall ripen, and who shall tread them? for in all places there shall be a great forsaking:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 27] for one man shall desire to see another, or to hear his voice.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 28] For of a city there shall be ten left, and two of the field, who have hidden themselves in the thick groves, and in the clefts of the rocks.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 29] As in an orchard of olives upon every tree there be left three or four olives,
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 30] or as when a vineyard is gathered there be some clusters left by them that diligently seek through the vineyard;
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 31] even so in those days there shall be three or four left by them that search their houses with the sword.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 32] And the earth shall be left desolate, and the fields thereof shall be for briers, and her ways and all her paths shall bring forth thorns, because no sheep shall pass therethrough.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 33] The virgins shall mourn, having no bridegrooms; the women shall mourn, having no husbands; their daughters shall mourn, having no helpers.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 34] In the wars shall their bridegrooms be destroyed, and their husbands shall perish of famine.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 35] Hear now these things, and understand them, ye servants of the Lord.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 36] Behold, the word of the Lord, receive it: disbelieve not the things whereof the Lord speaketh.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 37] Behold, the evils draw nigh, and are not slack.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 38] Like as a woman with child in the ninth month, when the hour of her delivery draweth near, within two or three hours doleful pains compass her womb, and when the child cometh forth from the womb, there shall be no tarrying for a moment:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 39] even so shall not the evils be slack to come upon the earth, and the world shall groan, and sorrows shall take hold of it on every side.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 40] O my people, hear my word: make you ready to the battle, and in those evils be even as pilgrims upon the earth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 41] He that selleth, let him be as he that fleeth away: and he that buyeth, as one that will lose:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 42] he that occupieth merchandise, as he that hath no profit by it: and he that buildeth, as he that shall not dwell therein:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 43] he that soweth, as if he should not reap: so also he that pruneth the vines, as he that shall not gather the grapes:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 44] they that marry, as they that shall get no children; and they that marry not, as the widowed.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 45] Inasmuch as they that labor labor in vain;
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 46] for strangers shall reap their fruits, and plunder their goods, overthrow their houses, and take their children captive, for in captivity and famine shall they beget their children:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 47] and they that traffic traffic to become a spoil: the more they deck their cities, their houses, their possessions, and their own persons,
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 48] the more will I hate them for their sins, saith the Lord.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 49] Like as a right honest and virtuous woman hateth a harlot,
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 50] so shall righteousness hate iniquity, when she decketh herself, and shall accuse her to her face, when he cometh that shall defend him that diligently searcheth out every sin upon earth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 51] Therefore be ye not like thereunto, nor to the works thereof.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 52] For yet a little while, and iniquity shall be taken away out of the earth, and righteousness shall reign over us.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 53] Let not the sinner say that he hath not sinned: for he shall burn coals of fire upon his head, who saith, I have not sinned before God and his glory.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 54] Behold, the Lord knoweth all the works of men, their imaginations, their thoughts, and their hearts.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 55] Who said, Let the earth be made; and it was made: Let the heaven be made; and it was made.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 56] And at his word were the stars established, and he knoweth the number of the stars.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 57] Who searcheth the deep, and the treasures thereof; he hath measured the sea, and what it containeth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 58] Who hath shut the sea in the midst of the waters, and with his word hath he hung the earth upon the waters.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 59] Who spreadeth out the heaven like a vault; upon the waters hath he founded it.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 60] Who hath made in the desert springs of water, and pools upon the tops of the mountains, to send forth rivers from the height to water the earth.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 61] Who framed man, and put a heart in the midst of the body, and gave him breath, life, and understanding,
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 62] yea, the spirit of God Almighty. He who made all things, and searcheth out hidden things in hidden places,
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 63] surely he knoweth your imagination, and what ye think in your hearts. Woe to them that sin, and would fain hide their sin!
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 64] Forasmuch as the Lord will exactly search out all your works, and he will put you all to shame.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 65] And when your sins are brought forth before men, ye shall be ashamed, and your own iniquities shall stand as your accusers in that day.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 66] What will ye do? or how will ye hide your sins before God and his angels?
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 67] Behold, God is the judge, fear him: leave off from your sins, and forget your iniquities, to meddle no more with them forever: so shall God lead you forth, and deliver you from all tribulation.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 68] For, behold, the burning wrath of a great multitude is kindled over you, and they shall take away certain of you, and feed you with that which is slain unto idols.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 69] And they that consent unto them shall be had in derision and in reproach, and be trodden under foot of them.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 70] For there shall be in diverse places, and in the next cities, a great insurrection upon those that fear the Lord.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 71] They shall be like mad men, sparing none, but plundering and destroying them that still fear the Lord.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 72] For they shall waste and take away their goods, and cast them out of their houses.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 73] Then shall be manifest the trial of mine elect; even as the gold that is tried in the fire.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 74] Hear, O ye mine elect, saith the Lord: behold, the days of tribulation are at hand, and I will deliver you from them.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 75] Be ye not afraid, neither doubt; for God is your guide:
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 76] and ye who keep my commandments and precepts, saith the Lord God, let not your sins weigh you down, and let not your iniquities lift up themselves.
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 77] Woe unto them that are fast bound with their sins, and covered with their iniquities, like as a field is fast bound with bushes, and the path thereof covered with thorns, that no man may travel through!
[ASV | EN | OT | 2 Esdras | Chapter 16 | Verse 78] It is even shut off, and given up to be consumed of fire.
