[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 1] And it came to pass, while the lion spake these words unto the eagle, I beheld,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 19] And whereas thou sawest the eight under wings sticking to her wings, this is the interpretation:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 20] That in it there shall arise eight kings, whose times shall be but small, and their years swift.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 21] And two of them shall perish, when the middle time approacheth: four shall be kept for a while until the time of the ending thereof shall approach: but two shall be kept unto the end.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 22] And whereas thou sawest three heads resting, this is the interpretation:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 23] In the last days thereof shall the Most High raise up three kingdoms, and renew many things therein, and they shall bear rule over the earth,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 24] and over those that dwell therein, with much oppression, above all those that were before them: therefore are they called the heads of the eagle.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 25] For these are they that shall accomplish her wickedness, and that shall finish her last end.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 26] And whereas thou sawest that the great head appeared no more, it signifieth that one of them shall die upon his bed, and yet with pain.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 27] But for the two that remained, the sword shall devour them.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 28] For the sword of the one shall devour him that was with him: but he also shall fall by the sword in the last days.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 29] And whereas thou sawest two under wings passing over unto the head that is on the right side,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 30] this is the interpretation: These are they, whom the Most High hath kept unto his end: this is the small kingdom and full of trouble, as thou sawest.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 31] And the lion, whom thou sawest rising up out of the wood, and roaring, and speaking to the eagle, and rebuking her for her unrighteousness, and all her words which thou hast heard;
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 32] this is the anointed one, whom the Most High hath kept unto the end of days, who shall spring up out of the seed of David, and he shall come and speak unto them and reprove them for their wickedness and unrighteousness, and shall heap up before them their contemptuous dealings.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 33] For at the first he shall set them alive in his judgment, and when he hath reproved them, he shall destroy them.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 34] For the rest of my people shall he deliver with mercy, those that have been preserved throughout my borders, and he shall make them joyful until the coming of the end, even the day of judgment, whereof I have spoken unto thee from the beginning.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 35] This is the dream that thou sawest, and this is the interpretation thereof:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 36] and thou only hast been meet to know the secret of the Most High.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 37] Therefore write all these things that thou hast seen in a book, and put them in a secret place:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 38] and thou shalt teach them to the wise of thy people, whose hearts thou knowest are able to comprehend and keep these secrets.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 39] But wait thou here thyself yet seven days more, that there may be shown unto thee whatsoever it pleaseth the Most High to show thee. And he departed from me.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 40] And it came to pass, when all the people saw that the seven days were past, and I had not come again into the city, they gathered them all together, from the least unto the greatest, and came unto me, and spake to me, saying,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 41] What have we offended thee? and what evil have we done against thee, that thou hast utterly forsaken us, and sittest in this place?
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 42] For of all the prophets thou only art left us, as a cluster of the vintage, and as a lamp in a dark place, and as a haven for a ship saved from the tempest.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 43] Are not the evils which are come to us sufficient?
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 44] If thou shalt forsake us, how much better had it been for us, if we also had been consumed in the burning of Zion!
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 45] For we are not better than they that died there. And they wept with a loud voice. And I answered them, and said,
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 46] Be of good comfort, O Israel; and be not sorrowful, thou house of Jacob:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 47] for the Most High hath you in remembrance, and the Mighty hath not forgotten you forever.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 48] As for me, I have not forsaken you, neither am I departed from you: but am come into this place, to pray for the desolation of Zion, and that I might seek mercy for the low estate of your sanctuary.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 49] And now go your way every man to his own house, and after these days will I come unto you.
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 50] So the people went their way into the city, like as I said unto them:
[ASV | EN | OT | 2 Esdras | Chapter 12 | Verse 51] but I sat in the field seven days, as the angel commanded me; and in those days I did eat only of the flowers of the field, and had my meat of the herbs.
