[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the children of the province that went up from the captivity, of those who had been carried away, whom Nebuchadnezzar the king of Babylon had carried away to Babylon, and came again to Jerusalem and Judah, every one to his city;
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 36] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 37] The children of Immer, a thousand fifty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 38] The children of Pashur, a thousand two hundred forty and seven.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 39] The children of Harim, a thousand and seventeen.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy and four.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 41] The singers: the children of Asaph, a hundred twenty and eight.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 42] The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all a hundred thirty and nine.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 43] The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 44] The children of Keros, the children of Siaha, the children of Padon,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 45] The children of Lebanah, the children of Hagabah, the children of Akkub,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 46] The children of Hagab, the children of Shalmai, the children of Hanan,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 47] The children of Giddel, the children of Gahar, the children of Reaiah,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 48] The children of Rezin, the children of Nekoda, the children of Gazzam,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 49] The children of Uzza, the children of Paseah, the children of Besai,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 50] The children of Asnah, the children of Mehunim, the children of Nephusim,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 51] The children of Bakbuk, the children of Hakupha, the children of Harhur,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 52] The children of Bazluth, the children of Mehida, the children of Harsha,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 53] The children of Barkos, the children of Sisera, the children of Thamah,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 54] The children of Neziah, the children of Hatipha.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 55] The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 56] The children of Jaalah, the children of Darkon, the children of Giddel,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 57] The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 58] All the Nethinims, and the children of Solomon's servants, were three hundred ninety and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 59] And these were they who went up from Tel-melah, Tel-harsa, Cherub, Addan, and Immer: but they could not show their fathers' house, and their seed, whether they were of Israel:
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 60] The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred fifty and two.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 61] And of the children of the priests: the children of Habaiah, the children of Koz, the children of Barzillai: who took a wife of the daughters of Barzillai the Gileadite, and was called after their name:
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 62] These sought their register among those that were reckoned by genealogy, but they were not found: therefore were they, as polluted, put from the priesthood.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 63] And the Tirshatha said to them, that they should not eat of the most holy things, till there stood up a priest with Urim and with Thummim.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 64] The whole congregation together was forty and two thousand three hundred and sixty,
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 65] Besides their servants and their maids, of whom there were seven thousand three hundred thirty and seven: and there were among them two hundred singing-men and singing-women.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 66] Their horses were seven hundred thirty and six; their mules, two hundred forty and five;
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 67] Their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 68] And some of the chief of the fathers, when they came to the house of the LORD which is at Jerusalem, offered freely for the house of God to set it up in its place:
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 69] They gave after their ability to the treasure of the work sixty and one thousand drams of gold, and five thousand pounds of silver, and one hundred priests garments.
[WEBSTER | EN | OT | Ezra | Chapter 2 | Verse 70] So the priests, and the Levites, and some of the people, and the singers, and the porters, and the Nethinims, dwelt in their cities, and all Israel in their cities.
