[GNV | EN | NT | Matthew | Chapter 27 | Verse 1] When the morning was come, all the chiefe Priests, and the elders of the people tooke counsell against Iesus, to put him to death,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 33] And when they came vnto the place called Golgotha, (that is to say, the place of dead mens skulles)
[GNV | EN | NT | Matthew | Chapter 27 | Verse 34] They gaue him vineger to drinke, mingled with gall: and when he had tasted thereof, he would not drinke.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 35] And when they had crucified him, they parted his garments, and did cast lottes, that it might be fulfilled, which was spoken by the Prophet, They deuided my garments among them, and vpon my vesture did cast lottes.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 36] And they sate, and watched him there.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 37] They set vp also ouer his head his cause written, THIS IS IESVS THE KING OF THE IEVVES.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 38] And there were two theeues crucified with him, one on the right hand, and another on the left.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 39] And they that passed by, reuiled him, wagging their heades,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 40] And saying, Thou that destroyest ye Temple, and buildest it in three dayes, saue thy selfe: if thou be ye Sonne of God, come downe from ye crosse.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 41] Likewise also the hie Priests mocking him, with the Scribes, and Elders, and Pharises, said,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 42] He saued others, but he cannot saue him selfe: if he be ye King of Israel, let him now come downe from ye crosse, and we will beleeue in him.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 43] He trusted in God, let him deliuer him nowe, if he will haue him: for he saide, I am the Sonne of God.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 44] The selfe same thing also ye theeues which were crucified with him, cast in his teeth.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 45] Now from ye sixt houre was there darkenesse ouer all the land, vnto the ninth houre.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 46] And about ye ninth houre Iesus cryed with a loud voyce, saying, Eli, Eli, lamasabachthani? that is, My God, my God, why hast thou forsaken me?
[GNV | EN | NT | Matthew | Chapter 27 | Verse 47] And some of them that stoode there, when they heard it, said, This man calleth Elias.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 48] And straightway one of them ran, and tooke a spondge, and filled it with vineger, and put it on a reede, and gaue him to drinke.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 49] Other said, Let be: let vs see, if Elias wil come and saue him.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 50] Then Iesus cryed againe with a loude voyce, and yeelded vp the ghost.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 51] And behold, the vayle of the Temple was rent in twaine, from the top to the bottome, and the earth did quake, and the stones were cloue.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 52] And the graues did open themselues, and many bodies of the Saintes, which slept, arose,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 53] And came out of the graues after his resurrection, and went into the holy citie, and appeared vnto many.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 54] When the Centurion, and they that were with him watching Iesus, saw the earthquake, and the thinges that were done, they feared greatly, saying, Truely this was the Sonne of God.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 55] And many women were there, beholding him a farre off, which had folowed Iesus from Galile, ministring vnto him.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 56] Among whom was Marie Magdalene, and Marie the mother of Iames, and Ioses, and the mother of Zebedeus sonnes.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 57] And when the euen was come, there came a riche man of Arimathea, named Ioseph, who had also himselfe bene Iesus disciple.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 58] He went to Pilate, and asked ye body of Iesus. Then Pilate commanded ye body to be deliuered.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 59] So Ioseph tooke the body, and wrapped it in a cleane linnen cloth,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 60] And put it in his new tombe, which he had hewen out in a rocke, and rolled a great stone to the doore of the sepulchre, and departed.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 61] And there was Marie Magdalene, and the other Marie sitting ouer against the sepulchre.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 62] Nowe the next day that followed the Preparation of the Sabbath, the hie Priestes and Pharises assembled to Pilate,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 63] And said, Syr, we remember that that deceiuer saide, while he was yet aliue, Within three dayes I will rise.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 64] Command therefore, that the sepulchre be made sure vntill the third day, lest his disciples come by night, and steale him away, and say vnto the people, He is risen from the dead: so shall the last errour be worse then the first.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 65] Then Pilate saide vnto them, Ye haue a watch: goe, and make it sure as ye knowe.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 66] And they went, and made the sepulchre sure with the watch, and sealed the stone.
