[IRV | MR | NT | Luke | Chapter 19 | Verse 1] येशूने यरीहोत प्रवेश केला आणि त्यामधून जात होता.
[IRV | MR | NT | Luke | Chapter 19 | Verse 29] तो वर जातांना, जेव्हा तो जैतून डोंगर म्हटलेल्या टेकडीनजीक असलेल्या बेथफगे आणि बेथानीजवळ आला तेव्हा त्याने आपल्या दोन शिष्यांना असे सांगून पाठवले,
[IRV | MR | NT | Luke | Chapter 19 | Verse 30] व म्हटले, “तुमच्यासमोर असलेल्या खेड्यात जा. तुम्ही प्रवेश करताच, ज्यावर कोणी बसले नाही असे शिंगरु तुम्हास बांधलेले आढळेल. ते सोडून येथे आणा.
[IRV | MR | NT | Luke | Chapter 19 | Verse 31] जर तुम्हास कोणी विचारले की, ‘तुम्ही ते का सोडता? तर म्हणा की, प्रभूला याची गरज आहे.’”
[IRV | MR | NT | Luke | Chapter 19 | Verse 32] ज्यांना पाठवले होते, ते गेले आणि त्याने सांगितल्याप्रमाणे त्यास आढळले.
[IRV | MR | NT | Luke | Chapter 19 | Verse 33] ते शिंगरु सोडीत असता त्याचा मालक त्यांना म्हणाला, “तुम्ही शिंगरु का सोडता?”
[IRV | MR | NT | Luke | Chapter 19 | Verse 34] ते म्हणाले, “प्रभूला याची गरज आहे.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 35] त्यांनी ते येशूकडे आणले. त्यांनी आपले झगे शिंगरावर घातले आणि येशूला त्याच्यावर बसविले.
[IRV | MR | NT | Luke | Chapter 19 | Verse 36] येशू रस्त्यावरुन जात असता लोक आपली वस्त्रे रस्त्यावर पसरीत होते.
[IRV | MR | NT | Luke | Chapter 19 | Verse 37] तो जेव्हा जैतून डोंगराच्या उतरावर आला तेव्हा सर्व शिष्यसमुदाय, त्यांनी जे चमत्कार पाहिले होते त्याबद्दल मोठ्या आनंदाने देवाची स्तुती करू लागला.
[IRV | MR | NT | Luke | Chapter 19 | Verse 38] ते म्हणाले, “प्रभूच्या नावाने येणारा राजा धन्यवादित असो! स्वर्गात शांती आणि ऊर्ध्वलोकी गौरव.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 39] जमावातील काही परूशी येशूला म्हणाले, “गुरुजी, आपल्या शिष्यांना गप्प राहण्यास सांगा.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 40] त्याने उत्तर दिले, “मी तुम्हास सांगतो, जर ते शांत बसतील तर हे धोंडे ओरडतील.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 41] तो जेव्हा जवळ आला व त्याने शहर पाहिले, तेव्हा तो त्यासाठी रडला आणि म्हणाला,
[IRV | MR | NT | Luke | Chapter 19 | Verse 42] “कोणत्या गोष्टी तुला शांती देतील ते जर आज तू जाणून घेतले असते तर! परंतु आता त्या तुझ्या नजरेपासून लपवून ठेवण्यात आल्या आहेत.
[IRV | MR | NT | Luke | Chapter 19 | Verse 43] तुझ्यावर असे दिवस येतील की, तुझे शत्रू तुझ्याभोवती कोट उभारतील. तुला वेढतील आणि सर्व बाजूंनी तुला कोंडीत पकडतील.
[IRV | MR | NT | Luke | Chapter 19 | Verse 44] ते तुला, तुझ्या मुलांना तुझ्या भिंतीच्या आत धुळीस मिळवतील व दगडावर दगड राहू देणार नाही कारण तू देवाचा तुझ्याकडे येण्याचा समय तू ओळखला नाही.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 45] येशूने परमेश्वराच्या भवनात प्रवेश केला व विक्री करीत होते त्यांना बाहेर घालवू लागला.
[IRV | MR | NT | Luke | Chapter 19 | Verse 46] आणि त्यांना म्हणाला, “पवित्र शास्त्रात असे लिहिले आहे की, माझे घर प्रार्थनेचे घर होईल, पण तुम्ही ते लुटारुची गुहा केली आहे.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 47] तो दररोज परमेश्वराच्या भवनात शिकवीत असे. मुख्य याजक लोक, नियमशास्त्राचे शिक्षक, लोकांचे पुढारी त्यास ठार मारण्याचा प्रयत्न करीत होते.
[IRV | MR | NT | Luke | Chapter 19 | Verse 48] पण तसे करण्यासाठी त्यांना काही मार्ग सापडत नव्हता कारण सर्व लोक त्याचे मन लावून ऐकत असत.
