[IRV | BN | NT | Luke | Chapter 23 | Verse 1] পরে তারা সবাই উঠে যীশুকে পীলাতের কাছে নিয়ে গেল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 32] আরও দুজন অপরাধীকে মৃত্যুদণ্ড দেবার জন্য তাঁর সঙ্গে নিয়ে যাওয়া হচ্ছিল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 33] পরে মাথার খুলি নামে জায়গায় নিয়ে গিয়ে তারা সেখানে তাঁকে এবং সেই দুজন অপরাধীকে ক্রুশে দিল, এক জনকে তার ডান পাশে ও অপর জনকে বাম পাশে রাখল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 34] তখন যীশু বললেন, পিতা, এদের ক্ষমা কর, কারণ এরা কি করছে, তা জানে না। পরে তারা তাঁর জামা-কাপড়গুলি নিজেদের মধ্যে ভাগ করল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 35] লোকেরা দাঁড়িয়ে দেখছিল। ইহূদি শাসকেরা তাঁকে ব্যঙ্গ করে বলতে লাগল, ওই ব্যক্তি অন্য লোককে রক্ষা করত, যদি তিনি ঈশ্বরের সেই মনোনীত খ্রীষ্ট, তবে নিজেকে রক্ষা করুক,
[IRV | BN | NT | Luke | Chapter 23 | Verse 36] আর সেনারাও তাঁকে ঠাট্টা করল, তাঁর কাছে অম্লরশ নিয়ে বলতে লাগল,
[IRV | BN | NT | Luke | Chapter 23 | Verse 37] তুমি যদি ইহূদিদের রাজা হও, তবে নিজেকে রক্ষা কর,
[IRV | BN | NT | Luke | Chapter 23 | Verse 38] আর তাঁর উপরে ফলকে এই লেখা ছিল, “এ ইহূদিদের রাজা।”
[IRV | BN | NT | Luke | Chapter 23 | Verse 39] আর যে দুজন অপরাধীকে ক্রুশে ঝোলানো হয়েছিল, তাদের মধ্যে একজন খ্রীষ্টকে নিন্দা করে বলতে লাগল, তুমি নাকি সেই খ্রীষ্ট? নিজেকে ও আমাদের রক্ষা কর।
[IRV | BN | NT | Luke | Chapter 23 | Verse 40] কিন্তু অন্যজন উত্তর দিয়ে তাকে ধমক দিয়ে বলল, তুমি কি ঈশ্বরকে ভয় কর না? তুমিও তো একই শাস্তি পাচ্ছ।
[IRV | BN | NT | Luke | Chapter 23 | Verse 41] আর আমরা যে শাস্তি পাচ্ছি তা ন্যায্য; কারণ যা যা করেছি, তারই যোগ্য শাস্তি পাচ্ছি; কিন্তু ইনি অন্যায় কাজ কিছুই করেননি।
[IRV | BN | NT | Luke | Chapter 23 | Verse 42] পরে সে বলল, যীশু, আপনি যখন নিজের রাজ্যে আসবেন, তখন আমাকে মনে করবেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 43] তিনি তাকে বললেন, আমি তোমাকে সত্যি বলছি, আজই তুমি আমার সঙ্গে স্বর্গরাজ্যে যাবে।
[IRV | BN | NT | Luke | Chapter 23 | Verse 44] তখন বেলা প্রায় বারোটা আর তিনটা পর্যন্ত সারা দেশ অন্ধকারময় হয়ে থাকল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 45] সূর্য্যের আলো থাকলো না, আর মন্দিরের পর্দাটা মাঝামাঝি চিরে ভাগ হয়ে গেল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 46] আর যীশু খুব জোরে চিৎকার করে বললেন, পিতা, তোমার হাতে আমার আত্মা সমর্পণ করলাম; আর এই বলে তিনি প্রাণ ত্যাগ করলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 47] যা ঘটল, তা দেখে শতপতি ঈশ্বরের গৌরব করে বললেন, সত্যিই, এই ব্যক্তি ধার্মিক ছিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 48] আর যেসব লোক এই দৃশ্য দেখার জন্য এসেছিল, তারা এই সব দেখে বুক চাপড়াতে চাপড়াতে ফিরে গেল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 49] আর তাঁর পরিচিত সবাই এবং যে স্ত্রীলোকেরা তাঁর সঙ্গে গালীল থেকে এসেছিলেন তারা দূরে এই সব দেখছিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 50] আর দেখ, যোষেফ নামে এক ব্যক্তি ছিলেন, তিনি মন্ত্রী, এক সৎ ধার্মিক লোক,
[IRV | BN | NT | Luke | Chapter 23 | Verse 51] এই ব্যক্তি ওদের পরিকল্পনাতে ও কাজে সম্মত ছিলেন না; তিনি অরিমাথিয়া ইহূদি শহরের লোক; তিনি ঈশ্বরের রাজ্যের জন্য অপেক্ষা করছিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 52] এ ব্যক্তি পীলাতের কাছে গিয়ে যীশুর মৃতদেহ চাইলেন;
[IRV | BN | NT | Luke | Chapter 23 | Verse 53] পরে তা নামিয়ে ঐ চাদরে জড়ালেন এবং পাথর দিয়ে তৈরী এক কবরের মধ্যে তাকে রাখলেন, যাতে কখনো কাউকে রাখা হয়নি।
[IRV | BN | NT | Luke | Chapter 23 | Verse 54] সেই দিন আয়োজনের দিন এবং বিশ্রামবার প্রায় শুরু হয়ে গিয়েছিল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 55] আর যে স্ত্রীলোকেরা তাঁর সাথে গালীল থেকে এসেছিলেন, তারা পিছন পিছন গিয়ে সেই কবর এবং কীভাবে তাঁর মৃতদেহ রাখা যায়, তা দেখলেন;
[IRV | BN | NT | Luke | Chapter 23 | Verse 56] পরে ফিরে গিয়ে সুগন্ধি দ্রব্য ও তেল প্রস্তুত করলেন। তখন তাঁরা ঈশ্বরের আদেশ অনুযায়ী বিশ্রামবারে বিশ্রাম নিলেন।
