[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 1] And he went out from thence, and came into his own country, and his disciples follow him.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 20] For Herod feared John, knowing that he was a just and holy man, and observed him: and when he heard him, he did many things, and heard him gladly.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 21] And when a convenient day had come, that Herod on his birth-day made a supper to his lords, high captains, and chief men of Galilee;
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 22] And when the daughter of the said Herodias came in, and danced, and pleased Herod, and them that sat with him, the king said to the damsel, Ask of me whatever thou wilt, and I will give it thee.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 23] And he swore to her, Whatever thou shalt ask of me, I will give it thee, to the half of my kingdom.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 24] And she went forth, and said to her mother, What shall I ask? and she said, The head of John the Baptist.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 25] And she came in forthwith with haste to the king, and asked, saying, I will that thou shouldst give me, immediately, in a dish, the head of John the Baptist.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 26] And the king was exceeding sorry: yet for his oath's sake, and for their sakes who sat with him, he would not reject her.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 27] And immediately the king sent an executioner, and commanded his head to be brought: and he went and beheaded him in the prison,
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 28] And brought his head in a dish, and gave it to the damsel: and the damsel gave it to her mother.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 29] And when his disciples heard of it , they came and took up his corpse, and laid it in a tomb.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 30] And the apostles assembled themselves to Jesus, and told him all things, both what they had done, and what they had taught.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 31] And he said to them, Come ye yourselves apart into a desert place, and rest a while: for there were many coming and going, and they had no leisure so much as to eat.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 32] And they departed into a desert place in a boat privately.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 33] And the people saw them departing, and many knew him, and ran on foot thither out of all cities, and out went them, and came together to him.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 34] And Jesus, when he came out, saw many people, and was moved with compassion towards them, because they were as sheep not having a shepherd: and he began to teach them many things.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 35] And when the day was now far spent, his disciples came to him, and said, This is a desert place, and now the time is far passed:
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 36] Send them away, that they may go into the country around, and into the villages, and buy themselves bread: for they have nothing to eat.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 37] He answered and said to them, Give ye them to eat. And they say to him, Shall we go and buy two hundred pennyworth of bread, and give them to eat?
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 38] He saith to them, How many loaves have ye? go and see. And when they knew, they say, Five, and two fishes.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 39] And he commanded them to make all sit down by companies upon the green grass.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 40] And they sat down in ranks, by hundreds, and by fifties.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 41] And when he had taken the five loaves, and the two fishes, he looked up to heaven, and blessed, and broke the loaves, and gave them to his disciples to set before them; and the two fishes he divided among them all.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 42] And they all ate, and were satisfied.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 43] And they took up twelve baskets full of the fragments, and of the fishes.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 44] And they that ate of the loaves, were about five thousand men.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 45] And immediately he constrained his disciples to get into the boat, and to go to the other side before to Bethsaida, while he sent away the people.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 46] And when he had dismissed them, he departed to a mountain to pray.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 47] And when evening was come, the boat was in the midst of the sea, and he alone on the land.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 48] And he saw them toiling in rowing; for the wind was contrary to them: and about the fourth watch of the night he cometh to them, walking upon the sea, and would have passed by them.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 49] But when they saw him walking upon the sea, they supposed it had been a spirit, and cried out.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 50] (For they all saw him, and were troubled.) And immediately he talked with them, and saith to them, Be of good cheer: It is I; be not afraid.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 51] And he went up to them into the boat; and the wind ceased: and they were greatly amazed in themselves beyond measure, and wondered.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 52] For they considered not the miracle of the loaves; for their heart was hardened.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 53] And when they had passed over, they came into the land of Gennesaret, and drew to the shore.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 54] And when they had come out of the boat forthwith they knew him,
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 55] And ran through that whole region around, and began to carry about in beds those that were sick, where they heard he was.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 56] And whithersoever he entered, into villages, or cities, or country, they laid the sick in the streets, and besought him that they might touch, if it were but the border of his garment: and as many as touched him, were healed.
