[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 1] And he arose from thence, and cometh into the borders of Judea, by the further side of Jordan: and the people resort to him again; and, as he was accustomed, he taught them again.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 33] Saying , Behold, we go up to Jerusalem; and the Son of man will be delivered to the chief priests, and to the scribes; and they will condemn him to death, and will deliver him to the Gentiles;
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 34] And they will mock him, and will scourge him, and will spit upon him, and will kill him: and the third day he will rise again.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 35] And James and John the sons of Zebedee come to him, saying, Master, we would that thou shouldest do for us whatever we shall desire.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 36] And he said to them, What would ye that I should do for you?
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 37] They said to him, Grant to us that we may sit, one on thy right hand, and the other on thy left hand, in thy glory.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 38] But Jesus said to them, Ye know not what ye ask: can ye drink of the cup that I drink of? and be baptized with the baptism that I am baptized with?
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 39] And they said to him, We can. And Jesus said to them, Ye shall indeed drink of the cup that I drink of: and with the baptism that I am baptized with shalt ye be baptized;
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 40] But to sit on my right hand and on my left hand, is not mine to give; but it shall be given to them for whom it is prepared.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 41] And when the ten heard it , they began to be much displeased with James and John.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 42] But Jesus called them, and saith to them, Ye know that they who are accounted to rule over the Gentiles, exercise lordship over them; and their great ones exercise authority upon them.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 43] But so it shall not be among you: but whoever will be great among you, shall be your minister:
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 44] And whoever of you will be the chief, shall be servant of all.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 45] For even the son of man came not to be ministered to, but to minister, and to give his life a ransom for many.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 46] And they came to Jericho: and as he went out of Jericho with his disciples, and a great number of people, blind Bartimeus, the son of Timeus, sat by the highway-side begging.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 47] And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Jesus, thou son of David, have mercy on me.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 48] And many charged him that he should hold his peace: but he cried the more a great deal, Thou son of David, have mercy on me.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 49] And Jesus stood still, and commanded him to be called: and they call the blind man, saying to him, Be of good comfort, rise; he calleth thee.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 50] And he, casting away his garment, rose, and came to Jesus.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 51] And Jesus answered and said to him, What wilt thou that I should do to thee? The blind man said to him, Lord, that I may receive my sight.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 52] And Jesus said to him, Go, thy faith hath made thee whole. And immediately he received his sight, and followed Jesus in the way.
