[DARBY | EN | NT | Luke | Chapter 10 | Verse 1] Now after these things the Lord appointed seventy others also, and sent them two and two before his face into every city and place where he himself was about to come.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 26] And he said to him, What is written in the law? how readest thou?
[DARBY | EN | NT | Luke | Chapter 10 | Verse 27] But he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thine understanding; and thy neighbour as thyself.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 28] And he said to him, Thou hast answered right: this do and thou shalt live.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 29] But he, desirous of justifying himself, said to Jesus, And who is my neighbour?
[DARBY | EN | NT | Luke | Chapter 10 | Verse 30] And Jesus replying said, A certain man descended from Jerusalem to Jericho and fell into [the hands of] robbers, who also, having stripped him and inflicted wounds, went away leaving him in a half-dead state.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 31] And a certain priest happened to go down that way, and seeing him, passed on on the opposite side;
[DARBY | EN | NT | Luke | Chapter 10 | Verse 32] and in like manner also a Levite, being at the spot, came and looked [at him] and passed on on the opposite side.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 33] But a certain Samaritan journeying came to him, and seeing [him], was moved with compassion,
[DARBY | EN | NT | Luke | Chapter 10 | Verse 34] and came up [to him] and bound up his wounds, pouring in oil and wine; and having put him on his own beast, took him to [the] inn and took care of him.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 35] And on the morrow [as he left], taking out two denarii he gave them to the innkeeper, and said to him, Take care of him, and whatsoever thou shalt expend more, I will render to thee on my coming back.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 36] Which [now] of these three seems to thee to have been neighbour of him who fell into [the hands of] the robbers?
[DARBY | EN | NT | Luke | Chapter 10 | Verse 37] And he said, He that shewed him mercy. And Jesus said to him, Go, and do thou likewise.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 38] And it came to pass as they went that he entered into a certain village; and a certain woman, Martha by name, received him into her house.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 39] And she had a sister called Mary, who also, having sat down at the feet of Jesus was listening to his word.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 40] Now Martha was distracted with much serving, and coming up she said, Lord, dost thou not care that my sister has left me to serve alone? Speak to her therefore that she may help me.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 41] But Jesus answering said to her, Martha, Martha, thou art careful and troubled about many things;
[DARBY | EN | NT | Luke | Chapter 10 | Verse 42] but there is need of one, and Mary has chosen the good part, the which shall not be taken from her.
