[DARBY | EN | NT | Luke | Chapter 6 | Verse 1] And it came to pass on [the] second-first sabbath, that he went through cornfields, and his disciples were plucking the ears and eating [them], rubbing [them] in their hands.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 22] Blessed are ye when men shall hate you, and when they shall separate you [from them], and shall reproach [you], and cast out your name as wicked, for the Son of man's sake:
[DARBY | EN | NT | Luke | Chapter 6 | Verse 23] rejoice in that day and leap for joy, for behold, your reward is great in the heaven, for after this manner did their fathers act toward the prophets.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 24] But woe to you rich, for ye have received your consolation.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 25] Woe to you that are filled, for ye shall hunger. Woe to you who laugh now, for ye shall mourn and weep.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 26] Woe, when all men speak well of you, for after this manner did their fathers to the false prophets.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 27] But to you that hear I say, Love your enemies; do good to those that hate you;
[DARBY | EN | NT | Luke | Chapter 6 | Verse 28] bless those that curse you; pray for those who use you despitefully.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 29] To him that smites thee on the cheek, offer also the other; and from him that would take away thy garment, forbid not thy body-coat also.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 30] To every one that asks of thee, give; and from him that takes away what is thine, ask it not back.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 31] And as ye wish that men should do to you, do ye also to them in like manner.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 32] And if ye love those that love you, what thank is it to you? for even sinners love those that love them.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 33] And if ye do good to those that do good to you, what thank is it to you? for even sinners do the same.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 34] And if ye lend to those from whom ye hope to receive, what thank is it to you? [for] even sinners lend to sinners that they may receive the like.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 35] But love your enemies, and do good, and lend, hoping for nothing in return, and your reward shall be great, and ye shall be sons of [the] Highest; for he is good to the unthankful and wicked.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 36] Be ye therefore merciful, even as your Father also is merciful.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 37] And judge not, and ye shall not be judged; condemn not, and ye shall not be condemned. Remit, and it shall be remitted to you.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 38] Give, and it shall be given to you; good measure, pressed down, and shaken together, and running over, shall be given into your bosom: for with the same measure with which ye mete it shall be measured to you again.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 39] And he spoke also a parable to them: Can a blind [man] lead a blind [man]? shall not both fall into [the] ditch?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 40] The disciple is not above his teacher, but every one that is perfected shall be as his teacher.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 41] But why lookest thou on the mote which is in the eye of thy brother, but perceivest not the beam which is in thine own eye?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 42] or how canst thou say to thy brother, Brother, allow [me], I will cast out the mote that is in thine eye, thyself not seeing the beam that is in thine eye? Hypocrite, cast out first the beam out of thine eye, and then thou shalt see clear to cast out the mote which is in the eye of thy brother.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 43] For there is no good tree which produces corrupt fruit, nor a corrupt tree which produces good fruit;
[DARBY | EN | NT | Luke | Chapter 6 | Verse 44] for every tree is known by its own fruit, for figs are not gathered from thorns, nor grapes vintaged from a bramble.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 45] The good man, out of the good treasure of his heart, brings forth good; and the wicked [man] out of the wicked, brings forth what is wicked: for out of the abundance of the heart his mouth speaks.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 46] And why call ye me, Lord, Lord, and do not the things that I say?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 47] Every one that comes to me, and hears my words and does them, I will shew you to whom he is like.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 48] He is like a man building a house, who dug and went deep, and laid a foundation on the rock; but a great rain coming, the stream broke upon that house, and could not shake it, for it had been founded on the rock.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 49] And he that has heard and not done, is like a man who has built a house on the ground without [a] foundation, on which the stream broke, and immediately it fell, and the breach of that house was great.
