[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 1] “So it came to pass that when my son was entered into his wedding chamber, he fell down and died.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 32] I said, “Because you have forsaken me; yet I did according to your words, and went into the field, and, behold, I have seen, and still see, that which I am not able to explain.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 33] He said to me, “Stand up like a man, and I will instruct you.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 34] Then I said, “Speak on, my Lord; only don’t forsake me, lest I die before my time.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 35] For I have seen what I didn’t know, and hear what I don’t know.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 36] Or is my sense deceived, or my soul in a dream?
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 37] Now therefore I beg you to explain to your servant what this vision means.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 38] He answered me, “Listen to me, and I will inform you, and tell you about the things you are afraid of, for the Most High has revealed many secret things to you.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 39] He has seen that your way is righteous, because you are continually sorry for your people, and make great lamentation for Zion.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 40] This therefore is the meaning of the vision.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 41] The woman who appeared to you a little while ago, whom you saw mourning, and began to comfort her,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 42] but now you no longer see the likeness of the woman, but a city under construction appeared to you,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 43] and she told you of the death of her son, this is the interpretation:
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 44] This woman, whom you saw, is Zion, whom you now see as a city being built.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 45] She told you that she had been barren for thirty years because there were three thousand years in the world in which there was no offering as yet offered in her.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 46] And it came to pass after three thousand years that Solomon built the city and offered offerings. It was then that the barren bore a son.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 47] She told you that she nourished him with great care. That was the dwelling in Jerusalem.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 48] When she said to you, ‘My son died when he entered into his marriage chamber, and that misfortune befell her,’ this was the destruction that came to Jerusalem.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 49] Behold, you saw her likeness, how she mourned for her son, and you began to comfort her for what has happened to her. These were the things to be opened to you.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 50] For now the Most High, seeing that you are sincerely grieved and suffer from your whole heart for her, has shown you the brightness of her glory and the attractiveness of her beauty.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 51] Therefore I asked you to remain in the field where no house was built,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 52] for I knew that the Most High would show this to you.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 53] Therefore I commanded you to come into the field, where no foundation of any building was.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 54] For no human construction could stand in the place in which the city of the Most High was to be shown.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 55] Therefore don’t be afraid nor let your heart be terrified, but go your way in and see the beauty and greatness of the building, as much as your eyes are able to see.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 56] Then will you hear as much as your ears may comprehend.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 57] For you are more blessed than many, and are called by name to be with the Most High, like only a few.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 58] But tomorrow at night you shall remain here,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 59] and so the Most High will show you those visions in dreams of what the Most High will do to those who live on the earth in the last days.” So I slept that night and another, as he commanded me.
