[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 1] ख़ुदावन्द यूँ फ़रमाता है कि “शाह — ए — यहूदाह के घर को जा, और वहाँ ये कलाम सुना
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 12] बल्कि वह उसी जगह मरेगा, जहाँ उसे ग़ुलाम करके ले गए हैं और इस मुल्क को फिर न देखेगा।”
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 13] “उस पर अफ़सोस, जो अपने घर को बे — इन्साफ़ी से और अपने बालाख़ानों को ज़ुल्म से बनाता है; जो अपने पड़ोसी से बेगार लेता है, और उसकी मज़दूरी उसे नहीं देता;
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 14] जो कहता है, 'मैं अपने लिए बड़ा मकान और हवादार बालाख़ाना बनाऊँगा, और वह अपने लिए झांझरियाँ बनाता है और देवदार की लकड़ी की छत लगाता हैं और उसे शंगर्फ़ी करता है।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 15] क्या तू इसीलिए सल्तनत करेगा कि तुझे देवदार के काम का शौक़ है? क्या तेरे बाप ने नहीं खाया — पिया और 'अदालत — ओ — सदाक़त नहीं की जिससे उसका भला हुआ?
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 16] उसने ग़रीब और मुहताज का इन्साफ़ किया, इसी से उसका भला हुआ। क्या यही मेरा इरफ़ान न था? ख़ुदावन्द फ़रमाता है।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 17] लेकिन तेरी आँखें और तेरा दिल, सिर्फ़ लालच और बेगुनाह का ख़ून बहाने और ज़ुल्म — ओ — सितम पर लगे हैं।”
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 18] इसीलिए ख़ुदावन्द यहूयक़ीम शाह — ए — यहूदाह — बिन — यूसियाह के बारे में यूँ फ़रमाता है कि “उस पर 'हाय मेरे भाई! या हाय बहन!' कह कर मातम नहीं करेंगे, उसके लिए 'हाय आक़ा! या हाय मालिक!' कह कर नौहा नहीं करेंगे।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 19] उसका दफ़्न गधे के जैसा होगा, उसको घसीटकर येरूशलेम के फाटकों के बाहर फेंक देंगे।”
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 20] “तू लुबनान पर चढ़ जा और चिल्ला, और बसन में अपनी आवाज़ बुलन्द कर; और 'अबारीम पर से फ़रियाद कर, क्यूँकि तेरे सब चाहने वाले मारे गए।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 21] मैंने तेरी इक़बालमन्दी के दिनों में तुझ से कलाम किया, लेकिन तूने कहा, 'मैं न सुनूँगी। तेरी जवानी से तेरी यही चाल है कि तू मेरी आवाज़ को नहीं सुनती।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 22] एक आँधी तेरे चरवाहों को उड़ा ले जाएगी, और तेरे आशिक़ ग़ुलामी में जाएँगे; तब तू अपनी सारी शरारत के लिए शर्मसार और पशेमान होगी।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 23] ऐ लुबनान की बसनेवाली, जो अपना आशियाना देवदारों पर बनाती है, तू कैसी 'आजिज़ होगी, जब तू ज़च्चा की तरह पैदाइश के दर्द में मुब्तिला होगी।”
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 24] 'ख़ुदावन्द फ़रमाता है: मुझे अपनी हयात की क़सम, अगरचे तू ऐ शाह — ए — यहूदाह कूनियाह — बिन — यहूयक़ीम मेरे दहने हाथ की अँगूठी होता, तो भी मैं तुझे निकाल फेंकता;
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 25] और मैं तुझ को तेरे जानी दुश्मनों के जिनसे तू डरता है, या'नी शाह — ए — बाबुल नबूकदनज़र और कसदियों के हवाले करूँगा।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 26] हाँ, मैं तुझे और तेरी माँ को जिससे तू पैदा हुआ, ग़ैर मुल्क में जो तुम्हारी ज़ादबूम नहीं है, हाँक दूँगा और तुम वहीं मरोगे।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 27] जिस मुल्क में वह वापस आना चाहते हैं, हरगिज़ लौटकर न आएँगे।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 28] क्या यह शख़्स कूनियाह, नाचीज़ टूटा बर्तन है या ऐसा बर्तन जिसे कोई नहीं पूछता? वह और उसकी औलाद क्यूँ निकाल दिए गए और ऐसे मुल्क में जिलावतन किए गए जिसे वह नहीं जानते?
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 29] ऐ ज़मीन, ज़मीन, ज़मीन! ख़ुदावन्द का कलाम सुन!
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 30] ख़ुदावन्द यूँ फ़रमाता है कि “इस आदमी को बे — औलाद लिखो, जो अपने दिनों में इक़बालमन्दी का मुँह न देखेगा; क्यूँकि उसकी औलाद में से कभी कोई ऐसा इक़बालमन्द न होगा कि दाऊद के तख़्त पर बैठे और यहूदाह पर सल्तनत करे।”
