[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Sheth, Enosh,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And the sons of Seir; Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezar, and Dishan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] And the sons of Lotan; Hori, and Homam: and Timna was Lotan's sister.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. And the sons of Zibeon; Aiah, and Anah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] The sons of Ezer; Bilhan, and Zavan, and Jakan. The sons of Dishan; Uz, and Aran.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] Now these are the kings that reigned in the land of Edom before any king reigned over the children of Israel; Bela the son of Beor: and the name of his city was Dinhabah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] And when Bela was dead Jobab the son of Zera of Bozrah reigned in his stead.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] And when Jobab was dead, Husham of the land of the Temanites reigned in his stead.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] And when Husham was dead, Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] And when Hadad was dead, Samlah of Masrekah reigned in his stead.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 48] And when Samlah was dead, Shaul of Rehoboth by the river reigned in his stead.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 49] And when Shaul was dead, Baal-hanan the son of Achbor reigned in his stead.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 50] And when Baal-hanan was dead, Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 51] Hadad died also. And the dukes of Edom were; duke Timna, duke Aliah, duke Jetheth,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 52] Duke Aholibamah, duke Elah, duke Pinon,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 53] Duke Kenaz, duke Teman, duke Mibzar,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 54] Duke Magdiel, duke Iram. These are the dukes of Edom.
