[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 1] তোমরা নিজেদের ঈশ্বর সদাপ্রভুর লোক; তোমরা মৃত লোকদের জন্য নিজেদের শরীর কাটবে না এবং মুখের কোনো অংশে কামাবে না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 13] লাল চিল, কালো চিল ও নিজেদের জাতি অনুসারে সারস,
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 14] আর নিজেদের জাতি অনুসারে সব ধরনের কাক,
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 15] আর উটপাখি, রাতের বাজপাখি, শঙ্খচিল ও নিজেদের জাতি অনুসারে বাজপাখি
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 16] এবং পেঁচা, বড় পেঁচা ও সাদা পেঁচা;
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 17] বড় জলচর পাখি, শকুনী ও মাছরাঙ্গা,
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 18] এবং সারস ও নিজেদের জাতি অনুসারে বক, ঝুঁটিওয়ালা পাখি বিশেষ ও বাদুড়।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 19] আর ডানাবিশিষ্ট পোকা তোমাদের পক্ষে অশুচি; এ সব খাওয়ার উপযুক্ত না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 20] তোমরা সমস্ত উড়ন্ত জিনিস খেতে পার।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 21] তোমরা নিজে থেকে মারা যাওয়া কোনো প্রাণীর মাংস খাবে না; তোমার শহরের দরজার মাঝখানে কোনো বিদেশীকে খাওয়ার জন্যে তা দিতে পার, কিংবা বিজাতীয় লোকের কাছে বিক্রি করতে পার; কারণ তুমি নিজের ঈশ্বর সদাপ্রভুর পবিত্র লোক। তুমি বাচ্চা ছাগলকে তার মায়ের দুধে রান্না করবে না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 22] তুমি তোমার বীজ থেকে উৎপন্ন সব শস্যের, বছর বছর যা ক্ষেতে উৎপন্ন হয়, তার দশমাংশ আলাদা করে দেবে।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 23] আর তোমার ঈশ্বর সদাপ্রভু নিজের নামের বসবাসের জন্যে যে জায়গা বাছবেন, সে জায়গায় তুমি নিজের শস্যের, আঙ্গুররসের ও তেলের দশমাংশ এবং গরু মেষপালের প্রথমজাতদেরকে তাঁর সামনে খাবে; এই ভাবে নিজের ঈশ্বর সদাপ্রভুকে সবদিন ভয় করতে শিখবে।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 24] সেই যাত্রা যদি তোমার জন্যে অনেক দীর্ঘ হয়, তোমার ঈশ্বর সদাপ্রভু নিজের নাম স্থাপনের জন্যে যে জায়গা মনোনীত করবেন, তার দূরত্বের জন্য যদি তুমি নিজের ঈশ্বর সদাপ্রভুর আশীর্বাদে পাওয়া জিনিস সেখান থেকে নিয়ে যেতে না পার,
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 25] তবে সেই জিনিস টাকায় রূপান্তরিত করে সে টাকা বেঁধে হাতে নিয়ে নিজের ঈশ্বর সদাপ্রভুর মনোনীত জায়গায় যাবে।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 26] পরে সেই টাকা দিয়ে তোমার মনের ইচ্ছায় গরু কি মেষ কি আঙ্গুর রস কি মদ, বা যে কোনো জিনিসে তোমার মনের ইচ্ছা হয়, তা কিনে নিয়ে সেই জায়গায় তোমার ঈশ্বর সদাপ্রভুর সামনে খেয়ে সপরিবারে আনন্দ করবে।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 27] আর তোমার শহরের দরজার মাঝখানে লেবীয়কে ত্যাগ করবে না, কারণ তোমার সঙ্গে তার কোনো অংশ কি অধিকার নেই।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 28] তৃতীয় বছরের শেষে তুমি সেই বছরে উৎপন্ন নিজের শস্যাদির যাবতীয় দশমাংশ বের করে এনে নিজের শহরের দরজার ভিতরে সঞ্চয় করে রাখবে;
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 29] তাতে তোমার সঙ্গে যার কোনো অংশ কি অধিকার নেই, সেই লেবীয় এবং বিদেশী, পিতৃহীন ও বিধবা, তোমার শহরের দরজার মধ্যে এই সব লোক এসে খেয়ে তৃপ্তি পাবে; এই ভাবে যেন তোমার ঈশ্বর সদাপ্রভু তোমার হাতের সব কাজে তোমাকে আশীর্বাদ করেন।
