[WEBSTER | EN | NT | John | Chapter 6 | Verse 1] After these things Jesus went over the sea of Galilee, which is the sea of Tiberias.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 56] He that eateth my flesh, and drinketh my blood, dwelleth in me, and I in him.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 57] As the living Father hath sent me, and I live by the Father: so he that eateth me, even he shall live by me.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 58] This is that bread which came down from heaven: not as your fathers ate manna, and are dead: he that eateth of this bread shall live for ever.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 59] These things he said in the synagogue, as he taught in Capernaum.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 60] Many therefore of his disciples, when they had heard this , said, This is a hard saying; who can hear it?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 61] When Jesus knew in himself that his disciples murmured at it, he said to them, Doth this offend you?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 62] What if ye shall see the Son of man ascend up where he was before?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 63] It is the spirit that reviveth; the flesh profiteth nothing: the words that I speak to you, they are spirit, and they are life.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 64] But there are some of you that believe not. For Jesus knew from the beginning who they were that believed not, and who he was that would betray him.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 65] And he said, Therefore I said to you, that no man can come to me, except it were given to him by my Father.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 66] From that time many of his disciples went back, and walked no more with him.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 67] Then said Jesus to the twelve, Will ye also go away?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 68] Then Simon Peter answered him, Lord, to whom shall we go? thou hast the words of eternal life.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 69] And we believe, and are sure that thou art that Christ, the Son of the living God.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 70] Jesus answered them, Have not I chosen you twelve, and one of you is a devil?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 71] He spoke of Judas Iscariot the son of Simon: for it was he that was to betray him, being one of the twelve.
