[WEBSTER | EN | NT | John | Chapter 19 | Verse 1] Then Pilate therefore took Jesus, and scourged him .
[WEBSTER | EN | NT | John | Chapter 19 | Verse 31] The Jews therefore, because it was the preparation, that the bodies should not remain upon the cross on the sabbath, (for that sabbath was a great day,) besought Pilate that their legs might be broken, and that they might be taken away.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 32] Then came the soldiers, and broke the legs of the first, and of the other who was crucified with him.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 33] But when they came to Jesus, and saw that he was dead already, they broke not his legs:
[WEBSTER | EN | NT | John | Chapter 19 | Verse 34] But one of the soldiers with a spear pierced his side, and forthwith came out blood and water.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 35] And he that saw it , testified, and his testimony is true: and he knoweth that he speaketh truth, that ye may believe.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 36] For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 37] And again another scripture saith, They shall look on him whom they pierced.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 38] And after this, Joseph of Arimathea (being a disciple of Jesus, but secretly for fear of the Jews) besought Pilate that he might take away the body of Jesus: and Pilate gave him leave. He came therefore and took the body of Jesus.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 39] And there came also Nicodemus (who at the first came to Jesus by night) and brought a mixture of myrrh and aloes, about a hundred pound weight .
[WEBSTER | EN | NT | John | Chapter 19 | Verse 40] Then they took the body of Jesus, and wound it in linen cloths, with the spices, as the manner of the Jews is to bury.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 41] Now in the place where he was crucified, there was a garden; and in the garden a new sepulcher, in which was never man yet laid.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 42] There they laid Jesus therefore, because of the Jews' preparation -day , for the sepulcher was nigh at hand.
