[WEBSTER | EN | NT | John | Chapter 7 | Verse 1] After these things Jesus walked in Galilee: for he would not walk in Judea, because the Jews sought to kill him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 17] If any man will do his will, he shall know concerning the doctrine, whether it is from God, or whether I speak from myself.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 18] He that speaketh from himself, seeketh his own glory: but he that seeketh his glory that sent him, the same is true, and no unrighteousness is in him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 19] Did not Moses give you the law, and yet none of you keepeth the law? Why go ye about to kill me?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 20] The people answered and said, Thou hast a demon: who goeth about to kill thee?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 21] Jesus answered and said to them, I have done one work, and ye all marvel.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 22] Moses therefore gave to you circumcision, (not because it is from Moses, but from the fathers) and ye on the sabbath circumcise a man.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 23] If a man on the sabbath receiveth circumcision, that the law of Moses should not be broken; are ye angry at me, because I have restored a man to sound health on the sabbath?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 24] Judge not according to the appearance, but judge righteous judgment.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 25] Then said some of them of Jerusalem, Is not this he whom they seek to kill?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 26] But lo, he speaketh boldly, and they say nothing to him. Do the rulers know indeed that this is the very Christ?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 27] But we know this man, whence he is: whereas when Christ cometh, no man knoweth whence he is.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 28] Then cried Jesus in the temple, as he taught, saying, Ye both know me, and ye know whence I am: and I am not come of myself, but he that sent me is true, whom ye know not.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 29] But I know him; for I am from him, and he hath sent me.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 30] Then they sought to take him: but no man laid hands on him, because his hour was not yet come.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 31] And many of the people believed on him, and said, When Christ cometh, will he do more miracles than these which this man hath done?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 32] The Pharisees heard that the people murmured such things concerning him: and the Pharisees and the chief priests sent officers to take him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 33] Then said Jesus to them, Yet a little while am I with you, and then I go to him that sent me.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 34] Ye will seek me, and will not find me : and where I am, thither ye cannot come.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 35] Then said the Jews among themselves, Whither will he go, that we shall not find him? will he go to the dispersed among the Gentiles, and teach the Gentiles?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 36] What manner of saying is this that he said, Ye will seek me, and will not find me : and where I am, thither ye cannot come?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 37] In the last day, that great day of the feast, Jesus stood and cried, saying, If any man thirsteth, let him come to me, and drink.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 38] He that believeth on me, as the scripture hath said, out of his belly shall flow rivers of living water.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 39] (But this he spoke of the Spirit, which they that believe on him should receive, for the Holy Spirit was not yet given , because that Jesus was not yet glorified.)
[WEBSTER | EN | NT | John | Chapter 7 | Verse 40] Many of the people therefore, when they heard this saying, said, In truth this is the Prophet.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 41] Others said, This is the Christ. But some said, Will Christ come out of Galilee?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 42] Hath not the scripture said, That Christ cometh from the seed of David, and out of the town of Bethlehem, where David was?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 43] So there was a division among the people because of him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 44] And some of them would have taken him; but no man laid hands on him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 45] Then came the officers to the chief priests and Pharisees; and they said to them, Why have ye not brought him?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 46] The officers answered, Never man spoke like this man.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 47] Then the Pharisees answered them, Are ye also deceived?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 48] Have any of the rulers, or of the Pharisees believed on him?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 49] But this people who know not the law are cursed.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 50] Nicodemus saith to them, (he that came to Jesus by night, being one of them)
[WEBSTER | EN | NT | John | Chapter 7 | Verse 51] Doth our law judge any man before it heareth him, and knoweth what he doeth?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 52] They answered and said to him, Art thou also from Galilee? Search, and look: for out of Galilee ariseth no prophet.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 53] And every man went to his own house.
