[IRV | MR | OT | Numbers | Chapter 2 | Verse 1] परमेश्वर, मोशे व अहरोन यांच्याशी पुन्हा बोलला, तो म्हणाला,
[IRV | MR | OT | Numbers | Chapter 2 | Verse 12] शिमोन वंशातल्या कुळांनी रऊबेन वंशाच्या छावणी शेजारी आपली छावणी उभारावी. सुरीशाद्दैचा मुलगा शलूमीयेल हा शिमोन वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 13] त्याच्या दलात एकोणसाठ हजार तीनशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 14] गादवंशाच्या कुळांनीही रऊबेन वंशाच्या छावणीजवळ आपली छावणी उभारावी. रगुवेलाचा मुलगा एल्यासाप हा गाद वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 15] त्याच्या दलात पंचेचाळीस हजार सहाशे पन्नास लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 16] रऊबेनच्या छावणीत कुळांप्रमाणे एकंदर एक लाख एकावन्न हजार चारशे पन्नास लोक होते. इस्राएल लोकांचा मुक्काम हलविताना रऊबेनच्या दलातील लोकांनी दुसऱ्या क्रमांकावर चालावे.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 17] त्यानंतर सर्व छावण्यांच्या मध्यभागी लेव्यांच्या छावणीसह दर्शनमंडप पुढे न्यावा. प्रवास करताना छावण्या ज्या क्रमाने निघतात त्याच क्रमाने मुक्काम करताना त्यांनी आपापल्या छावण्या द्याव्यात. प्रत्येक मनुष्याने आपल्या कुळाच्या निशाणाजवळ रहावे.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 18] एफ्राइम वंशाच्या छावणीचे निशाण पश्चिम बाजूस असावे व त्याच्या कुळातल्या लोकांनी आपली छावणी तेथे उभारावी. अम्मीहूदाचा मुलगा अलीशामा एफ्राइम वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 19] त्याच्या दलात चाळीस हजार पाचशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 20] मनश्शे वंशाच्या दलाने एफ्राइम वंशाच्या छावणी शेजारी आपली छावणी ठोकावी. पदासुराचा मुलगा गमलीयेल हा मनश्शे वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 21] त्याच्या दलात बत्तीस हजार दोनशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 22] बन्यामीन वंशाच्या दलानेही एफ्राइमाच्या दलाशेजारी आपली छावणी ठोकावी. बन्यामीन वंशाचा प्रमुख सरदार गिदोनीचा मुलगा अबीदान हा असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 23] त्याच्या दलात पस्तीस हजार चारशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 24] एफ्राइम वंशाच्या छावणीत एकूण एक लाख आठ हजार शंभर लोक होते. इस्राएल लोकांचा मुक्काम हलविताना एफ्राइम वंशाचा तिसरा क्रमांक असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 25] दान वंशाच्या छावणीचे निशाण उत्तरेकडील बाजूस असावे. त्यांच्या कुळातल्या लोकांनी आपल्या दलाची छावणी तेथे उभारावी. अम्मीशाद्दैचा मुलगा अहीएजर हा दानवंशाचा सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 26] त्याच्या दलात बासष्ट हजार सातशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 27] आशेर वंशाच्या दलाने दान वंशाच्या छावणी शेजारी आपली छावणी उभारावी. आक्रानाचा मुलगा पगीयेल हा आशेर वंशाचा सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 28] त्याच्या दलात एकेचाळीस हजार पाचशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 29] नफताली वंशाचे लोक. एनानाचा मुलगा अहीरा हा नफताली वंशाचा पुढारी असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 30] त्याच्या दलात त्रेपन्न हजार चारशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 31] दान वंशाच्या छावणीत एक लाख सत्तावन्न हजार सहाशे लोक होते. इस्राएल लोकांचा तळ ठिकठिकाणाहून हलविताना दानवंशाच्या कुळांनी सर्वात शेवटी चालावे.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 32] अशी इस्राएल लोकांची मंडळी होती. त्यांच्या वंशात त्यांच्या कुळाप्रमाणे व त्यांच्या वाडवडिलांच्या घराण्याप्रमाणे त्यांची गणती केली तेव्हा त्यांची एकूण संख्या सहा लाख तीन हजार पाचशे पन्नास होती.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 33] मोशेने परमेश्वराच्या आज्ञेप्रमाणे इस्राएल लोकांबरोबर लेवी लोकांची गणती केली नाही.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 34] तेव्हा परमेश्वराने मोशेला दिलेल्या आज्ञाप्रमाणे सर्वकाही इस्राएल लोकांनी केले. प्रत्येक कुळाने आपआपल्या निशाणापाशी तळ दिला. प्रत्येकजण आपापल्या कुळात व आपापल्या वाडवडिलांच्या घराण्यांच्या छावणीत राहिला.
