[IRV | MR | OT | Numbers | Chapter 32 | Verse 1] रऊबेन आणि गाद या घराण्यांकडे गुरांढोरांची खूप खिल्लारे होते. त्यांनी याजेर व गिलाद येथील जमिनी पाहिल्या. ही जमीन आपल्या गुरांढोरांसाठी चांगली आहे असे त्यांना वाटले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 13] परमेश्वर इस्राएल लोकांवर खूप रागावला होता. परमेशवराच्यादृष्टीने त्यांनी वाईट कृत्ये केली त्यांची सर्व पिढी नष्ट होईपर्यंत त्यांना चाळीस वर्षे रानात भटकावयास लावले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 14] आणि आता तुमच्या वाडवडिलांनी जी गोष्ट केली तीच तुम्ही करीत आहात. पाप्यांनो परमेश्वराने त्याच्या इस्राएल लोकांवर आणखी रागवावे अशी तुमची इच्छा आहे का?
[IRV | MR | OT | Numbers | Chapter 32 | Verse 15] जर तुम्ही परमेश्वराची भक्ति करायचे सोडले तर परमेश्वर इस्राएल लोकांस अधिक काळ रानात ठेवील आणि नंतर तुम्ही त्या सर्व लोकांचा नाश कराल.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 16] पण रऊबेनाच्या आणि गादच्या घराण्यातील लोक मोशेकडे गेले. ते म्हणाले, आम्ही या जागेवर आमच्या मुलांसाठी शहरे आणि आमच्या जनावरांसाठी गोठे उभारू.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 17] त्यामुळे आमची मुले याठिकाणी वस्ती करणाऱ्या इतर लोकांपासून सुरक्षित राहतील. पण आम्ही इस्राएलाच्या इतर लोकांस मदत करण्यासाठी आनंदाने येऊ. आम्ही त्यांना त्यांच्या प्रदेशात आणू.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 18] इस्राएलातील प्रत्येकाला त्याचे वतन मिळाल्याशिवाय आम्ही परतणार नाही.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 19] यार्देनेच्या अलीकडे पूर्वेस आम्हास आमचे वतन प्राप्त झाले म्हणून आम्ही यार्देनेच्या पलीकडे व पुढे त्यांच्याबरोबर वतन घेणार नाही.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 20] तेव्हा मोशे त्यांना म्हणाला, जर तुम्ही या सर्व गोष्टी केल्या तर हा प्रदेश तुमचा होईल. परंतु तुमच्या सैनिकांनी परमेश्वरासमोर लढाईत उतरले पाहिजे.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 21] आणि तो आपणापुढून आपले शत्रू वतनातून घालवीन आणि देश परमेश्वरापुढे हस्तगत होईल तुमच्या सैन्याने यार्देन नदी पार करून शत्रू सैन्याला या प्रदेशातून हाकलले पाहीजे.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 22] आणि तर तो देश त्याच्या ताब्यात आल्यावर तुम्ही परत याल. नंतर परमेश्वराकडे आणि इस्राएलाकडे तुम्ही निरपराधी असाल. तर हा देश परमेश्वरापुढे तुमचे वतन असा होईल.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 23] पण जर तुम्ही या गोष्टी केल्या नाहीत तर तुम्ही परमेश्वराविरूद्ध पाप कराल आणि तुमच्या पापाबद्दल तुम्हास शासन होईल याची खात्री बाळगा.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 24] तुमच्या मुलांसाठी शहरे वसवा आणि जनावरांसाठी गोठे बांधा. पण तुम्ही वचन दिल्याप्रमाणे सारे काही करा.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 25] नंतर रऊबेन आणि गादच्या कुटुंबातील लोक मोशेला म्हणाले, आम्ही तुझे नोकर आहोत. तू आमचा मालक आहेस म्हणून तू जे सांगतोस ते आम्ही करु.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 26] आमच्या स्त्रिया, मुले, शेरडेमेंढरे आणि सर्व गुरेढोरे गिलाद शहरात राहतील.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 27] पण आम्ही, तुझे नोकर यार्देन नदी पार करु. आम्ही परमेश्वरापुढे लढाईस जाऊ. जसे आमचा धनी सांगत आहे.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 28] याप्रमाणे त्यांनी वचन दिले. ते मोशे, याजक एलाजार, नूनाचा मुलगा यहोशवा आणि इस्राएलचे सर्व वंशाचे प्रमुख या सर्वांनी ते ऐकले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 29] मोशे त्यांना म्हणाला, गाद आणि रऊबेनचे लोक यार्देन नदी पार करतील. ते लढाईत परमेश्वराच्यापुढे चालतील. ते तुम्हास प्रदेश जिंकायला मदत करतील आणि तुम्ही गिलादाचा प्रदेश त्यांच्या वाटेचा भाग म्हणून द्याल.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 30] पण ते तुमच्या सैन्याबरोबर जाण्यात अपयशी ठरले तर कनानमध्ये तुमच्यामध्ये त्यांना वतन मिळेल.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 31] गाद आणि रऊबेनच्या लोकांनी उत्तर दिले व म्हणाले, “आम्ही परमेश्वराच्या आज्ञेप्रमाणे सर्वकाही करण्याचे वचन देतो.”
[IRV | MR | OT | Numbers | Chapter 32 | Verse 32] आम्ही स्वतः सशस्र होऊन परमेश्वरापुढे पलीकडे कनान देशात जाऊ. पण आमचे वतन यार्देन नदीच्या पूर्वेला असावे.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 33] तेव्हा मोशेने गादाचे वंशज, रऊबेनाचे वंशज आणि योसेफाचा मुलगा मनश्शे याचा अर्धा वंश अमोऱ्याचा राजा सीहोन याच्या राज्याचा व बाशानाचा राजा ओग याच्या राज्याचा देश दिला. देश, नगरे व त्यामध्ये आजुबाजूच्या प्रदेशातील नगरे दिली.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 34] गादच्या लोकांनी दीबोन, अटारोथ, अरोएर,
[IRV | MR | OT | Numbers | Chapter 32 | Verse 35] अटारोथ-शोफान, याजेर यागबहा,
[IRV | MR | OT | Numbers | Chapter 32 | Verse 36] बेथ-निम्रा आणि बेथ-हारान ही शहरे वसवली. त्यांनी शहराभोवती तटबंदी उभारली आणि त्यांच्या जनावरांसाठी गोठे बांधले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 37] रऊबेनच्या लोकांनी हेशबोन, एलाले, किर्याथाईम.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 38] नबो व बाल-मौन आणि सिब्मा ही शहरे वसवली. त्यांनी पुन्हा वसवलेल्या शहरांना जुनीच नावे दिली. पण नेबो आणि बाल-मोनचे नांव त्यांनी बदलले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 39] माखीरच्या कुटुंबातील लोक गिलादाला गेले माखीर मनश्शेचा मुलगा होता. त्यांनी त्या शहराचा पराभव केला. तेथे राहणाऱ्या अमोरी लोकांस घालवले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 40] मोशेने गिलाद मनश्शेच्या कुटुंबातील माखीराला दिले. म्हणून त्याचे कुटुंब तेथे राहिले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 41] मनश्शेच्या कुटुंबातील याईर याने छोट्या शहरांचा पराभव केला. नंतर त्याने त्यांना याईराची शहरे असे म्हटले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 42] नोबाहाने कनाथ व त्याच्या आसपासच्या छोट्या शहरांचा पराभव केला. नंतर त्याने त्या जागेला आपले नाव दिले.
