[IRV | MR | OT | Numbers | Chapter 16 | Verse 1] कोरह इसहारचा मुलगा, इसहार कहाथचा मुलगा आणि कहाथ लेवीचा मुलगा, दाथान आणि अबीराम भाऊ होते आणि ती अलीयाबाची मुले होती. ओन पेलेथचा मुलगा होता. दाथान, अबीराम आणि ओन रऊबेन वंशातील होते. यांनी काही माणसे जमवली.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 16] नंतर मोशे कोरहाला म्हणाला, उद्या तू आणि तुझे अनुयायी परमेश्वरापुढे उभे राहतील. तिथे तू अहरोन आणि तुझे अनुयायी असतील.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 17] तुम्ही प्रत्येकाने एक भांडे आणावे त्यामध्ये धूप टाकावा आणि ते परमेश्वरास द्यावे. नेत्यांसाठी अडीचशे भांडी असतील आणि एकेक भांडे तुझ्यासाठी व अहरोनासाठी असेल.”
[IRV | MR | OT | Numbers | Chapter 16 | Verse 18] म्हणून प्रत्येकाने भांडे आणले आणि त्यामध्ये उद धूप जाळला, नंतर ते दर्शनमंडपाच्या दारात उभे राहिले. मोशे आणि अहरोनसुद्धा तिथे उभे राहिले.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 19] कोरहानेसुद्धा त्याच्याविरुध्द दर्शनमंडपाच्या दारापाशी सर्व लोक जमा केले. नंतर प्रत्येकाला परमेश्वराचे तेज दिसले.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 20] परमेश्वर मोशेला आणि अहरोनाला म्हणाला,
[IRV | MR | OT | Numbers | Chapter 16 | Verse 21] या लोकांपासून दूर जा. मला आता त्यांचा नाश करायचा आहे.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 22] पण मोशे आणि अहरोन जमिनीवर पालथे पडले आणि ओरडले, हे देवा सर्व देहधारी आत्म्यांच्या, देवा! फक्त एका मनुष्याने पाप केले आहे! म्हणून सर्व मंडळीवर रागावू नकोस.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 23] नंतर परमेश्वर मोशेला म्हणाला,
[IRV | MR | OT | Numbers | Chapter 16 | Verse 24] सर्व लोकांस कोरह, दाथान, व अबीराम यांच्या तंबूपासून दूर जायला सांग.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 25] मोशे उभा राहिला आणि दाथान व अबीराम यांच्याकडे गेला. इस्राएलचे सर्व वडिलधारी त्यांच्यामागे गेले.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 26] मोशेने सर्व लोकांस बजावले, या दुष्टांच्या तंबू पासून दूर जा. त्यांच्या कोणत्याही वस्तुला हात लावू नका. जर तुम्ही हात लावला तर त्यांच्या पापामुळे तुमचाही नाश होईल.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 27] म्हणून लोक कोरह, दाथान व अबीराम यांच्या तंबू पासून दूर गेले. दाथान आणि अबीराम त्यांच्या तंबूकडे गेले. ते त्यांच्या तंबू बाहेर आपल्या स्त्रिया, मुले आणि लहाण्या मुलांबरोबर उभे राहिले.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 28] नंतर मोशे म्हणाला, “परमेश्वराने मला मी तुम्हास सांगितलेल्या गोष्टी करायला पाठवले आहे या बद्दलचा पुरावा मी तुम्हास दाखवीन. या गोष्टी करण्याची कल्पना माझी नव्हती हेही मी तुम्हास दाखवीन.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 29] हे इथले लोक मरतील. पण ते जर सामान्य रीतीने मरण पावले जशी माणसे नेहमी मरतात, तर त्यावरून असे दिसेल की परमेश्वराने मला खरेच पाठवले नाही.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 30] पण जर परमेश्वराने या लोकांस वेगळ्या नव्या रीतीने मारले. तर तुम्हास कळेल की त्यांनी परमेश्वराविरूद्ध पाप केले होते. हा पुरावा आहे. धरती दुभागेल आणि त्या लोकांस आपल्या पोटात घेईल. ते जिवंतपणीच त्यांच्या कबरेत जातील. आणि त्यांची सर्व चीजवस्तू त्यांच्याबरोबर जाईल.”
[IRV | MR | OT | Numbers | Chapter 16 | Verse 31] जेव्हा मोशेचे बोलणे संपले तेव्हा त्या लोकांच्या पायाखालची जमीन दुभागली.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 32] धरतीने जणू आपले तोंड उघडून त्यांना गिळून टाकले. कोरहाची सगळी माणसे, त्याचे संपूर्ण घराणे आणि त्यांची सर्व चीजवस्तू त्यांच्याबरोबर जमिनीत गेली.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 33] ते लोक जिवंतपणी कबरेत गेले आणि त्यांची सगळी चीजवस्तूही त्यांच्याबरोबर गेली. नंतर जमीन पूर्ववत झाली. ते नष्ट झाले-लोकांतुन नाहीसे झाले.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 34] इस्राएल लोकांनी नाश होत असलेल्या लोकांचे आक्रोश ऐकले म्हणून ते सर्व सैरावैरा धावू लागले आणि म्हणाले, पृथ्वी आपल्यालासुद्धा गिळून टाकील.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 35] नंतर परमेश्वराकडून अग्नी आला. त्याने धूप जाळणाऱ्या अडीचशे लोकांचा नाश केला.
