[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three yeere without warre betweene Aram and Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 12] And all the prophets prophecied so, saying, Goe vp to Ramoth Gilead, and prosper: for the Lord shall deliuer it into the Kings hand.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 13] And the messenger that was gone to call Michaiah spake vnto him, saying, Beholde now, the wordes of the prophets declare good vnto the King with one accorde: let thy word therefore, I pray thee, be like the worde of one of them, and speake thou good.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 14] And Michaiah saide, As the Lord liueth, whatsoeuer the Lord sayth vnto me, that will I speake.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 15] So he came to the King, and the King said vnto him, Michaiah, shall we go against Ramoth Gilead to battel, or shall we leaue off? And he answered him, Goe vp, and prosper: and the Lord shall deliuer it into the hand of the King.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 16] And the King said vnto him, How oft shall I charge thee, that thou tell me nothing but that which is true in the Name of the Lord?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 17] Then he said, I sawe all Israel scattered vpon the mountaines, as sheepe that had no shepheard. And the Lord sayde, These haue no master, let euery man returne vnto his house in peace.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 18] (And the King of Israel saide vnto Iehoshaphat, Did I not tell thee, that he would prophecie no good vnto me, but euill?)
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 19] Againe he said, Heare thou therefore the worde of the Lord. I sawe the Lord sit on his throne, and all the hoste of heauen stood about him on his right hand and on his left hand.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 20] And the Lord sayd, Who shall entise Ahab that he may go and fall at Ramoth Gilead? And one said on this maner, and another sayd on that maner.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 21] Then there came forth a spirit, and stoode before the Lord, and sayd, I wil entise him. And the Lord sayd vnto him, Wherewith?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 22] And he sayd, I will goe out, and be a false spirit in the mouth of all his prophets. Then he sayd, Thou shalt entise him, and shalt also preuayle: goe forth, and doe so.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 23] Now therefore behold, the Lord hath put a lying spirite in the mouth of all these thy prophets, and the Lord hath appoynted euill against thee.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 24] Then Zidkiiah the sonne of Chenaanah came neere, and smote Michaiah on the cheeke and sayd, When went the Spirite of the Lord from me, to speake vnto thee?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 25] And Michaiah saide, Behold, thou shalt see in that day, when thou shalt goe from chamber to chamber to hide thee.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 26] And the King of Israel sayd, Take Michaiah, and cary him vnto Amon the gouernour of the citie, and vnto Ioash the Kings sonne,
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 27] And say, Thus saith the King, Put this man in the prison house, and feede him with bread of affliction, and with water of affliction, vntill I returne in peace.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 28] And Michaiah sayde, If thou returne in peace, the Lord hath not spoken by me. And he sayd, Hearken all ye people.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 29] So the King of Israel and Iehoshaphat the King of Iudah went vp to Ramoth Gilead.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 30] And the King of Israel sayde to Iehoshaphat, I will change mine apparell, and will enter into the battell, but put thou on thine apparell. And the King of Israel changed himselfe, and went into the battel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 31] And the King of Aram commanded his two and thirtie captaines ouer his charets, saying, Fight neither with small, nor great, saue onely against the King of Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 32] And when the captaines of the charets saw Iehoshaphat, they sayd, Surely it is the King of Israel, and they turned to fight against him: and Iehoshaphat cryed.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 33] And when the captaines of the charets saw that he was not the King of Israel, they turned backe from him.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 34] Then a certaine man drewe a bow mightily and smote the King of Israel betweene the ioyntes of his brigandine. Wherefore he sayde vnto his charet man, Turne thine hand and cary me out of the hoste: for I am hurt.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 35] And the battel encreased that day, and the King stoode still in his charet against the Aramites, and dyed at euen: and the blood ran out of the wound into the middes of the charet.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 36] And there went a proclamation thorowout the hoste about the going downe of the sunne, saying, Euery man to his citie, and euery man to his owne countrey.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 37] So the King died, and was brought to Samaria, and they buried the King in Samaria.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 38] And one washed the charet in the poole of Samaria, and the dogs licked vp his blood (and they washed his armour) according vnto the word of the Lord which he spake.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 39] Concerning the rest of the actes of Ahab and all that he did, and the yuorie house which he built, and all the cities that he built, are they not written in the booke of the Chronicles of the Kings of Israel?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 40] So Ahab slept with his fathers, and Ahaziah his sonne reigned in his stead.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 41] And Iehoshaphat the sonne of Asa began to reigne vpon Iudah in the fourth yeere of Ahab King of Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 42] Iehoshaphat was fiue and thirty yere olde, when he began to reigne, and reigned fiue and twentie yeere in Ierusalem. And his mothers name was Azubah the daughter of Shilhi.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 43] And he walked in all the wayes of Asa his father, and declined not therefrom, but did that which was right in the eyes of the Lord. Neuerthelesse the hie places were not taken away: for the people offred still and burnt incense in the hie places.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 44] And Iehoshaphat made peace with the King of Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 45] Concerning the rest of the actes of Iehoshaphat, and his worthy deedes that he did, and his battels which he fought, are they not written in the booke of the Chronicles of the Kings of Iudah?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 46] And the Sodomites, which remayned in the dayes of his father Asa, he put cleane out of the land.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 47] There was then no King in Edom: the deputie was King.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 48] Iehoshaphat made shippes of Tharshish to sayle to Ophir for golde, but they went not, for the shippes were broken at Ezion Gaber.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 49] Then sayde Ahaziah the sonne of Ahab vnto Iehoshaphat, Let my seruants goe with thy seruants in the ships, But Iehoshaphat would not.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 50] And Iehoshaphat did sleepe with his fathers, and was buried with his fathers in the citie of Dauid his father, and Iehoram his sonne reigned in his stead.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 51] Ahaziah the sonne of Ahab began to reigne ouer Israel in Samaria, the seuenteenth yeere of Iehoshaphat King of Iudah, and reigned two yeeres ouer Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 52] But he did euill in the sight of the Lord, and walked in the way of his father, and in the way of his mother, and in the way of Ieroboam the sonne of Nebat, which made Israel to sinne.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 53] For he serued Baal and worshipped him, and prouoked the Lord God of Israel vnto wrath, according vnto all that his father had done.
