[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 1] After many dayes, the worde of the Lord came to Eliiah, in the third yeere, saying, Goe, shewe thy selfe vnto Ahab, and I will sende rayne vpon the earth.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 14] And now thou sayest, Go, tel thy lord, Behold, Eliiah is here, that he may slay me.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 15] And Eliiah said, As the Lord of hostes liueth, before whome I stand, I will surely shewe my selfe vnto him this day.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 16] So Obadiah went to meete Ahab, and tolde him: And Ahab went to meete Eliiah.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 17] And when Ahab saw Eliiah, Ahab said vnto him, Art thou he that troubleth Israel?
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 18] And he answered, I haue not troubled Israel, but thou, and thy fathers house, in that ye haue forsaken the commandements of the Lord, and thou hast followed Baalim.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 19] Now therefore send, and gather to me all Israel vnto mount Carmel, and the prophets of Baal foure hundreth and fiftie, and the prophets of the groues foure hundreth, which eate at Iezebels table.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 20] So Ahab sent vnto all the children of Israel, and gathered the prophets together vnto mount Carmel.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 21] And Eliiah came vnto all the people, and said, How long halt ye betweene two opinions? If the Lord be God, follow him: but if Baal be he, then goe after him. And the people answered him not a worde.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 22] Then said Eliiah vnto the people, I onely remayne a Prophet of the Lord: but Baals prophets are foure hundreth and fiftie men.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 23] Let them therefore giue vs two bullockes, and let them chuse the one, and cut him in pieces, and lay him on the wood, but put no fire vnder, and I will prepare the other bullocke, and lay him on the wood, and will put no fire vnder.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 24] Then call ye on the name of your god, and I will call on the name of the Lord: and then the God that answereth by fire, let him be God. And all the people answered, and sayde, It is well spoken.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 25] And Eliiah said vnto the prophets of Baal, Chuse you a bullocke, and prepare him first, (for ye are many) and call on the name of your gods, but put no fire vnder.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 26] So they tooke the one bullocke, that was giuen them, and they prepared it, and called on the name of Baal, from morning to noone, saying, O Baal, heare vs: but there was no voyce, nor any to answere: and they leapt vpon the altar that was made.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 27] And at noone Eliiah mocked them, and said, Crye loude: for he is a god: either he talketh or pursueth his enemies, or is in his iourney, or it may be that he sleepeth, and must be awaked.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 28] And they cryed loude, and cut them selues as their maner was, with kniues and launcers, till the blood gushed out vpon them.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 29] And when midday was passed, and they had prophecied vntil the offring of the euening sacrifice, there was neither voyce, nor one to answere, nor any that regarded.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 30] And Eliiah said vnto all the people, Come to me. And all the people came to him. And he repayred the altar of the Lord that was broken downe.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 31] And Eliiah tooke twelue stones, according to the nomber of the tribes of the sonnes of Iaakob, (vnto whome the worde of the Lord came, saying, Israel shalbe thy name)
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 32] And with the stones he buylt an altar in the Name of the Lord: and he made a ditch round about the altar, as great as woulde conteine two measures of seede.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 33] And he put the wood in order, and hewed the bullocke in pieces, and layd him on the wood,
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 34] And said, Fill foure barrels with water, and powre it on the burnt offring and on the wood. Againe he said, Doe so againe. And they did so the second time. And he sayde, Doe it the third time. And they did it the third time.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 35] And the water ran round about the altar: and he filled the ditch with water also.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 36] And when they should offer the euening sacrifice, Eliiah the Prophet came, and sayd, Lord God of Abraham, Izhak and of Israel, let it be knowen this day, that thou art the God of Israel, and that I am thy seruant, and that I haue done all these things at thy commandement.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 37] Heare me, O Lord, heare me, and let this people know that thou art the Lord God, and that thou hast turned their heart againe at the last.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 38] Then the fire of the Lord fell, and consumed the burnt offring, and the wood, and the stones, and the dust, and licked vp the water that was in the ditche.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 39] And when all the people sawe it, they fell on their faces, and saide, The Lord is God, the Lord is God.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 40] And Elijah said vnto them, Take the prophets of Baal, let not a man of them escape. and they tooke them, and Eliiah brought them to the brooke Kishon, and slewe them there.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 41] And Eliiah sayde vnto Ahab, Get thee vp, eate and drinke, for there is a sound of much rayne.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 42] So Ahab went vp to eate and to drinke, and Eliiah went vp to the top of Carmel: and he crouched vnto the earth, and put his face betweene his knees,
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 43] And sayde to his seruant, Goe vp now and looke towarde the way of the Sea. And he went vp, and looked, and sayde, There is nothing. Againe he sayd, Goe againe seuen times.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 44] And at the seuenth time he sayd, Behold, there ariseth a litle cloude out of the sea like a mans hand. Then he sayd, Vp, and say vnto Ahab, Make readie thy charet, and get thee downe, that the raine stay thee not.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 45] And in the meane while the heauen was blacke with cloudes and winde, and there was a great rayne. Then Ahab went vp and came to Izreel.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 46] And the hand of the Lord was on Eliiah, and he girded vp his Ioynes, and ran before Ahab till he came to Izreel.
