[GNV | EN | NT | Luke | Chapter 11 | Verse 1] And so it was, that as he was praying in a certaine place, when he ceased, one of his disciples said vnto him, Lord, teache vs to pray, as Iohn also taught his disciples.
[GNV | EN | NT | Luke | Chapter 11 | Verse 23] He that is not with me, is against me: and he that gathereth not with me, scattereth.
[GNV | EN | NT | Luke | Chapter 11 | Verse 24] When the vncleane spirite is gone out of a man, he walketh through drie places, seeking rest: and when he findeth none he saieth, I wil returne vnto mine house whence I came out.
[GNV | EN | NT | Luke | Chapter 11 | Verse 25] And when he cometh, he findeth it swept and garnished.
[GNV | EN | NT | Luke | Chapter 11 | Verse 26] Then goeth hee, and taketh to him seuen other spirites worse then himselfe: and they enter in, and dwel there: so the last state of that man is worse then the first.
[GNV | EN | NT | Luke | Chapter 11 | Verse 27] And it came to passe as he sayde these thinges, a certaine woman of the companie lifted vp her voyce, and sayde vnto him, Blessed is the wombe that bare thee, and the pappes which thou hast sucked.
[GNV | EN | NT | Luke | Chapter 11 | Verse 28] But hee saide, Yea, rather blessed are they that heare the woorde of God, and keepe it.
[GNV | EN | NT | Luke | Chapter 11 | Verse 29] And when the people were gathered thicke together, he began to say, This is a wicked generation: they seeke a signe, and there shall no signe be giuen them, but the signe of Ionas the Prophet.
[GNV | EN | NT | Luke | Chapter 11 | Verse 30] For as Ionas was a signe to the Niniuites: so shall also the Sonne of man bee to this generation.
[GNV | EN | NT | Luke | Chapter 11 | Verse 31] The Queene of the South shall rise in iudgement, with the men of this generation, and shall condemne them: for shee came from the vtmost partes of the earth to heare the wisedome of Salomon, and beholde, a greater then Salomon is here.
[GNV | EN | NT | Luke | Chapter 11 | Verse 32] The men of Niniue shall rise in iudgement with this generation, and shall condemne it: for they repented at the preaching of Ionas: and beholde, a greater then Ionas is here.
[GNV | EN | NT | Luke | Chapter 11 | Verse 33] No man when he hath lighted a candle, putteth it in a priuie place, neither vnder a bushell: but on a candlesticke, that they which come in, may see the light.
[GNV | EN | NT | Luke | Chapter 11 | Verse 34] The light of the bodie is the eye: therefore when thine eye is single, then is thy whole bodie light: but if thine eye be euill, then thy bodie is darke.
[GNV | EN | NT | Luke | Chapter 11 | Verse 35] Take heede therefore, that the light which is in thee, be not darkenesse.
[GNV | EN | NT | Luke | Chapter 11 | Verse 36] If therefore thy whole body shall be light, hauing no part darke, then shall all be light, euen as when a candle doth light thee with the brightnesse.
[GNV | EN | NT | Luke | Chapter 11 | Verse 37] And as hee spake, a certaine Pharise besought him to dine with him: and hee went in, and sate downe at table.
[GNV | EN | NT | Luke | Chapter 11 | Verse 38] And when the Pharise saw it, he marueiled that he had not first washed before dinner.
[GNV | EN | NT | Luke | Chapter 11 | Verse 39] And the Lord saide to him, In deede yee Pharises make cleane the outside of the cuppe, and of the platter: but the inwarde part is full of rauening and wickednesse.
[GNV | EN | NT | Luke | Chapter 11 | Verse 40] Ye fooles, did not he that made that which is without, make that which is within also?
[GNV | EN | NT | Luke | Chapter 11 | Verse 41] Therefore, giue almes of those thinges which you haue, and beholde, all thinges shall be cleane to you.
[GNV | EN | NT | Luke | Chapter 11 | Verse 42] But wo be to you, Pharises: for ye tithe the mynt and the rewe, and all maner herbs, and passe ouer iudgement and the loue of God: these ought yee to haue done, and not to haue left the other vndone.
[GNV | EN | NT | Luke | Chapter 11 | Verse 43] Wo be to you, Pharises: for ye loue the vppermost seats in the Synagogues, and greetings in the markets.
[GNV | EN | NT | Luke | Chapter 11 | Verse 44] Wo be to you, Scribes and Pharises, hypocrites: for ye are as graues which appeare not, and the men that walke ouer them, perceiue not.
[GNV | EN | NT | Luke | Chapter 11 | Verse 45] Then answered one of the Lawyers, and saide vnto him, Master, thus saying thou puttest vs to rebuke also.
[GNV | EN | NT | Luke | Chapter 11 | Verse 46] And he sayde, Wo be to you also, yee Lawyers: for yee lade men with burdens grieuous to be borne, and yee your selues touche not the burdens with one of your fingers.
[GNV | EN | NT | Luke | Chapter 11 | Verse 47] Wo be to you: for ye builde the sepulchres of the Prophetes, and your fathers killed them.
[GNV | EN | NT | Luke | Chapter 11 | Verse 48] Truely ye beare witnesse, and allowe the deedes of your fathers: for they killed them, and yee build their sepulchres.
[GNV | EN | NT | Luke | Chapter 11 | Verse 49] Therefore said the wisedome of God, I wil sende them Prophets and Apostles, and of them they shall slaie, and persecute away,
[GNV | EN | NT | Luke | Chapter 11 | Verse 50] That the blood of all the Prophets, shed from the foundation of the world, may be required of this generation,
[GNV | EN | NT | Luke | Chapter 11 | Verse 51] From the blood of Abel vnto the blood of Zacharias, which was slaine betweene the altar and the Temple: verely I say vnto you, it shall be required of this generation.
[GNV | EN | NT | Luke | Chapter 11 | Verse 52] Wo be to you, Lawyers: for ye haue taken away the key of knowledge: ye entred not in your selues, and them that came in, ye forbade.
[GNV | EN | NT | Luke | Chapter 11 | Verse 53] And as he sayde these things vnto them, the Scribes and Pharises began to vrge him sore, and to prouoke him to speake of many things,
[GNV | EN | NT | Luke | Chapter 11 | Verse 54] Laying wait for him, and seeking to catche some thing of his mouth, whereby they might accuse him.
