[GNV | EN | NT | Luke | Chapter 9 | Verse 1] Then called hee his twelue disciples together, and gaue them power and authoritie ouer all deuils, and to heale diseases.
[GNV | EN | NT | Luke | Chapter 9 | Verse 21] And he warned and commanded them, that they should tell that to no man,
[GNV | EN | NT | Luke | Chapter 9 | Verse 22] Saying, The Sonne of man must suffer many things and be reproued of the Elders, and of the hie Priests and Scribes, and be slaine, and the third day rise againe.
[GNV | EN | NT | Luke | Chapter 9 | Verse 23] And he sayd to them all, If any man will come after me, let him denie himselfe, and take vp his crosse dayly, and follow me.
[GNV | EN | NT | Luke | Chapter 9 | Verse 24] For whosoeuer will saue his life, shall lose it: and whosoeuer shall lose his life for my sake, the same shall saue it.
[GNV | EN | NT | Luke | Chapter 9 | Verse 25] For what auantageth it a man, if he win the whole worlde, and destroy himselfe, or lose himselfe?
[GNV | EN | NT | Luke | Chapter 9 | Verse 26] For whosoeuer shall be ashamed of me, and of my wordes, of him shall the Sonne of man be ashamed, when hee shall come in his glorie, and in the glorie of the Father, and of the holy Angels.
[GNV | EN | NT | Luke | Chapter 9 | Verse 27] And I tell you of a suretie, there be some standing here, which shall not taste of death, till they haue seene the kingdome of God.
[GNV | EN | NT | Luke | Chapter 9 | Verse 28] And it came to passe about an eyght dayes after those wordes, that he tooke Peter and Iohn, and Iames, and went vp into a mountaine to pray.
[GNV | EN | NT | Luke | Chapter 9 | Verse 29] And as he prayed, the fashion of his countenance was changed, and his garment was white and glistered.
[GNV | EN | NT | Luke | Chapter 9 | Verse 30] And beholde, two men talked with him, which were Moses and Elias:
[GNV | EN | NT | Luke | Chapter 9 | Verse 31] Which appeared in glory, and tolde of his departing, which he shoulde accomplish at Hierusalem.
[GNV | EN | NT | Luke | Chapter 9 | Verse 32] But Peter and they that were with him, were heauie with sleepe, and when they awoke, they saw his glorie, and the two men standing with him.
[GNV | EN | NT | Luke | Chapter 9 | Verse 33] And it came to passe, as they departed from him, Peter said vnto Iesus, Master, it is good for vs to be here: let vs therefore make three tabernacles, one for thee, and one for Moses, and one for Elias, and wist not what he said.
[GNV | EN | NT | Luke | Chapter 9 | Verse 34] Whiles he thus spake, there came a cloude and ouershadowed them, and they feared when they were entring into the cloude.
[GNV | EN | NT | Luke | Chapter 9 | Verse 35] And there came a voyce out of the cloud, saying, This is that my beloued Sonne, heare him.
[GNV | EN | NT | Luke | Chapter 9 | Verse 36] And when the voyce was past, Iesus was found alone: and they kept it close, and tolde no man in those dayes any of those things which they had seene.
[GNV | EN | NT | Luke | Chapter 9 | Verse 37] And it came to passe on the next day, as they came downe from the mountaine, much people met him.
[GNV | EN | NT | Luke | Chapter 9 | Verse 38] And beholde, a man of the companie cried out, saying, Master, I beseech thee, beholde my sonne: for he is all that I haue.
[GNV | EN | NT | Luke | Chapter 9 | Verse 39] And loe, a spirit taketh him, and suddenly he crieth, and he teareth him, that he fometh, and hardly departeth from him, when he hath bruised him.
[GNV | EN | NT | Luke | Chapter 9 | Verse 40] Nowe I haue besought thy disciples to cast him out, but they could not.
[GNV | EN | NT | Luke | Chapter 9 | Verse 41] Then Iesus answered, and said, O generation faithlesse, and crooked, howe long now shall I be with you, and suffer you? bring thy sonne hither.
[GNV | EN | NT | Luke | Chapter 9 | Verse 42] And whiles he was yet comming, the deuill rent him, and tare him: and Iesus rebuked the vncleane spirite, and healed the childe, and deliuered him to his father.
[GNV | EN | NT | Luke | Chapter 9 | Verse 43] And they were all amased at the mightie power of God: and while they all wondered at al things, which Iesus did, he said vnto his disciples,
[GNV | EN | NT | Luke | Chapter 9 | Verse 44] Marke these wordes diligently: for it shall come to passe, that the Sonne of man shalbe deliuered into the handes of men.
[GNV | EN | NT | Luke | Chapter 9 | Verse 45] But they vnderstood not that word: for it was hid from them, so that they could not perceiue it: and they feared to aske him of that worde.
[GNV | EN | NT | Luke | Chapter 9 | Verse 46] Then there arose a disputation among them, which of them should be the greatest.
[GNV | EN | NT | Luke | Chapter 9 | Verse 47] When Iesus sawe the thoughtes of their heartes, he tooke a litle childe, and set him by him,
[GNV | EN | NT | Luke | Chapter 9 | Verse 48] And said vnto them, Whosoeuer receiueth this litle childe in my Name, receiueth me: and whosoeuer shall receiue me, receiueth him that sent me: for he that is least among you all, he shall be great.
[GNV | EN | NT | Luke | Chapter 9 | Verse 49] And Iohn answered and saide, Master, we sawe one casting out deuils in thy Name, and we forbad him, because he followeth thee not with vs.
[GNV | EN | NT | Luke | Chapter 9 | Verse 50] Then Iesus saide vnto him, Forbid ye him not: for he that is not against vs, is with vs.
[GNV | EN | NT | Luke | Chapter 9 | Verse 51] And it came to passe, when the dayes were accomplished, that he should be receiued vp, he setled himselfe fully to goe to Hierusalem,
[GNV | EN | NT | Luke | Chapter 9 | Verse 52] And sent messengers before him: and they went and entred into a towne of the Samaritans, to prepare him lodging.
[GNV | EN | NT | Luke | Chapter 9 | Verse 53] But they woulde not receiue him, because his behauiour was, as though he would go to Hierusalem.
[GNV | EN | NT | Luke | Chapter 9 | Verse 54] And when his disciples, Iames and Iohn sawe it, they saide, Lord, wilt thou that we commaund, that fire come downe from heauen, and consume them, euen as Elias did?
[GNV | EN | NT | Luke | Chapter 9 | Verse 55] But Iesus turned about, and rebuked them, and said, Ye knowe not of what spirit ye are.
[GNV | EN | NT | Luke | Chapter 9 | Verse 56] For the Sonne of man is not come to destroy mens liues, but to saue them. Then they went to another towne.
[GNV | EN | NT | Luke | Chapter 9 | Verse 57] And it came to passe that as they went in the way, a certaine man said vnto him, I will follow thee, Lord, whithersoeuer thou goest.
[GNV | EN | NT | Luke | Chapter 9 | Verse 58] And Iesus saide vnto him, The foxes haue holes, and the birdes of the heauen nestes, but the Sonne of man hath not whereon to lay his head.
[GNV | EN | NT | Luke | Chapter 9 | Verse 59] But he said vnto another, Followe me. And the same said, Lord, suffer me first to goe and burie my father.
[GNV | EN | NT | Luke | Chapter 9 | Verse 60] And Iesus said vnto him, Let the dead burie their dead: but go thou, and preache the kingdome of God.
[GNV | EN | NT | Luke | Chapter 9 | Verse 61] Then another saide, I will follow thee, Lord: but let me first go bid them farewell, which are at mine house.
[GNV | EN | NT | Luke | Chapter 9 | Verse 62] And Iesus saide vnto him, No man that putteth his hand to the plough, and looketh backe, is apt to the kingdome of God.
