[GNV | EN | NT | Luke | Chapter 20 | Verse 1] And it came to passe, that on one of those dayes, as he taught the people in the Temple, and preached the Gospel, the hie Priests and the Scribes came vpon him with the Elders,
[GNV | EN | NT | Luke | Chapter 20 | Verse 27] Then came to him certaine of the Sadduces (which denie that there is any resurrection) and they asked him,
[GNV | EN | NT | Luke | Chapter 20 | Verse 28] Saying, Master, Moses wrote vnto vs, If any mans brother die hauing a wife, and hee die without children, that his brother should take his wife, and raise vp seede vnto his brother.
[GNV | EN | NT | Luke | Chapter 20 | Verse 29] Now there were seuen brethren, and the first tooke a wife, and he dyed without children.
[GNV | EN | NT | Luke | Chapter 20 | Verse 30] And the second tooke the wife, and he dyed childelesse.
[GNV | EN | NT | Luke | Chapter 20 | Verse 31] Then the third tooke her: and so likewise the seuen dyed, and left no children.
[GNV | EN | NT | Luke | Chapter 20 | Verse 32] And last of all the woman dyed also.
[GNV | EN | NT | Luke | Chapter 20 | Verse 33] Therefore at the resurrection, whose wife of them shall she be? for seuen had her to wife.
[GNV | EN | NT | Luke | Chapter 20 | Verse 34] Then Iesus answered, and sayd vnto them, The children of this world marry wiues, and are married.
[GNV | EN | NT | Luke | Chapter 20 | Verse 35] But they which shalbe counted worthy to enioy that world, and the resurrection from the dead, neither marry wiues, neither are married.
[GNV | EN | NT | Luke | Chapter 20 | Verse 36] For they can die no more, forasmuch as they are equall vnto the Angels, and are the sonnes of God, since they are the children of the resurrection.
[GNV | EN | NT | Luke | Chapter 20 | Verse 37] And that the dead shall rise againe, euen Moses shewed it besides the bush, when he said, The Lord is the God of Abraham, and the God of Isaac, and the God of Iacob.
[GNV | EN | NT | Luke | Chapter 20 | Verse 38] For he is not the God of the dead, but of them which liue: for all liue vnto him.
[GNV | EN | NT | Luke | Chapter 20 | Verse 39] Then certaine of the Scribes answered, and sayd, Master, thou hast well sayd.
[GNV | EN | NT | Luke | Chapter 20 | Verse 40] And after that, durst they not aske him any thing at all.
[GNV | EN | NT | Luke | Chapter 20 | Verse 41] Then sayd he vnto them, Howe say they that Christ is Dauids sonne?
[GNV | EN | NT | Luke | Chapter 20 | Verse 42] And Dauid himselfe sayth in the booke of the Psalmes, The Lord sayd vnto my Lord, Sit at my right hand,
[GNV | EN | NT | Luke | Chapter 20 | Verse 43] Till I shall make thine enemies thy footestoole.
[GNV | EN | NT | Luke | Chapter 20 | Verse 44] Seeing Dauid called him Lord, howe is he then his sonne?
[GNV | EN | NT | Luke | Chapter 20 | Verse 45] Then in the audience of all the people he sayd vnto his disciples,
[GNV | EN | NT | Luke | Chapter 20 | Verse 46] Beware of the Scribes, which willingly go in long robes, and loue salutations in the markets, and the highest seates in the assemblies, and the chiefe roomes at feastes:
[GNV | EN | NT | Luke | Chapter 20 | Verse 47] Which deuoure widowes houses, and in shewe make long prayers: These shall receiue greater damnation.
