[GNV | EN | NT | Luke | Chapter 22 | Verse 1] Now the feast of vnleauened bread drewe neere, which is called the Passeouer.
[GNV | EN | NT | Luke | Chapter 22 | Verse 18] For I say vnto you, I will not drinke of the fruite of the vine, vntill the kingdome of God be come.
[GNV | EN | NT | Luke | Chapter 22 | Verse 19] And he tooke bread, and when he had giuen thankes, he brake it, and gaue to them, saying, This is my body, which is giuen for you: doe this in the remembrance of me.
[GNV | EN | NT | Luke | Chapter 22 | Verse 20] Likewise also after supper he tooke the cup, saying, This cup is that newe Testament in my blood, which is shed for you.
[GNV | EN | NT | Luke | Chapter 22 | Verse 21] Yet beholde, the hand of him that betrayeth me, is with me at the table.
[GNV | EN | NT | Luke | Chapter 22 | Verse 22] And truely the Sonne of man goeth as it is appointed: but woe be to that man, by whom he is betrayed.
[GNV | EN | NT | Luke | Chapter 22 | Verse 23] Then they began to enquire among themselues which of them it should be, that should do that.
[GNV | EN | NT | Luke | Chapter 22 | Verse 24] And there arose also a strife among them, which of them should seeme to be ye greatest.
[GNV | EN | NT | Luke | Chapter 22 | Verse 25] But hee saide vnto them, The Kings of the Gentiles reigne ouer them, and they that beare rule ouer them, are called bountifull.
[GNV | EN | NT | Luke | Chapter 22 | Verse 26] But yee shall not be so: but let the greatest among you be as the least: and the chiefest as he that serueth.
[GNV | EN | NT | Luke | Chapter 22 | Verse 27] For who is greater, he that sitteth at table, or he that serueth? Is not he that sitteth at table? And I am among you as he that serueth.
[GNV | EN | NT | Luke | Chapter 22 | Verse 28] And yee are they which haue continued with me in my tentations.
[GNV | EN | NT | Luke | Chapter 22 | Verse 29] Therefore I appoint vnto you a kingdome, as my Father hath appointed vnto me,
[GNV | EN | NT | Luke | Chapter 22 | Verse 30] That ye may eate, and drinke at my table in my kingdome, and sit on seates, and iudge the twelue tribes of Israel.
[GNV | EN | NT | Luke | Chapter 22 | Verse 31] And the Lord saide, Simon, Simon, beholde, Satan hath desired you, to winowe you as wheate.
[GNV | EN | NT | Luke | Chapter 22 | Verse 32] But I haue prayed for thee, that thy faith faile not: therefore when thou art conuerted, strengthen thy brethren.
[GNV | EN | NT | Luke | Chapter 22 | Verse 33] And he said vnto him, Lord, I am ready to goe with thee into prison, and to death.
[GNV | EN | NT | Luke | Chapter 22 | Verse 34] But he said, I tell thee, Peter, the cocke shall not crowe this day, before thou hast thrise denied that thou knewest me.
[GNV | EN | NT | Luke | Chapter 22 | Verse 35] And he saide vnto them, When I sent you without bagge, and scrip, and shooes, lacked ye any thing? And they said, Nothing.
[GNV | EN | NT | Luke | Chapter 22 | Verse 36] Then he said to them, But nowe he that hath a bagge, let him take it, and likewise a scrip: and hee that hath none, let him sell his coate, and buy a sworde.
[GNV | EN | NT | Luke | Chapter 22 | Verse 37] For I say vnto you, That yet the same which is written, must be perfourmed in me, Euen with the wicked was he nombred: for doubtlesse those things which are written of me, haue an ende.
[GNV | EN | NT | Luke | Chapter 22 | Verse 38] And they said, Lord, beholde, here are two swordes. And he said vnto them, It is ynough.
[GNV | EN | NT | Luke | Chapter 22 | Verse 39] And he came out, and went (as he was wont) to the mount of Oliues: and his disciples also followed him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 40] And when hee came to the place, hee said to them, Pray, lest ye enter into tentation.
[GNV | EN | NT | Luke | Chapter 22 | Verse 41] And he was drawen aside from them about a stones cast, and kneeled downe, and prayed,
[GNV | EN | NT | Luke | Chapter 22 | Verse 42] Saying, Father, if thou wilt, take away this cuppe from mee: neuerthelesse, not my will, but thine be done.
[GNV | EN | NT | Luke | Chapter 22 | Verse 43] And there appeared an Angell vnto him from heauen, comforting him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 44] But being in an agonie, hee prayed more earnestly: and his sweate was like drops of blood, trickling downe to the ground.
[GNV | EN | NT | Luke | Chapter 22 | Verse 45] And he rose vp from prayer, and came to his disciples, and found them sleeping for heauinesse.
[GNV | EN | NT | Luke | Chapter 22 | Verse 46] And he said vnto them, Why sleepe ye? rise and pray, least ye enter into tentation.
[GNV | EN | NT | Luke | Chapter 22 | Verse 47] And while he yet spake, beholde, a companie, and he that was called Iudas one of the twelue, went before them, and came neere vnto Iesus to kisse him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 48] And Iesus saide vnto him, Iudas, betrayest thou the Sonne of man with a kisse?
[GNV | EN | NT | Luke | Chapter 22 | Verse 49] Now when they which were about him, saw what would follow, they said vnto him, Lord, shall we smite with sworde?
[GNV | EN | NT | Luke | Chapter 22 | Verse 50] And one of them smote a seruant of the hie Priest, and strooke off his right eare.
[GNV | EN | NT | Luke | Chapter 22 | Verse 51] Then Iesus answered, and said, Suffer them thus farre: and he touched his eare, and healed him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 52] Then Iesus said vnto the hie Priests, and captaines of the Temple, and the Elders which were come to him, Bee ye come out as vnto a theefe with swordes and staues?
[GNV | EN | NT | Luke | Chapter 22 | Verse 53] When I was dayly with you in the Temple, yee stretched not foorth the handes against mee: but this is your very houre, and the power of darkenesse.
[GNV | EN | NT | Luke | Chapter 22 | Verse 54] Then tooke they him, and led him, and brought him to the hie Priestes house. And Peter followed afarre off.
[GNV | EN | NT | Luke | Chapter 22 | Verse 55] And when they had kindled a fire in the middes of the hall, and were set downe together, Peter also sate downe among them.
[GNV | EN | NT | Luke | Chapter 22 | Verse 56] And a certaine mayde behelde him as hee sate by the fire, and hauing well looked on him, said, This man was also with him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 57] But he denied him, saying, Woman, I know him not.
[GNV | EN | NT | Luke | Chapter 22 | Verse 58] And after a little while, another man sawe him, and saide, Thou art also of them. But Peter said, Man, I am not.
[GNV | EN | NT | Luke | Chapter 22 | Verse 59] And about the space of an houre after, a certaine other affirmed, saying. Verely euen this man was with him: for he is also a Galilean.
[GNV | EN | NT | Luke | Chapter 22 | Verse 60] And Peter saide, Man, I knowe not what thou sayest. And immediatly while hee yet spake, the cocke crewe.
[GNV | EN | NT | Luke | Chapter 22 | Verse 61] Then the Lord turned backe, and looked vpon Peter: and Peter remembred the worde of the Lord, how he had said vnto him, Before the cocke crowe, thou shalt denie me thrise.
[GNV | EN | NT | Luke | Chapter 22 | Verse 62] And Peter went out, and wept bitterly.
[GNV | EN | NT | Luke | Chapter 22 | Verse 63] And the men that helde Iesus, mocked him, and strooke him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 64] And when they had blindfolded him, they smote him on the face, and asked him, saying, Prophecie who it is that smote thee.
[GNV | EN | NT | Luke | Chapter 22 | Verse 65] And many other thinges blasphemously spake they against him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 66] And assoone as it was day, the Elders of the people, and the hie Priests and the Scribes came together, and led him into their councill,
[GNV | EN | NT | Luke | Chapter 22 | Verse 67] Saying, Art thou that Christ? tell vs. And he said vnto them, If I tell you, ye wil not beleeue it.
[GNV | EN | NT | Luke | Chapter 22 | Verse 68] And if also I aske you, you will not answere me, nor let me goe.
[GNV | EN | NT | Luke | Chapter 22 | Verse 69] Hereafter shall the Sonne of man sit at the right hand of the power of God.
[GNV | EN | NT | Luke | Chapter 22 | Verse 70] Then sayd they all, Art thou then ye Sonne of God? And he sayd to them, Ye say, that I am.
[GNV | EN | NT | Luke | Chapter 22 | Verse 71] Then sayd they, What neede we any further witnes? for we our selues haue heard it of his owne mouth.
