[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three years without war between Syria and Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 21] And there came forth a spirit, and stood before the Lord, and said, I will persuade him.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 22] And the Lord said unto him, Wherewith? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets. And he said, Thou shalt persuade him, and prevail also: go forth, and do so.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 23] Now therefore behold, the Lord hath put a lying spirit in the mouth of all these thy prophets, and the Lord hath spoken evil concerning thee.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 24] But Zedekiah the son of Chenaanah went near, and smote Micaiah on the cheek, and said, Which way went the spirit of the Lord from me to speak unto thee?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 25] And Micaiah said, Behold, thou shalt see in that day, when thou shalt go into an inner chamber to hide thyself.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 26] And the king of Israel said, Take Micaiah, and carry him back unto Amon the governor of the city, and to Joash the king’s son;
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 27] and say, Thus saith the king, Put this fellow in the prison, and feed him with bread of affliction and with water of affliction, until I come in peace.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 28] And Micaiah said, If thou return at all in peace, the Lord hath not spoken by me. And he said, Hearken, O people, every one of you.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 29] So the king of Israel and Jehoshaphat the king of Judah went up to Ramoth-gilead.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 30] And the king of Israel said unto Jehoshaphat, I will disguise myself, and enter into the battle; but put thou on thy robes. And the king of Israel disguised himself, and went into the battle.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 31] But the king of Syria commanded his thirty and two captains that had rule over his chariots, saying, Fight neither with small nor great, save only with the king of Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 32] And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 33] And it came to pass, when the captains of the chariots perceived that it was not the king of Israel, that they turned back from pursuing him.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 34] And a certain man drew a bow at a venture, and smote the king of Israel between the joints of the harness: wherefore he said unto the driver of his chariot, Turn thine hand, and carry me out of the host; for I am wounded.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 35] And the battle increased that day: and the king was stayed up in his chariot against the Syrians, and died at even: and the blood ran out of the wound into the midst of the chariot.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 36] And there went a proclamation throughout the host about the going down of the sun, saying, Every man to his city, and every man to his own country.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 37] So the king died, and was brought to Samaria; and they buried the king in Samaria.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 38] And one washed the chariot in the pool of Samaria; and the dogs licked up his blood; and they washed his armour; according unto the word of the Lord which he spake.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 39] Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 40] So Ahab slept with his fathers; and Ahaziah his son reigned in his stead.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 41] And Jehoshaphat the son of Asa began to reign over Judah in the fourth year of Ahab king of Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 42] Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother’s name was Azubah the daughter of Shilhi.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 43] And he walked in all the ways of Asa his father; he turned not aside from it, doing that which was right in the eyes of the Lord: nevertheless the high places were not taken away; for the people offered and burnt incense yet in the high places.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 44] And Jehoshaphat made peace with the king of Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 45] Now the rest of the acts of Jehoshaphat, and his might that he shewed, and how he warred, are they not written in the book of the chronicles of the kings of Judah?
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 46] And the remnant of the sodomites, which remained in the days of his father Asa, he took out of the land.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 47] There was then no king in Edom: a deputy was king.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 48] Jehoshaphat made ships of Tharshish to go to Ophir for gold: but they went not; for the ships were broken at Ezion-geber.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 49] Then said Ahaziah the son of Ahab unto Jehoshaphat, Let my servants go with thy servants in the ships. But Jehoshaphat would not.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 50] And Jehoshaphat slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoram his son reigned in his stead.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 51] Ahaziah the son of Ahab began to reign over Israel in Samaria the seventeenth year of Jehoshaphat king of Judah, and reigned two years over Israel.
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 52] And he did evil in the sight of the Lord, and walked in the way of his father, and in the way of his mother, and in the way of Jeroboam the son of Nebat, who made Israel to sin:
[KJV | EN | OT | 1 Kings | Chapter 22 | Verse 53] for he served Baal, and worshipped him, and provoked to anger the Lord God of Israel, according unto all that his father had done.
