[BBE | EN | NT | Mark | Chapter 9 | Verse 1] And he said to them, Truly I say to you, There are some here who will have no taste of death till they see the kingdom of God come with power.
[BBE | EN | NT | Mark | Chapter 9 | Verse 20] And they took him to him: and when he saw him, the spirit in him straight away became violent; and he went down on the earth, rolling about and streaming at the lips.
[BBE | EN | NT | Mark | Chapter 9 | Verse 21] And Jesus questioning the father said, How long has he been like this? And he said, From a child.
[BBE | EN | NT | Mark | Chapter 9 | Verse 22] And frequently it has sent him into the fire and into the water, for his destruction; but if you are able to do anything, have pity on us, and give us help.
[BBE | EN | NT | Mark | Chapter 9 | Verse 23] And Jesus said to him, If you are able! All things are possible to him who has faith.
[BBE | EN | NT | Mark | Chapter 9 | Verse 24] Straight away the father of the child gave a cry, saying, I have faith; make my feeble faith stronger.
[BBE | EN | NT | Mark | Chapter 9 | Verse 25] And when Jesus saw that the people came running together, he gave orders to the unclean spirit, saying to him, You, spirit, who are the cause of his loss of voice and hearing, I say to you, come out of him, and never again go into him.
[BBE | EN | NT | Mark | Chapter 9 | Verse 26] And after crying out and shaking him violently, it came out: and the child became like one dead; so that most of them said, He is dead.
[BBE | EN | NT | Mark | Chapter 9 | Verse 27] But Jesus took him by the hand, lifting him up; and he got up.
[BBE | EN | NT | Mark | Chapter 9 | Verse 28] And when he had gone into the house, his disciples said to him privately, Why were we unable to send it out?
[BBE | EN | NT | Mark | Chapter 9 | Verse 29] And he said to them, Nothing will make this sort come out but prayer.
[BBE | EN | NT | Mark | Chapter 9 | Verse 30] And they went out from there, through Galilee; and it was his desire that no man might have knowledge of it;
[BBE | EN | NT | Mark | Chapter 9 | Verse 31] For he was giving his disciples teaching, and saying to them, The Son of man is given up into the hands of men, and they will put him to death; and when he is dead, after three days he will come back from the dead.
[BBE | EN | NT | Mark | Chapter 9 | Verse 32] But the saying was not clear to them, and they were in fear of questioning him about it.
[BBE | EN | NT | Mark | Chapter 9 | Verse 33] And they came to Capernaum: and when he was in the house, he put the question to them, What were you talking about on the way?
[BBE | EN | NT | Mark | Chapter 9 | Verse 34] But they said nothing: because they had had an argument between themselves on the way, about who was the greatest.
[BBE | EN | NT | Mark | Chapter 9 | Verse 35] And seating himself, he made the twelve come to him; and he said to them, If any man has the desire to be first, he will be last of all and servant of all.
[BBE | EN | NT | Mark | Chapter 9 | Verse 36] And he took a little child, and put him in the middle of them; and taking him in his arms, he said to them,
[BBE | EN | NT | Mark | Chapter 9 | Verse 37] Whoever will give honour to one such little child in my name, gives honour to me: and whoever gives honour to me, gives honour not to me, but to him who sent me.
[BBE | EN | NT | Mark | Chapter 9 | Verse 38] John said to him, Master, we saw one driving out evil spirits in your name: and we said that he might not, because he is not one of us.
[BBE | EN | NT | Mark | Chapter 9 | Verse 39] But Jesus said, Say not so: for there is no man who will do a great work in my name, and be able at the same time to say evil of me.
[BBE | EN | NT | Mark | Chapter 9 | Verse 40] He who is not against us is for us.
[BBE | EN | NT | Mark | Chapter 9 | Verse 41] Whoever gives you a cup of water, because you are Christ's, truly I say to you, he will in no way be without his reward.
[BBE | EN | NT | Mark | Chapter 9 | Verse 42] And whoever is a cause of trouble to one of these little ones who have faith in me, it would be better for him if a great stone was put round his neck and he was dropped into the sea.
[BBE | EN | NT | Mark | Chapter 9 | Verse 43] And if your hand is a cause of trouble to you, let it be cut off; it is better for you to go into life with one hand than to have two hands and go into hell, into the eternal fire.
[BBE | EN | NT | Mark | Chapter 9 | Verse 44] []
[BBE | EN | NT | Mark | Chapter 9 | Verse 45] And if your foot is a cause of trouble to you, let it be cut off: it is better for you to go into life with one foot than to have two feet and go into hell.
[BBE | EN | NT | Mark | Chapter 9 | Verse 46] []
[BBE | EN | NT | Mark | Chapter 9 | Verse 47] And if your eye is a cause of trouble to you, take it out: it is better for you to go into the kingdom of God with one eye than, having two eyes, to go into hell,
[BBE | EN | NT | Mark | Chapter 9 | Verse 48] Where their worm is ever living and the fire is not put out.
[BBE | EN | NT | Mark | Chapter 9 | Verse 49] Everyone will be salted with fire.
[BBE | EN | NT | Mark | Chapter 9 | Verse 50] Salt is good; but if the taste goes from it, how will you make it salt again? Have salt in yourselves, and be at peace one with another.
