[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 1] In the twenty-fifth year of our captivity, in the beginning of the year, on the tenth of the month, in the fourteenth year after that the city was smitten, on that same day the hand of Jehovah was upon me, and he brought me thither.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 17] And he brought me into the outer court, and behold, there were cells, and a pavement made for the court round about: thirty cells were upon the pavement.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 18] And the pavement was by the side of the gates, answering to the length of the gates, [namely] the lower pavement.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 19] And he measured the breadth from the front of the lower gate unto the front of the inner court outside, a hundred cubits eastward and northward.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 20] And the gate of the outer court, that looked toward the north, he measured its length and its breadth.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 21] And its chambers were three on this side and three on that side; and its posts and its projections were according to the measure of the first gate: its length was fifty cubits, and breadth five and twenty cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 22] And its windows, and its projections, and its palm-trees were according to the measure of the gate that looked toward the east; and they went up to it by seven steps; and the projections thereof were before them.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 23] And the gate of the inner court was opposite to the gate toward the north, and toward the east; and he measured from gate to gate a hundred cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 24] And he brought me toward the south: and behold, there was a gate toward the south; and he measured its posts and its projections according to these measures.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 25] And there were windows to it and to its projections round about, like those windows: the length was fifty cubits, and the breadth five and twenty cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 26] And there were seven steps to go up to it; and its projections were before them; and it had palm-trees, one on this side and one on that side, upon its posts.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 27] And there was a gate to the inner court toward the south; and he measured from gate to gate toward the south, a hundred cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 28] And he brought me into the inner court by the south gate; and he measured the south gate according to these measures:
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 29] and its chambers, and its posts, and its projections, according to these measures; and there were windows to it and to its projections round about: the length was fifty cubits, and the breadth twenty-five cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 30] And there were projections round about, twenty-five cubits long, and five cubits broad.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 31] And its projections were toward the outer court; and there were palm-trees upon its posts: and its ascent was [by] eight steps.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 32] And he brought me into the inner court toward the east; and he measured the gate according to these measures:
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 33] and its chambers, and its posts, and its projections, according to these measures; and there were windows to it and to its projections round about: the length was fifty cubits, and the breadth twenty-five cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 34] And its projections were toward the outer court; and there were palm-trees upon its posts on this side and on that side: and its ascent was [by] eight steps.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 35] And he brought me to the north gate, and he measured [it] according to these measures:
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 36] its chambers, its posts, and its projections; and there were windows to it round about: the length was fifty cubits, and the breadth twenty-five cubits.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 37] And its posts were toward the outer court; and there were palm-trees upon its posts, on this side and on that side: and its ascent was [by] eight steps.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 38] And there was a cell and its entry by the posts of the gates; there they rinsed the burnt-offering.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 39] And in the porch of the gate were two tables on this side, and two tables on that side, to slay thereon the burnt-offering and the sin-offering and the trespass-offering.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 40] And at the side without, at the ascent to the entry of the north gate, were two tables; and on the other side, which was at the porch of the gate, were two tables:
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 41] four tables on this side, and four tables on that side, by the side of the gate, — eight tables, whereon they slew [the sacrifice],
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 42] — and at the ascent, four tables of hewn stone, of a cubit and a half long, and a cubit and a half broad, and one cubit high; whereon also they laid the instruments with which they slew the burnt-offering and the sacrifice.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 43] And the double hooks of a hand breadth were fastened round about within; and upon the tables [they put] the flesh of the offering.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 44] And outside the inner gate were two cells in the inner court, one at the side of the north gate, and its front towards the south; the other was at the side of the south gate, the front towards the north.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 45] And he said unto me, This cell whose front is towards the south is for the priests, the keepers of the charge of the house.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 46] And the cell whose front is toward the north is for the priests, the keepers of the charge of the altar. These are the sons of Zadok, those who, from among the sons of Levi, approach unto Jehovah to minister unto him.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 47] And he measured the court, the length a hundred cubits, and the breadth a hundred cubits, four square: and the altar was before the house.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 48] And he brought me to the porch of the house; and he measured the post of the porch, five cubits on this side, and five cubits on that side; and the breadth of the gate, three cubits on this side, and three cubits on that side.
[DARBY | EN | OT | Ezekiel | Chapter 40 | Verse 49] The length of the porch was twenty cubits, and the breadth eleven cubits, even by the steps whereby they went up to it; and there were pillars by the posts, one on this side, and one on that side.
