[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 1] And the word of Jehovah came unto me, saying:
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 19] Vedan and Javan of Uzal traded in thy markets: wrought iron, cassia, and calamus were in thy traffic.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 20] Dedan was thy trafficker in precious riding-cloths.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 21] Arabia and all the princes of Kedar were the merchants of thy hand: in lambs, and rams, and goats, in these did they trade with thee.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 22] The merchants of Sheba and Raamah were thy traffickers: they furnished thy markets with all the choice spices, and with all precious stones and gold.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 23] Haran, and Canneh, and Eden, the merchants of Sheba, Asshur, and Chilmad traded with thee:
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 24] these traded with thee in sumptuous clothes, in wrappings of blue and broidered work, and in chests full of variegated stuffs, bound with cords and made of cedar-wood, amongst thy merchandise.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 25] The ships of Tarshish were thy caravans for thy traffic; and thou wast replenished, and highly honoured, in the heart of the seas.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 26] Thy rowers have brought thee into great waters; the east wind hath broken thee in the heart of the seas.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 27] Thy substance, and thy markets, thy merchandise, thy mariners, and thy pilots, they that repair thy leaks, and they that barter with thee, and all thy men of war that are in thee, along with all thine assemblage which is in the midst of thee, shall fall into the heart of the seas in the day of thy fall.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 28] The open places shall shake at the sound of the cry of thy pilots.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 29] And all that handle the oar, the mariners, all the pilots of the sea, shall come down from their ships; they shall stand upon the land,
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 30] and shall cause their voice to be heard over thee, and shall cry bitterly; and they shall cast up dust upon their heads; they shall wallow themselves in ashes.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 31] And they shall make themselves utterly bald for thee, and gird themselves with sackcloth; and they shall weep for thee in bitterness of soul with bitter mourning.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 32] And in their wailing they shall take up a lamentation for thee, and lament over thee, [saying,] Who is like Tyre, like her that is destroyed in the midst of the sea?
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 33] When thy wares went forth over the seas, thou filledst many peoples; thou didst enrich the kings of the earth with the abundance of thy substance and of thy merchandise.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 34] In the time [when] thou art broken by the seas, in the depths of the waters, thy merchandise and all thine assemblage in the midst of thee have fallen.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 35] All the inhabitants of the isles are amazed at thee, and their kings are horribly afraid, [their] countenance is troubled.
[DARBY | EN | OT | Ezekiel | Chapter 27 | Verse 36] The merchants among the peoples hiss at thee; thou art become a terror, and thou shalt never be any more.
