[WEB | EN | OT | Joshua | Chapter 15 | Verse 1] The lot for the tribe of the children of Judah according to their families was to the border of Edom, even to the wilderness of Zin southward, at the uttermost part of the south.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 15] He went up against the inhabitants of Debir: now the name of Debir before was Kiriath Sepher.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 16] Caleb said, “He who strikes Kiriath Sepher, and takes it, to him I will give Achsah my daughter as wife.”
[WEB | EN | OT | Joshua | Chapter 15 | Verse 17] Othniel the son of Kenaz, the brother of Caleb, took it: and he gave him Achsah his daughter as wife.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 18] When she came, she had him ask her father for a field. She got off her donkey, and Caleb said, “What do you want?”
[WEB | EN | OT | Joshua | Chapter 15 | Verse 19] She said, “Give me a blessing. Because you have set me in the land of the South, give me also springs of water.” So he gave her the upper springs and the lower springs.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 20] This is the inheritance of the tribe of the children of Judah according to their families.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 21] The farthest cities of the tribe of the children of Judah toward the border of Edom in the South were Kabzeel, Eder, Jagur,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 22] Kinah, Dimonah, Adadah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 23] Kedesh, Hazor, Ithnan,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 24] Ziph, Telem, Bealoth,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 25] Hazor Hadattah, Kerioth Hezron (also called Hazor),
[WEB | EN | OT | Joshua | Chapter 15 | Verse 26] Amam, Shema, Moladah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 27] Hazar Gaddah, Heshmon, Beth Pelet,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 28] Hazar Shual, Beersheba, Biziothiah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 29] Baalah, Iim, Ezem,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 30] Eltolad, Chesil, Hormah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 31] Ziklag, Madmannah, Sansannah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 32] Lebaoth, Shilhim, Ain, and Rimmon. All the cities are twenty-nine, with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 33] In the lowland, Eshtaol, Zorah, Ashnah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 34] Zanoah, En Gannim, Tappuah, Enam,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 35] Jarmuth, Adullam, Socoh, Azekah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 36] Shaaraim, Adithaim and Gederah (or Gederothaim); fourteen cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 37] Zenan, Hadashah, Migdal Gad,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 38] Dilean, Mizpah, Joktheel,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 39] Lachish, Bozkath, Eglon,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 40] Cabbon, Lahmam, Chitlish,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 41] Gederoth, Beth Dagon, Naamah, and Makkedah; sixteen cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 42] Libnah, Ether, Ashan,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 43] Iphtah, Ashnah, Nezib,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 44] Keilah, Achzib, and Mareshah; nine cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 45] Ekron, with its towns and its villages;
[WEB | EN | OT | Joshua | Chapter 15 | Verse 46] from Ekron even to the sea, all that were by the side of Ashdod, with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 47] Ashdod, its towns and its villages; Gaza, its towns and its villages; to the brook of Egypt, and the great sea with its coastline.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 48] In the hill country, Shamir, Jattir, Socoh,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 49] Dannah, Kiriath Sannah (which is Debir),
[WEB | EN | OT | Joshua | Chapter 15 | Verse 50] Anab, Eshtemoh, Anim,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 51] Goshen, Holon, and Giloh; eleven cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 52] Arab, Dumah, Eshan,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 53] Janim, Beth Tappuah, Aphekah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 54] Humtah, Kiriath Arba (also called Hebron), and Zior; nine cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 55] Maon, Carmel, Ziph, Jutah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 56] Jezreel, Jokdeam, Zanoah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 57] Kain, Gibeah, and Timnah; ten cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 58] Halhul, Beth Zur, Gedor,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 59] Maarath, Beth Anoth, and Eltekon; six cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 60] Kiriath Baal (also called Kiriath Jearim), and Rabbah; two cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 61] In the wilderness, Beth Arabah, Middin, Secacah,
[WEB | EN | OT | Joshua | Chapter 15 | Verse 62] Nibshan, the City of Salt, and En Gedi; six cities with their villages.
[WEB | EN | OT | Joshua | Chapter 15 | Verse 63] As for the Jebusites, the inhabitants of Jerusalem, the children of Judah couldn’t drive them out; but the Jebusites live with the children of Judah at Jerusalem to this day.
