[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 1] Ὡς δὲ καὶ οὗτος ταῖς βασάνοις καταικισθεὶς ἐναπέθανεν, ὁ πέμπτος παρεπήδησεν, λέγων,
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 14] Ἐγὼ τῇ μὲν ἡλικίᾳ τῶν ἀδελφῶν μου εἰμὶ νεώτερος, τῇ δὲ διανοίᾳ ἡλικιώτης·
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 15] Εἰς τὰ αὐτὰ γὰρ καὶ γεννηθέντες καὶ τραφέντες, ὑπὲρ τῶν αὐτῶν καὶ ἀποθνήσκειν ὀφείλομεν ὁμοίως.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 16] Ὥστε εἰ σοὶ δοκεῖ βασανίξειν, μὴ μιαιροφαγοῦτας βασάνιζε.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 17] Ταῦτα αὐτὸν εἰπόντα παρῆγον ἐπὶ τὸν τροχόν.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 18] Ἐφʼ οὗ κατατεινόμενος εὐμελῶς καὶ ἐκσφονοδυλιζόμενος ὑπεκαίετο.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 19] Καὶ ὀβελίσκους ὀξεῖς πυρώσαντες, τοῖς νότοις προσέφερον· καὶ τὰ πλευπὰ διαπείραντες, ἀπʼ αὐτοῦ σπλάγχνα διέκαιον.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 20] Ὁ δὲ βασανιζόμενος, ὦ ἱεροπρεποῦς αἰῶνος, ἔλεγεν, ἐφʼ ὃν διὰ τὴν εὐσέβειαν εἰς γυμνασίαν πόνων ἀδελφοὶ τοσοῦτοι κληθέντες οὐκ ἐνικήθημεν.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 21] Ἀνίκητος γάρ ἐστιν, ὦ τύραννε, ἡ εὐσεβὴς ἐπιστήμη.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 22] Καλοκᾳγαθίᾳ καθωπλισμένος τεθνήξομαι κἀγὼ μετὰ τῶν ἀδελφῶν μοῦ.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 23] Μέγαν σοὶ προσβάλλων καὶ αὐτὸς ἀλάστορα, καινουργὲ τῶν βασάνων, καὶ πολέμιε τῶν ἀληθῶς εὐσεβούντων.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 24] Ἓξ μειράκια κατελύσαμέν σου τὴν τυραννίδα.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 25] Τὸ γὰρ μὴ δυνηθῆναί σε μεταπεῖσαι τὸν λογισμὸν ἡμῶν, μήτε βιάσασθαι πρὸς τὴν μιαιροφαγίαν, οὐ κατάλυσίς ἐστιν σοῦ;
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 26] Τὸ πῦρ σου ψυχρὸν ἡμῖν, καὶ ἄπονοι οἱ καταπέλται, καὶ ἀδύνατος ἡ βία σου.
[LXX | EL | OT | 4 Maccabees | Chapter 11 | Verse 27] Οὐ γὰρ τυράννου, ἀλλὰ θείου νόμου προεστήκασιν ἡμῶν οἱ δορυφίροι· διὰ τοῦτο ἀνίκητον ἕχομεν τὸν λογι σμόν.
