[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 1] ΦΙΛΟΣΟΦΩΤΑΤΟΝ λόγον ἐπιδείκνυσθαι μέλλων, εἰ αὐτοδέσποτός ἐστιν τῶν παθῶν ὁ εὐσεβὴς λογισμός· συμβουλεύσαιμʼ ἂν ὑμῖν ὀρθῶς, ὅπως προθύμως προσέχητε τῇ φιλοσοφίᾳ.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 23] Πρὸ δὲ τοῦ πόνου ἐστὶν φόβος· μετὰ δὲ τὸν πόνον, λύπη.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 24] Θυμὸς δὲ κοινὸν πάθος ἐστὶν ἡδονῆς καὶ πόνου, ἐὰν ἐννοηθῇ τις ὃτε αὐτῷ περιέπεσεν.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 25] Ἐν δὲ τῇ ἡδονῇ ἐστιν καὶ ἡ κακοήθης διάθεσις, πολυτροπωτάτη πάντων τῶν παθῶν οὖσα.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 26] Κατὰ μὲν ψυχῆς ἀλαζονεία, καὶ φιλαργυρία, καὶ φιλοδοξία, καὶ φιλονεικία, ἀπιστία καὶ βασκανία·
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 27] κατὰ δὲ τὸ σῶμα, παντοφαγία, καὶ λαιμαργία, καὶ νομοφαγία.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 28] Καθάπερ οὖν δυοῖν τοῦ σώματος καὶ τῆς ψυχῆς φυτῶν ὄντων ἡδονῆς τε καὶ πὸνου, πολλαὶ τούτων τῶν παθῶν εἰσιν παραφυάδες.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 29] Ὧν ἕκαστος ὁ πανγέωργος λογισμὸς περικαθαίρων τε καὶ ἀποκνίζων, καὶ περιπλέκων, καὶ ἐπάρδων, καὶ πάντα τρόπον μεταχέων, ἐξημεροῖ τὰς τῶν ἠθῶν καὶ παθῶν ὕλας.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 30] Ὁ γὰρ λογισμὸς τῶν μὲν ἀρετῶν ἐστιν ἡγεμῶν, τῶν δὲ παθῶν αὐτοκράτωρ. Ἐπιθεώρει γε τοίνυν πρῶτον διʼ αὐτῶν κωλυτικῶν τῆς σωφροσύνης ἔργων, ὅτι αὐτοδέσποτός ἐστιν τῶν παθῶν ὁ λογισμός.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 31] Σωφροσύνη δὴ τοίνυν ἐστὶν ἐπικράτεια τῶν ἐπιθυμιῶν.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 32] Τῶν δὲ ἐπιθυμιῶν αἱ μέν εἰσιν ψυχικαὶ, αἱ δὲ σωματικαί· καὶ τούτων ἀμφοτέρων ὁ λογισμὸς ἐπικρατεῖν φαίνεται.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 33] Ἐπεὶ πόθεν κινούμενοι πρὸς τὰς ἀπειρημένας τοοφὰς, ἀποτρεπόμεθα τὰς ἐξ ἑαυτῶν ἡδονάς; οὐχ ὅτι δύναται τῶν ὀρὲξεων ἐπικρατεῖν ὁ λογισμός; ἐγὼ μὲν οἶμαι.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 34] Τοιγαροῦν ἐνύδρων ἐπιθυμοῦντες καὶ ὀρνέων καὶ τετραπόδων, παντοίων βρωμάτων τὼν ἀπηγορευμένων ἡμῖν κατὰ τὸν νόμον ἀπεχόμεθα διὰ τὴν τοῦ λογισμοῦ ἐπικράτειαν.
[LXX | EL | OT | 4 Maccabees | Chapter 1 | Verse 35] Ἀντέχεται γὰρ τὰ τῶν ὀρέξεων πάθη ὑπὸ τοῦ σώφρονος νοὸς ἀνακαμπτόμενα· καὶ φιλοτιμοῦνται πάντα τὰ τοῦ σώματος κινήματα ὑπὸ τοῦ λογισμοῦ.
