[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 1] Ὦ λογίσμε τέκνων, παθῶν τύραννε, καὶ εὐσέβεια μητρὶ τέκνων ποθεινοτέρα.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 12] Ἀλλὰ καἰ καθʼ ἔνα παῖδα καὶ ὁμοῦ πάντας ἡ μήτηρ ἐπὶ τὸν τῆς εὐσεβείας προετρέπετο θάνατον.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 13] Ὦ φύσις ἱερὰ, καὶ φίλτρα γονέων καὶ γονεῦσιν φιλόστοργε, καὶ τροφεῖα, καὶ μητέρων ἀδάμαστα πάθη.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 14] Καθʼ ἕνα στρεβλούμενον καὶ φλεγόμενον ὁρῶσα υήτηρ, οὐ μετεβάλετο διὰ τὴν εὐσέβεβειαν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 15] Τὰς σάρκας τῶν τέκνων ἑώρα περὶ τὸ πῦρ τηκομένας, καὶ τοὺς τὼν ποδῶν καὶ χειρῶν δακτύλους ἐπὶ γῆς σπαίροντας, καὶ τὰς τῶν κεφαλῶν μέχρι τῶν περὶ τὰ γένεια σάρκας, ὥσπερ προσωπεῖα προκειμένας.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 16] Ὦ πικροτέρων μὲν νῦν μήτηρ πόνων πειρασθεῖσα, ἤπερ τῶν ἐπʼ αὐτοῖς ὠδίνων.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 17] Ὦ μόνη γυνὴ τὴν εὐσέβειαν ὁλόκληρον ἀποκυήσασα.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 18] Οὐ μετέρεψέν σε πρωτότοκος ἀποπνέων· οὐδὲ δεύτερον εἰς οἶκτρον βλέπων ἐν βασάνοις· οὐδὲ τρίτος ἀποψύχων.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 19] Οὐδὲ τοὺς ὀφθαλμοὺς ἑνὸς ἑκάστου θεωροῦσα ταυρηδὸν ἐπὶ τῶν βασάνων ὁρῶντας τὸν αὐτὸν αἰκισμὸν, καὶ τοὺς μυκτῆρας προσημειουμένους αὐτῶν τὸν θάνατον, οὐκ ἔκλαυσας.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 20] Ἐπὶ σαρξὶν τέκνων ὁρῶσα σάρκας τέκνων ἀποκεκομμένας, καὶ ἐπὶ κεφαλαῖς κεφαλὰς ἀποδειροτομουμένας, καὶ ἐπὶ νεκροῖς νεκροὺς πίπτοντας, καὶ πολυάνδριον ὁρῶσα τῶν τέκνων χορεῖον διὰ τῶν βασάνων, οὐκ ἐδάκρυσας.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 21] Οὐχ οὕτως σειρήνιοι μελῳδίαι, οὐδὲ κύκνειοι πρὸς φιληκοΐαν φωναὶ τοὺς ἀκούοντας ἐφέλκονται, ὦ τέκνων φωναὶ μετὰ βασάνων μητέρα φωνούντων.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 22] Πηλίκαις καὶ πόσαις τότε ἡ μήτηρ, τῶν υἱῶν βασανιζομένων τροχοῖς τε καὶ καυτερίοις ἐβασανίζετο βασάνοις;
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 23] Ἀλλὰ τὰ σπλάγχνα αὐτῆς ὁ εὐσεβὴς λογισμὸς ἐν αὐτοῖς τοῖς πάθεσιν ἀνδρειώσας ἐπέτεινεν τὴν πρόσκαιρον φιλοτεκνίαν παριδεῖν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 24] Καίπερ ἑπτὰ τέκνων ὁρῶσα ἀπώλειαν· ἀσπάσασα ἡ γενναῖα μήτηρ ἐξέδσεν διὰ τὴν πρὸς Θεὸν πίστιν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 25] Καθάπερ γὰρ ἐν βουλευτηρίῳ τῇ ἑαυτῆς ψυχῇ δεινοὺς ὁρῶσα συμβούλους, φύσιν καὶ γένεσιν καὶ φιλοτεκνίαν καὶ τέκνων στρέβλαν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 26] Δύο ψήφους κρατοῦσα μήτηρ, θανατηφόρον τε καὶ σωτήριον ὑπὲρ τένων·
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 27] Οὐκ ἐπέγνω τὴν σώζουσαν ἑπτὰ υἱοὺς πρὸς ὀλίγον χρόνον σωτηρίαν.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 28] Ἀλλὰ τῆς θεοσεβοῦς Ἁβραὰμ καρτερίας ἡ θυγάτηρ ἐμνήσθη.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 29] Ὦ μήτηρ ἔθνους, ἔκδικε τοῦ νόμου, καὶ ὑπερασπίστεια τῆς εὐσεβείας, καὶ τοῦ διὰ σπλάγχνων ἀγῶνος ἀθλοφόρε.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 30] Ὦ ἀῤῥένων πρὸς καρτερίαν γενναιοτέρα, καὶ ἀνδρῶν πρὸς ὑπομονὴν ἀνδρειοτέρα.
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 31] Καθάπερ γὰρ ἡ Νῶε κιβωτὸς ἐν τῷ κοσμοπληθεῖ κατακλυσμῷ κοσμοφοροῦσα καρτεροὺς ὑπήνεγκεν τοὺς κλύδωνας·
[LXX | EL | OT | 4 Maccabees | Chapter 15 | Verse 32] οὕτως σὺ, ἡ νομοφύλαξ, πανταχόθεν ἐν τῷ τῶν παθῶν περιαντλουμένη κατακλυσμῷ, καὶ καρτεροῖς ἂν λοιμοῖς ταῖς τῶν υἱῶν βασάνοις συνεχομένη, γενναίως ὑπέμεινας τοὺς τῆς εὐσεβείας χειμῶνας.
