[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 1] Καὶ τὶ θαυμαστὸν; εἰ αἱ τῆς ψυχῆς ἐπιθυμίαι πρὸς τὴν τοῦ κάλλους μετουσίαν ἀκυροῦνται.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 14] μηδὲ δενδροτομῶν τὰ ἥμερα τῶν πολεμίων φυτὰ, τὰ δὲ τῶν ἐχθρῶν τοῖς ἀπολέσασιν διασώζων, καὶ τὰ πεπτωκότα συνεγείρων.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 15] Καὶ τῶν βιοτέρων δὲ παθῶν κρατεῖν ὁ λογισμὸς φαίνεται, φιλαρχίας, καὶ κενοδοξίας, καὶ ἀλαζονείας, καὶ μεγαλαυχίας, καὶ βασκανίας.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 16] Πάντα γὰρ ταῦτα τὰ κακοήθη πάθη ὁ σώφρων νοῦς ἀπωθεῖται, ὥσπερ καὶ τὸν θυμόν· καὶ γὰρ τοῦτο δεσπόζει.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 17] Θυμούμενος γέ τοι Μωσῆς κατὰ Δαθὰν καὶ Ἀβειρῶν, οὐ θυμῷ τι κατʼ αὐτῶν ἐποίησεν, ἀλλὰ λογισμῷ τὸν θυμὸν διῄτησεν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 18] Δυνατὸς γὰρ ὁ σώφρων νοῦς, ὡς ἔφην, κατὰ τῶν παθῶι ἀριστεῦσαι, καὶ τὰ μὲν αὐτῶν μεταθεῖναι, τὰ δὲ καὶ ἀκυρῶσαι.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 19] Ἐπεὶ διατί ὁ πάνσοφος ἡμῶν πατὴρ Ἰακὼβ τοὺς περὶ Συμεὼν καὶ Λευὶν αἰτιᾶται, μὴ λογισμῷ τοὺς Σικιμίτας ἐθνηδὸν ἀποσφάξαντας, λέγων, ἐπικατάρατος ὁ θυμὸς αὐτῶν;
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 20] Εἰ μὴ γὰρ ἐδύνετο τῶν θυμῶν ὁ λογισμὸς κρατεῖν, οὐκ ἂν εἶπεν οὑτως.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 21] Ὁπηνίκα γὰρ ὁ Θεὸς τὸν ἄνθρωπον κατεσκεύαζεν, τὰ πάθη αὐτοῦ καὶ τὰ ἤθη περιεφύτευσεν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 22] Καὶ τηνικαῦτα δὲ περὶ πάντων τὸν ἱερὸν ἡγεμόνα νοῦν διὰ τῶν αἰσθητηρίων ἐνεθρόνισεν·
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 23] καὶ τούτῳ νόμον ἔδωκεν, καθʼ ὃν πολιτευόμενος βασιλεύσει βασιλείαν σώφρονά τε, καὶ δικαίαν, καὶ ἀγαθὴν, καὶ ἀνδρείαν.
[LXX | EL | OT | 4 Maccabees | Chapter 2 | Verse 24] Πῶς οὖν, εἴποι τις ἂν, εἰ τῶν παθῶν ὁ λογισμὸς κρατεῖ, λήθης καὶ ἀγνοίας οὐ κρατεῖ;
