[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 1] And it came to pass after this, that Amnon the son of David loved the sister of Absalom the son of David, who was very beautiful, and her name was Thamar.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 28] And Absalom had commanded his servants, saying: Take notice when Amnon shall be drunk with wine, and when I shall say to you: Strike him, and kill him, fear not: for it is I that command you: take courage, and be valiant men.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 29] And the servants of Absalom did to Amnon as Absalom had commanded them. And all the king’s sons arose and got up every man upon his mule, and fled.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 30] And while they were yet in the way, a rumour came to David, saying: Absalom hath slain all the king’s sons, and there is not one of them left.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 31] Then the king rose up, and rent his garments: and fell upon the ground, and all his servants, that stood about him, rent their garments.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 32] But Jonadab the son of Semmaa David’s brother answering, said: Let not my lord the king think that all the king’s sons are slain: Amnon only is dead, for he was appointed by the mouth of Absalom from the day that he ravished his sister Thamar.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 33] Now therefore let not my lord the king take this thing into his heart, saying: All the king’s sons are slain: for Amnon only is dead.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 34] But Absalom fled away: and the young man that kept the watch, lifted up his eyes and looked, and behold there came much people by a by-way on the side of the mountain.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 35] And Jonadab said to the king: Behold the king’s sons are come: as thy servant said, so it is.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 36] And when he made an end of speaking, the king’s sons also appeared: and coming in they lifted up their voice, and wept: and the king also and all his servants wept very much.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 37] But Absalom fled, and went to Tholomai the son of Ammiud the king of Gessur. And David mourned for his son every day.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 38] And Absalom after he was fled, and come into Gessur, was there three years.
[DRA | EN | OT | 2 Samuel | Chapter 13 | Verse 39] And king David ceased to pursue after Absalom, because he was comforted concerning the death of Amnon.
