[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 1] “நீங்கள் உங்கள் தேவனாகிய யெகோவாவின் பிள்ளைகள்; செத்தவனுக்காகக் காயப்படுத்திக்கொள்ளாமலும், உங்கள் கண்களுக்கு இடையிலே சவரம்செய்யாமலும் இருப்பீர்களாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 18] கொக்கும், சகலவித ராஜாளியும், புழுக்கொத்தியும், வெளவாலுமே.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 19] பறக்கிறவைகளில் ஊர்வன யாவும் உங்களுக்கு அசுத்தமாயிருப்பதாக; அவைகள் சாப்பிடக்கூடாதவைகள்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 20] சுத்தமான பறவைகள் யாவையும் நீங்கள் சாப்பிடலாம்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 21] “தானாக இறந்துபோன எதையும் சாப்பிடவேண்டாம்; உங்கள் வாசல்களில் இருக்கிற அந்நியனுக்கு அதை சாப்பிடக் கொடுக்கலாம்; அல்லது அந்நியனுக்கு அதை விற்றுப்போடலாம்; நீங்கள் உங்களுடைய தேவனாகிய யெகோவாவுக்குப் பரிசுத்த மக்கள். வெள்ளாட்டுக்குட்டியை அதின் தாயின் பாலிலே சமைக்கவேண்டாம்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 22] “நீ உன் தேவனாகிய யெகோவாவுக்கு எப்பொழுதும் பயந்திருக்கப் பழகும்படி, வருடந்தோறும் நீ விதைக்கிற விதைப்பினாலே வயலில் விளையும் எல்லாப் பலனிலும் தசமபாகத்தைப் பிரித்து,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 23] உன் தேவனாகிய யெகோவா தமது நாமம் விளங்கும்படி தெரிந்துகொள்ளும் இடத்திலே, உன் தானியத்திலும் உன் திராட்சைரசத்திலும் உன் எண்ணெயிலும் தசமபாகத்தையும் உன் ஆடுமாடுகளின் தலையீற்றுகளையும் அவருடைய சந்நிதியில் சாப்பிடுவாயாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 24] உன் தேவனாகிய யெகோவா உன்னை ஆசீர்வதிக்கும் காலத்தில், உன் தேவனாகிய யெகோவா தமது நாமம் விளங்கும்படித் தெரிந்துகொண்ட இடம் உனக்கு வெகுதூரமாக இருக்கிறதினால், வழிப்பிரயாணத்தின் வெகுதொலைவினிமித்தம், நீ அதைக் கொண்டுபோகமுடியாமல் இருக்குமானால்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 25] அதைப் பணமாக மாற்றி, பணமுடிப்பை உன் கையிலே எடுத்துக்கொண்டு, உன் தேவனாகிய யெகோவா தெரிந்துகொண்ட இடத்திற்குப் போய்,
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 26] அங்கே உன் விருப்பப்படி ஆடுமாடு, திராட்சைரசம், மதுபானம் முதலான சகலத்தையும் பணம் கொடுத்து வாங்கி, உன் தேவனாகிய யெகோவாவுடைய சந்நிதியில், நீயும் உன் குடும்பத்தாரும் உன் வாசல்களில் இருக்கிற லேவியனும் சாப்பிட்டுச் சந்தோஷப்படுவீர்களாக.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 27] லேவியனுக்கு உன்னுடன் பங்கும் சொத்தும் இல்லாததால் அவனைக் கைவிடாதே.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 28] “மூன்றாம் வருடத்தின் முடிவிலே அந்தவருடத்தில் உனக்கு வந்த பலன் எல்லாவற்றிலும் தசமபாகத்தைப் பிரித்து, உன் வாசல்களில் வைக்கக்கடவாய்.
[IRV | TA | OT | Deuteronomy | Chapter 14 | Verse 29] லேவியனுக்கு உன்னுடன் பங்கும் சொத்தும் இல்லாததால், அவனும், உன் வாசல்களில் இருக்கிற அந்நியனும், திக்கற்றவனும், விதவையும் வந்து சாப்பிட்டுத் திருப்தியடைவார்களாக; அப்பொழுது உன் கை செய்யும் வேலையிலெல்லாம் உன் தேவனாகிய யெகோவா உன்னை ஆசீர்வதிப்பார்.
