[GNV | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came out to Simeon, euen for the tribe of the children of Simeon according to their families: and their inheritance was in the middes of the inheritance of the children of Iudah.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 22] And this coast reacheth to Tabor, and Shahazimath, and Beth-shemesh, and the endes of their coast reach to Iorden: sixteene cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 23] This is the inheritance of the tribe of the children of Issachar according to their families: that is, the cities, and their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 24] Also the fift lot came out for the tribe of the children of Asher according to their families.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 25] And their coast was Helcath, and Hali, and Beten, and Achshaph,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 26] And Alammelech, and Amad, and Misheal, and came to Carmel Westward, and to Shihor Libnath,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 27] And turneth towarde the sunne rising to Beth-dagon, and commeth to Zebulun, and to the valley of Iiphtah-el, toward the Northside of Beth-emek, and Neiel, and goeth out on the left side of Cabul,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 28] And to Ebron, and Rehob, and Hammon, and Kanah, vnto great Zidon.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 29] Then the coast turneth to Ramah and to the strong citie of Zor, and this border turneth to Hosah, and the ends thereof are at the Sea from Hebel to Achzib,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 30] Vmmah also and Aphek, and Rehob: two and twentie cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 31] This is the inheritance of the tribe of the children of Asher according to their families: that is, these cities and their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 32] The sixt lot came out to the children of Naphtali, euen to the children of Naphtali according to their families.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 33] And their coast was from Heleph, and from Allon in Zaanannim, and Adaminekeb, and Iabneel, euen to Lakum, and the ends thereof are at Iorden.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 34] So this coast turneth Westwarde to Aznoth-tabor, and goeth out from thence to Hukkok, and reacheth to Zebulun on the Southside, and goeth to Asher on the Westside, and to Iudah by Iorden toward the sunne rising.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 35] And the strong cities are Ziddim, Zer, and Hammath, Rakkath, and Cinneereth,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 36] And Adamah, and Ramah, and Hazor,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 37] And Kedesh, and Edrei, and En-hazor,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 38] And Iron, and Migdal-el, Horem, and Beth-anah, and Beth-shemesh: nineteene cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 39] This is the inheritance of the tribe of the children of Naphtali according to their families: that is, the cities and their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 40] The seuenth lot came out for the tribe of the children of Dan according to their families.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 41] And the coast of their inheritance was Zorah, and Eshtaol, and Ir-shemesh,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 42] And Shaalabbin, and Aiialon, and Ithlah,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 43] And Elon, and Temnathah, and Ekron,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 44] And Eltekeh, and Gibbethon, and Baalah,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 45] And Iehud, and Bene-berak, and Gath-rimmon,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 46] And Me-iarkon, and Rakkon, with the border that lieth before Iapho.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 47] But the coastes of the children of Dan fell out too litle for them: therefore the children of Dan went vp to fight against Leshem, and tooke it, and smote it with the edge of the sworde, and possessed it, and dwelt therein, and called Leshem, Dan after the name of Dan their father.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 48] This is the inheritance of the tribe of the childre of Dan according to their families: that is, these cities and their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 49] When they had made an ende of deuiding the lande by the coastes thereof, then the children of Israel gaue an inheritance vnto Ioshua the sonne of Nun among them.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 50] According to the worde of the Lord they gaue him the citie which hee asked, euen Timnath-serah in mount Ephraim: and hee built the citie and dwelt therein.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 51] These are ye heritages which Eleazar the Priest, and Ioshua the sonne of Nun, and the chiefe fathers of the tribes of the children of Israel deuided by lot in Shiloh before the Lord at the doore of the Tabernacle of the Congregation: so they made an ende of deuiding the countrey.
