[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 1] Then all the ancients of Israel with the princes of the tribes, and the heads of the families of the children of Israel were assembled to king Solomon in Jerusalem: that they might carry the ark of the covenant of the Lord out of the city of David, that is, out of Sion.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 47] Then if they do penance in their heart in the place of captivity, and being converted make supplication to thee in their captivity, saying: We have sinned, we have done unjustly, we have committed wickedness:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 48] And return to thee with all their heart, and all their soul, in the land of their enemies, to which they had been led captives: and pray to thee towards the way of their land, which thou gavest to their fathers, and of the city which thou hast chosen, and of the temple which I have built to thy name:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 49] Then hear thou in heaven, in the firmament of thy throne, their prayers, and their supplications, and do judgment for them:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 50] And forgive thy people, that have sinned against thee, and all their iniquities, by which they have transgressed against thee: and give them mercy before them that have made them captives, that they may have compassion on them.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 51] For they are thy people, and thy inheritance, whom thou hast brought out of the land of Egypt, from the midst of the furnace of iron.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 52] That thy eyes may be open to the supplication of thy servant, and of thy people Israel, to hear them in all things for which they shall call upon thee.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 53] For thou hast separated them to thyself for an inheritance from among all the people of the earth, as thou hast spoken by Moses thy servant, when thou broughtest our fathers out of Egypt, O Lord God.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 54] And it came to pass, when Solomon had made an end of praying all this prayer and supplication to the Lord, that he rose from before the altar of the Lord: for he had fixed both knees on the ground, and had spread his hands towards heaven.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 55] And he stood and blessed all the assembly of Israel with a, loud voice, saying:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 56] Blessed be the Lord, who hath given rest to his people Israel, according to all that he promised: there hath not failed so much as one word of all the good things that he promised by his servant Moses.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 57] The Lord our God be with us, as he was with our fathers, and not leave us, nor cast us off:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 58] But may he incline our hearts to himself, that we may walk in all his ways, and keep his commandments, and his ceremonies, and all his judgments which he commanded our fathers.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 59] And let these my words, wherewith I have prayed before the Lord, he nigh unto the Lord our God day and night, that he may do judgment for his servant, and for his people Israel day by day:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 60] That all the people of the earth may know, that the Lord he is God, and there is no other besides him.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 61] Let our hearts also be perfect with the Lord our God, that we may walk in his statutes, and keep his commandments, as at this day.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 62] And the king, and all Israel him, offered victims before the Lord.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 63] And Solomon slew victims of peace offerings, which he sacrificed to the Lord, two and twenty thousand oxen, and hundred and twenty thousand sheep: so the king, and the children of Israel dedicated the temple of the Lord.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 64] In that day the king sanctified the middle of the court that was before the house of the Lord: for there he offered the holocaust, and sacrifice, and fat of the peace offerings: because the brazen altar that was before the Lord, was too little to receive the holocaust, and sacrifice, and fat of the peace offerings.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 65] And Solomon made at the same time a solemn feast, and all Israel with him, a great multitude from the entrance of Emath to the river of Egypt, before the Lord our God, seven days and seven days, that is, fourteen days.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 66] And on the eighth day he sent away the people: and they blessed the king, and went to their dwellings rejoicing, and glad in heart for all the good things that the Lord had done for David his servant, and for Israel his people.
