[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 1] And there passed three years without war between Syria and Israel.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 14] But Micheas said to him: As the Lord liveth, whatsoever the Lord shall say to me, that will I speak.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 15] So he came to the king, and the king said to him: Micheas, shall we go to Ramoth Galaad to battle, or shall we forbear? He answered him: Go up, and prosper, and the Lord shall deliver it into the king’s hands.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 16] But the king said to him: I adjure thee again and again, that thou tell me nothing but that which is true in the name of the Lord.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 17] And he said: I saw all Israel scattered upon the hills, like sheep that have no shepherd: and the Lord said: These have no master: let every man of them return to his house in peace.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 18] (Then the king of Israel said to Josaphat: Did I not tell thee, that he prophesieth no good to me, but always evil?)
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 19] And he added and said: Hear thou therefore the word of the Lord: I saw the Lord sitting on his throne, and all the army of heaven standing by him on the right hand and on the left:
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 20] And the Lord said: Who shall deceive Achab king of Israel, that he may go up, and fall at Ramoth Galaad? And one spoke words of this manner, and another otherwise.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 21] And there came forth a spirit, and stood before the Lord, and said: I will deceive him. And the Lord said to him: By what means?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 22] And he said: I will go forth, and be a lying spirit in the mouth of all his prophets. And the Lord said: Thou shalt deceive him, and shalt prevail: a go forth, and do so.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 23] Now therefore behold the Lord hath given a lying spirit in the mouth of all thy prophets that are here, and the Lord hath spoken evil against thee.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 24] And Sedecias the son of Chanaana came, and struck Micheas on the cheek, and said: Hath then the spirit of the Lord left me, and spoken to thee?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 25] And Micheas said: Thou shalt see in the day when thou shalt go into a chamber within a chamber to hide thyself.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 26] And the king of Israel said: Take Micheas, and let him abide with Ammon the governor of the city, and with Joas the son of Amalech.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 27] And tell them: Thus saith the king: Put this man in prison, and feed him with bread of affliction, and water of distress, till I return in peace.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 28] And Micheas said: If thou return in peace, the Lord hath not spoken by me. And he said: Hear, all ye people.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 29] So the king of Israel, and Josaphat king of Juda went up to Ramoth Galaad.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 30] And the king of Israel said to Josaphat: Take armour, and go into the battle, and put on thy own garments. But the king of Israel changed his dress, and went into the battle.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 31] And the king of Syria had commanded the two and thirty captains of the chariots, saying: You shall not fight against any, small or great, but against the king of Israel only.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 32] So when the captains of the chariots saw Josaphat, they suspected that he was the king of Israel, and making a violent assault they fought against him: and Josaphat cried out.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 33] And the captains of the chariots perceived that he was not the king of and they turned away from him.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 34] And a certain man bent his bow, shooting at a venture, and chanced to strike the king of Israel between the lungs and the stomach. But he said to the driver of his chariot: Turn thy hand, and carry me out of the army, for I am grievously wounded.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 35] And the battle was fought that day, and the king of Israel stood in his chariot against the Syrians, and he died in the evening: and the blood ran out of the wound into the midst of the chariot.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 36] And the herald proclaimed through all the army before the sun set, saying: Let every man return to his own city, and to his own country.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 37] And the king died, and was carried into Samaria: and they buried the king in Samaria.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 38] And they washed his chariot in the pool of Samaria, and the dogs licked up his blood, and they washed the reins, according to the word of the Lord which he had spoken.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 39] But the rest of the acts of Achab, and all that he did, and the house of ivory that he made, and all the cities that he built, are they not written in the book of the words of the days of the kings of Israel?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 40] So Achab slept with his fathers, and Ochozias his son reigned in his stead.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 41] But Josaphat the son of Asa began to reign over Juda in the fourth year of Achab king of Israel.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 42] He was five and thirty years old when he began to reign, and he reigned five and twenty years in Jerusalem: the name of his mother was Azuba the daughter of Salai.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 43] And he walked in all the way of Asa his father, and he declined not from it: and he did that which was right in the sight of the Lord.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 44] Nevertheless he took not away the high places: for as Set the people offered sacrifices and burnt incense in the high places.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 45] And Josaphat had peace with the king of Israel.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 46] But the rest of the acts of Josaphat, and his works which he did, and his batties, are they not written in the book of the words of the days of the kings of Juda?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 47] And the remnant also of the effeminate, who remained in the days of Asa his father, he took out of the land.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 48] And there was then no king appointed in Edom.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 49] But king Josaphat made navies on the sea, to sail into Ophir for gold: but they could not go, for the ships were broken in Asiongaber.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 50] Then Ochozias the ton of Achab said to Josaphat: Let my servants go with thy servants in the ships. And Josaphat would not.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 51] And Josaphat slept with his fathers. and was buried with them in the city of David his father: and Joram his son reigned in his stead.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 52] And Ochozias the son of Achab began to reign over Israel in Samaria, in the seventeenth gear of Josaphat king of Juda, and he reigned over Israel two years,
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 53] And he did evil in the sight of the Lord, and walked in the way of his father and his mother, and in the way of Jeroboam the son of Nabat, who made Israel to sin.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 54] He served also Baal, and worshipped him, and provoked the Lord the God of Israel, according to all that his father had done.
