[BSB | EN | OT | Numbers | Chapter 31 | Verse 1] And the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 18] but spare for yourselves every girl who has never had relations with a man.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 19] All of you who have killed a person or touched the dead are to remain outside the camp for seven days. On the third day and the seventh day you are to purify both yourselves and your captives.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 20] And purify every garment and leather good, everything made of goat’s hair, and every article of wood.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 21] Then Eleazar the priest said to the soldiers who had gone into battle, “This is the statute of the law which the LORD has commanded Moses:
[BSB | EN | OT | Numbers | Chapter 31 | Verse 22] Only the gold, silver, bronze, iron, tin, and lead—
[BSB | EN | OT | Numbers | Chapter 31 | Verse 23] everything that can withstand the fire—must be put through the fire, and it will be clean. But it must still be purified with the water of purification. And everything that cannot withstand the fire must pass through the water.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 24] On the seventh day you are to wash your clothes, and you will be clean. After that you may enter the camp.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 25] The LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 26] “You and Eleazar the priest and the family heads of the congregation are to take a count of what was captured, both of man and beast.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 27] Then divide the captives between the troops who went out to battle and the rest of the congregation.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 28] Set aside a tribute for the LORD from what belongs to the soldiers who went into battle: one out of every five hundred, whether persons, cattle, donkeys, or sheep.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 29] Take it from their half and give it to Eleazar the priest as an offering to the LORD.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 30] From the Israelites’ half, take one out of every fifty, whether persons, cattle, donkeys, sheep, or other animals, and give them to the Levites who keep charge of the tabernacle of the LORD.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 31] So Moses and Eleazar the priest did as the LORD had commanded Moses,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 32] and this plunder remained from the spoils the soldiers had taken: 675,000 sheep,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 33] 72,000 cattle,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 34] 61,000 donkeys,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 35] and 32,000 women who had not slept with a man.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 36] This was the half portion for those who had gone to war: 337,500 sheep,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 37] including a tribute to the LORD of 675,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 38] 36,000 cattle, including a tribute to the LORD of 72,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 39] 30,500 donkeys, including a tribute to the LORD of 61,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 40] and 16,000 people, including a tribute to the LORD of 32.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 41] Moses gave the tribute to Eleazar the priest as an offering for the LORD, as the LORD had commanded Moses.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 42] From the Israelites’ half, which Moses had set apart from the men who had gone to war,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 43] this half belonged to the congregation: 337,500 sheep,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 44] 36,000 cattle,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 45] 30,500 donkeys,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 46] and 16,000 people.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 47] From the Israelites’ half, Moses took one out of every fifty persons and animals and gave them to the Levites who kept charge of the tabernacle of the LORD, as the LORD had commanded him.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 48] Then the officers who were over the units of the army—the commanders of thousands and of hundreds—approached Moses
[BSB | EN | OT | Numbers | Chapter 31 | Verse 49] and said, “Your servants have counted the soldiers under our command, and not one of us is missing.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 50] So we have brought to the LORD an offering of the gold articles each man acquired—armlets, bracelets, rings, earrings, and necklaces—to make atonement for ourselves before the LORD.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 51] So Moses and Eleazar the priest received from them all the articles made out of gold.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 52] All the gold that the commanders of thousands and of hundreds presented as an offering to the LORD weighed 16,750 shekels.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 53] Each of the soldiers had taken plunder for himself.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 54] And Moses and Eleazar the priest received the gold from the commanders of thousands and of hundreds and brought it into the Tent of Meeting as a memorial for the Israelites before the LORD.
