[BSB | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the Israelites when they came out of the land of Egypt by their divisions under the leadership of Moses and Aaron.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 21] They set out from Libnah and camped at Rissah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 22] They set out from Rissah and camped at Kehelathah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 23] They set out from Kehelathah and camped at Mount Shepher.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 24] They set out from Mount Shepher and camped at Haradah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 25] They set out from Haradah and camped at Makheloth.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 26] They set out from Makheloth and camped at Tahath.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 27] They set out from Tahath and camped at Terah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 28] They set out from Terah and camped at Mithkah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 29] They set out from Mithkah and camped at Hashmonah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 30] They set out from Hashmonah and camped at Moseroth.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 31] They set out from Moseroth and camped at Bene-jaakan.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 32] They set out from Bene-jaakan and camped at Hor-haggidgad.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 33] They set out from Hor-haggidgad and camped at Jotbathah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 34] They set out from Jotbathah and camped at Abronah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 35] They set out from Abronah and camped at Ezion-geber.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 36] They set out from Ezion-geber and camped at Kadesh in the Wilderness of Zin.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 37] They set out from Kadesh and camped at Mount Hor, on the outskirts of the land of Edom.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 38] At the LORD’s command, Aaron the priest climbed Mount Hor and died there on the first day of the fifth month, in the fortieth year after the Israelites had come out of the land of Egypt.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 39] Aaron was 123 years old when he died on Mount Hor.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 40] Now the Canaanite king of Arad, who lived in the Negev in the land of Canaan, heard that the Israelites were coming.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 41] And the Israelites set out from Mount Hor and camped at Zalmonah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 42] They set out from Zalmonah and camped at Punon.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 43] They set out from Punon and camped at Oboth.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 44] They set out from Oboth and camped at Iye-abarim on the border of Moab.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 45] They set out from Iyim and camped at Dibon-gad.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 46] They set out from Dibon-gad and camped at Almon-diblathaim.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 47] They set out from Almon-diblathaim and camped in the mountains of Abarim facing Nebo.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 48] They set out from the mountains of Abarim and camped on the plains of Moab by the Jordan across from Jericho.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 49] And there on the plains of Moab they camped by the Jordan, from Beth-jeshimoth to Abel-shittim.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 50] On the plains of Moab by the Jordan across from Jericho, the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 33 | Verse 51] “Speak to the Israelites and tell them: When you cross the Jordan into the land of Canaan,
[BSB | EN | OT | Numbers | Chapter 33 | Verse 52] you must drive out before you all the inhabitants of the land, destroy all their carved images and cast idols, and demolish all their high places.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 53] You are to take possession of the land and settle in it, for I have given you the land to possess.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 54] And you are to divide the land by lot according to your clans. Give a larger inheritance to a larger clan and a smaller inheritance to a smaller one. Whatever falls to each one by lot will be his. You will receive an inheritance according to the tribes of your fathers.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 55] But if you do not drive out the inhabitants of the land before you, those you allow to remain will become barbs in your eyes and thorns in your sides; they will harass you in the land where you settle.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 56] And then I will do to you what I had planned to do to them.”
