[BSB | EN | OT | Numbers | Chapter 1 | Verse 1] On the first day of the second month of the second year after the Israelites had come out of the land of Egypt, the LORD spoke to Moses in the Tent of Meeting in the Wilderness of Sinai. He said:
[BSB | EN | OT | Numbers | Chapter 1 | Verse 40] From the sons of Asher, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 41] those registered to the tribe of Asher numbered 41,500.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 42] From the sons of Naphtali, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 43] those registered to the tribe of Naphtali numbered 53,400.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 44] These were the men numbered by Moses and Aaron, with the assistance of the twelve leaders of Israel, each one representing his family.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 45] So all the Israelites twenty years of age or older who could serve in Israel’s army were counted according to their families.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 46] And all those counted totaled 603,550.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 47] The Levites, however, were not numbered along with them by the tribe of their fathers.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 48] For the LORD had said to Moses:
[BSB | EN | OT | Numbers | Chapter 1 | Verse 49] “Do not number the tribe of Levi in the census with the other Israelites.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 50] Instead, you are to appoint the Levites over the tabernacle of the Testimony, all its furnishings, and everything in it. They shall carry the tabernacle and all its articles, care for it, and camp around it.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 51] Whenever the tabernacle is to move, the Levites are to take it down, and whenever it is to be pitched, the Levites are to set it up. Any outsider who goes near it must be put to death.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 52] The Israelites are to camp by their divisions, each man in his own camp and under his own standard.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 53] But the Levites are to camp around the tabernacle of the Testimony and watch over it, so that no wrath will fall on the congregation of Israel. So the Levites are responsible for the tabernacle of the Testimony.”
[BSB | EN | OT | Numbers | Chapter 1 | Verse 54] Thus the Israelites did everything just as the LORD had commanded Moses.
