[OEB | EN | NT | John | Chapter 19 | Verse 1] After that, Pilate had Jesus scourged.
[OEB | EN | NT | John | Chapter 19 | Verse 30] When Jesus had received the wine, he exclaimed, ‘All is finished!’ Then, bowing his head, he resigned his spirit to God.
[OEB | EN | NT | John | Chapter 19 | Verse 31] It was the Preparation day, and so, to prevent the bodies from remaining on the crosses during the Sabbath (for that Sabbath was a great day), the Jews asked Pilate to have the legs broken and the bodies removed.
[OEB | EN | NT | John | Chapter 19 | Verse 32] Accordingly the soldiers came and broke the legs of the first man, and then those of the other who had been crucified with Jesus;
[OEB | EN | NT | John | Chapter 19 | Verse 33] but, on coming to him, when they saw that he was already dead, they did not break his legs.
[OEB | EN | NT | John | Chapter 19 | Verse 34] One of the soldiers, however, pierced his side with a spear, and blood and water immediately flowed from it.
[OEB | EN | NT | John | Chapter 19 | Verse 35] This is the statement of one who actually saw it – and his statement may be relied on, and he knows that he is speaking the truth – and it is given in order that you also may be convinced.
[OEB | EN | NT | John | Chapter 19 | Verse 36] For all this happened in fulfilment of the words of scripture – “Not one of its bones will be broken.”
[OEB | EN | NT | John | Chapter 19 | Verse 37] And there is another passage which says – “They will look on him whom they pierced.”
[OEB | EN | NT | John | Chapter 19 | Verse 38] After this, Joseph of Arimathea, a disciple of Jesus – but a secret one, owing to his fear of the religious authorities – begged Pilate’s permission to remove the body of Jesus. Pilate gave him leave; so Joseph went and removed the body.
[OEB | EN | NT | John | Chapter 19 | Verse 39] Nicodemus, too – the man who had formerly visited Jesus by night – came with a roll of myrrh and aloes, weighing nearly a hundred pounds.
[OEB | EN | NT | John | Chapter 19 | Verse 40] They took the body of Jesus, and wound it in linen with the spices, according to the Jewish mode of burial.
[OEB | EN | NT | John | Chapter 19 | Verse 41] At the place where Jesus had been crucified there was a garden, and in the garden a newly made tomb in which no one had ever been laid.
[OEB | EN | NT | John | Chapter 19 | Verse 42] And so, because of its being the Preparation day, and as the tomb was close at hand, they laid Jesus there.
