[OEB | EN | NT | John | Chapter 12 | Verse 1] Six days before the Passover Jesus came to Bethany, where Lazarus, whom he had raised from the dead, was living.
[OEB | EN | NT | John | Chapter 12 | Verse 24] In truth I tell you, unless a grain of wheat falls into the ground and dies, it remains solitary; but, if it dies, it becomes fruitful.
[OEB | EN | NT | John | Chapter 12 | Verse 25] A person who loves their life loses it; while someone who hates their life in the present world will preserve it for eternal life.
[OEB | EN | NT | John | Chapter 12 | Verse 26] If someone is ready to serve me, let them follow me; and where I am, there my servant will be also. If a person is ready to serve me, my Father will honour them.
[OEB | EN | NT | John | Chapter 12 | Verse 27] Now I am distressed at heart and what can I say? Father, bring me safe through this hour – yet it was for this reason that I came to this hour –
[OEB | EN | NT | John | Chapter 12 | Verse 28] Father, honour your own name.’ At this there came a voice from heaven, which said, ‘I have already honoured it, and I will honour it again.’
[OEB | EN | NT | John | Chapter 12 | Verse 29] The crowd of bystanders, who heard the sound, said that it was thundering. Others said, ‘An angel has been speaking to him.’
[OEB | EN | NT | John | Chapter 12 | Verse 30] ‘It was not for my sake that the voice came,’ said Jesus, ‘but for yours.
[OEB | EN | NT | John | Chapter 12 | Verse 31] Now this world is on its trial. Now the Spirit that is ruling this world will be driven out;
[OEB | EN | NT | John | Chapter 12 | Verse 32] and I, when I am lifted up from the earth, will draw all people to myself.’
[OEB | EN | NT | John | Chapter 12 | Verse 33] By these words he indicated what death he was destined to die.
[OEB | EN | NT | John | Chapter 12 | Verse 34] ‘We,’ replied the people, ‘have learned from the Law that the Christ is to remain for ever; how is it, then, that you say that the Son of Man must be “lifted up” Who is this “Son of Man”?’
[OEB | EN | NT | John | Chapter 12 | Verse 35] ‘Only a little while longer,’ answered Jesus, ‘will you have the light among you. Travel on while you have the light, so that darkness may not overtake you; he who travels in the darkness does not know where he is going.
[OEB | EN | NT | John | Chapter 12 | Verse 36] While you still have the light, believe in the light, so that you may be children of light.’ After he had said this, Jesus went away, and hid himself from them.
[OEB | EN | NT | John | Chapter 12 | Verse 37] But, though Jesus had given so many signs of his mission before their eyes, they still did not believe in him,
[OEB | EN | NT | John | Chapter 12 | Verse 38] in fulfilment of the words of the prophet Isaiah, where he says – “Lord, who has believed our teaching? And to whom has the might of the Lord been revealed?”
[OEB | EN | NT | John | Chapter 12 | Verse 39] The reason why they were unable to believe is given by Isaiah elsewhere, in these words –
[OEB | EN | NT | John | Chapter 12 | Verse 40] “He has blinded their eyes, and blunted their mind, so that they should not see with their eyes, and perceive with their mind, and turn – And I should heal them.”
[OEB | EN | NT | John | Chapter 12 | Verse 41] Isaiah said this, because he saw Christ’s glory; and it was of him that he spoke.
[OEB | EN | NT | John | Chapter 12 | Verse 42] Yet for all this, even among the leading men there were many who came to believe in Jesus; but, because of the Pharisees, they did not acknowledge it, because they were afraid that they should be expelled from their synagogues;
[OEB | EN | NT | John | Chapter 12 | Verse 43] for they valued honour from people more than honour from God.
[OEB | EN | NT | John | Chapter 12 | Verse 44] But Jesus had proclaimed, ‘He who believes in me believes, not in me, but in him who sent me;
[OEB | EN | NT | John | Chapter 12 | Verse 45] and he who sees me sees him who sent me.
[OEB | EN | NT | John | Chapter 12 | Verse 46] I have come as a light into the world, so that no one who believes in me should remain in the darkness.
[OEB | EN | NT | John | Chapter 12 | Verse 47] When anyone hears my teaching and pays no heed to it, I am not his judge; for I came not to judge the world, but to save the world.
[OEB | EN | NT | John | Chapter 12 | Verse 48] He who rejects me, and disregards my teaching, has a judge already – the message which I have delivered will itself be his judge at the Last day.
[OEB | EN | NT | John | Chapter 12 | Verse 49] For I have not delivered it on my own authority; but the Father, who sent me, has himself given me his command as to what I should say, and what message I should deliver.
[OEB | EN | NT | John | Chapter 12 | Verse 50] And I know that eternal life lies in keeping his command. Therefore, whatever I say, I say only what the Father has taught me.’
