[OEB | EN | NT | John | Chapter 1 | Verse 1] In the beginning the Word was; and the Word was with God; and the Word was God.
[OEB | EN | NT | John | Chapter 1 | Verse 32] John also said: ‘I saw the Spirit come down from heaven like a dove and rest on him.
[OEB | EN | NT | John | Chapter 1 | Verse 33] I myself did not know him, but he who sent me to baptize with water, he said to me “He on whom you see the Spirit descending, and remaining on him – he it is who baptizes with the Holy Spirit.”
[OEB | EN | NT | John | Chapter 1 | Verse 34] This I have seen myself, and I have declared my belief that he is the Son of God.’
[OEB | EN | NT | John | Chapter 1 | Verse 35] The next day, when John was standing with two of his disciples,
[OEB | EN | NT | John | Chapter 1 | Verse 36] he looked at Jesus as he passed and exclaimed, ‘There is the Lamb of God!’
[OEB | EN | NT | John | Chapter 1 | Verse 37] The two disciples heard him say this, and followed Jesus.
[OEB | EN | NT | John | Chapter 1 | Verse 38] But Jesus turned round, and saw them following. ‘What are you looking for?’ he asked. ‘Rabbi,’ they answered (or, as we should say, “Teacher”), ‘where are you staying?’
[OEB | EN | NT | John | Chapter 1 | Verse 39] ‘Come, and you will see,’ he replied. So they went, and saw where he was staying, and spent that day with him. It was then about four in the afternoon.
[OEB | EN | NT | John | Chapter 1 | Verse 40] One of the two, who heard what John said and followed Jesus, was Andrew, Simon Peter’s brother.
[OEB | EN | NT | John | Chapter 1 | Verse 41] He first found his own brother Simon, and said to him, ‘We have found the Messiah!’ (a word which means “Christ,” or “Consecrated”.)
[OEB | EN | NT | John | Chapter 1 | Verse 42] Then he brought him to Jesus. Looking straight at him, Jesus said, ‘You are Simon, the son of John; you will be called Cephas’ (which means “Peter,” or “Rock”).
[OEB | EN | NT | John | Chapter 1 | Verse 43] The following day Jesus decided to leave for Galilee. He found Philip, and said to him, ‘Follow me.’
[OEB | EN | NT | John | Chapter 1 | Verse 44] Philip was from Bethsaida, the same town as Andrew and Peter.
[OEB | EN | NT | John | Chapter 1 | Verse 45] He found Nathanael and said to him, ‘We have found him of whom Moses wrote in the Law, and of whom the prophets also wrote – Jesus of Nazareth, Joseph’s son!’
[OEB | EN | NT | John | Chapter 1 | Verse 46] ‘Can anything good come out of Nazareth?’ asked Nathanael. ‘Come and see,’ replied Philip.
[OEB | EN | NT | John | Chapter 1 | Verse 47] When Jesus saw Nathanael coming towards him, he said, ‘Here is a true Israelite, in whom there is no deceit!’
[OEB | EN | NT | John | Chapter 1 | Verse 48] ‘How do you know me?’ asked Nathanael. ‘Even before Philip called you,’ replied Jesus, ‘when you were under the fig tree, I saw you.’
[OEB | EN | NT | John | Chapter 1 | Verse 49] ‘Rabbi,’ Nathanael exclaimed, ‘you are the Son of God, you are king of Israel!’
[OEB | EN | NT | John | Chapter 1 | Verse 50] ‘Do you believe in me,’ asked Jesus, ‘because I told you that I saw you under the fig tree? You will see greater things than those!
[OEB | EN | NT | John | Chapter 1 | Verse 51] In truth I tell you,’ he added, ‘you will all see heaven open, and the angels of God ascending and descending on the Son of Man.’
